
[00:00:00.000 --> 00:00:01.040]  各位影視姊妹
[00:00:01.040 --> 00:00:06.480]  當你們或者你們認識的姊妹
[00:00:06.480 --> 00:00:10.240]  生了嬰兒有人去醫院探望的時候
[00:00:10.240 --> 00:00:11.880]  看著嬰兒
[00:00:11.880 --> 00:00:16.080]  最多人說的一句話是什麼 你們知不知道
[00:00:16.080 --> 00:00:18.680]  我有兩次經驗
[00:00:18.680 --> 00:00:21.040]  那些叔叔姊姊
[00:00:21.040 --> 00:00:22.680]  看著Waterman出生
[00:00:22.680 --> 00:00:25.280]  看著我的女兒Shirley Miao出生的時候
[00:00:25.280 --> 00:00:27.200]  我們抱著她 讓她抱一抱
[00:00:27.200 --> 00:00:28.920]  一定看清楚一點
[00:00:29.080 --> 00:00:31.800]  像爹地 她像媽咪
[00:00:31.800 --> 00:00:35.760]  她的眼睛像你 她的嘴巴和鼻子像媽咪
[00:00:35.760 --> 00:00:37.520]  有幾個人聽過這句話
[00:00:37.520 --> 00:00:39.360]  不要舉手 舉高一點
[00:00:39.360 --> 00:00:41.200]  放下
[00:00:41.200 --> 00:00:44.880]  隨著孩子的年紀慢慢長大
[00:00:44.880 --> 00:00:46.480]  有些人就更多比較
[00:00:46.480 --> 00:00:49.640]  他這東西像爹地
[00:00:49.640 --> 00:00:50.760]  好像我的兒子
[00:00:50.760 --> 00:00:52.280]  什麼像爹地呢
[00:00:52.280 --> 00:00:58.120]  像爹地
[00:00:59.600 --> 00:01:02.280]  另外也有些人說
[00:01:02.280 --> 00:01:03.400]  我的女兒像我
[00:01:03.400 --> 00:01:04.040]  是什麼呢
[00:01:04.040 --> 00:01:05.040]  色弱
[00:01:05.040 --> 00:01:06.880]  有些顏色分不清
[00:01:06.880 --> 00:01:09.480]  這是紫色還是藍色呢
[00:01:09.480 --> 00:01:13.200]  我們有時候只能靠猜測告訴大家
[00:01:13.200 --> 00:01:15.280]  特別是玻璃棋
[00:01:15.280 --> 00:01:17.800]  綠色紅色我分不清
[00:01:17.800 --> 00:01:20.960]  所以玻璃棋我經常被人說
[00:01:20.960 --> 00:01:23.440]  喂 你走錯了
[00:01:23.440 --> 00:01:27.320]  很多時候都說開車沒問題
[00:01:27.320 --> 00:01:29.000]  因為要看位置
[00:01:29.080 --> 00:01:31.680]  (笑聲)
[00:01:31.680 --> 00:01:33.840]  各位親愛的姐妹
[00:01:33.840 --> 00:01:36.800]  過去我們有很多這樣的經歷
[00:01:36.800 --> 00:01:38.200]  但當然
[00:01:38.200 --> 00:01:40.840]  這些像爹地 像媽咪
[00:01:40.840 --> 00:01:42.720]  無傷大雅
[00:01:42.720 --> 00:01:44.320]  不要緊的
[00:01:44.320 --> 00:01:48.400]  但有些東西如果是像
[00:01:48.400 --> 00:01:50.480]  足以致命
[00:01:50.480 --> 00:01:53.200]  還有令到我們的家
[00:01:53.200 --> 00:01:54.240]  我們的下一代
[00:01:54.240 --> 00:01:55.840]  甚至世世代代
[00:01:55.840 --> 00:01:57.840]  都會成為一個奏助
[00:01:58.920 --> 00:02:00.200]  我今天跟大家說的
[00:02:00.200 --> 00:02:01.680]  特別是該隱
[00:02:01.680 --> 00:02:04.400]  它有些致命的東西
[00:02:04.400 --> 00:02:08.360]  是成為它的子子孫孫的板
[00:02:08.360 --> 00:02:10.160]  而這種板
[00:02:10.160 --> 00:02:12.080]  當我們留意看看今天
[00:02:12.080 --> 00:02:15.120]  原來很多人有意無意之間
[00:02:15.120 --> 00:02:17.200]  已經跟了阿湯
[00:02:17.200 --> 00:02:19.400]  特別是跟了該隱
[00:02:19.400 --> 00:02:21.720]  跟了該隱這個板
[00:02:21.720 --> 00:02:24.760]  該隱這個板是一個什麼樣的板呢
[00:02:24.760 --> 00:02:26.600]  我曾經分享過
[00:02:26.600 --> 00:02:28.760]  就是該隱的名字的意思
[00:02:29.000 --> 00:02:30.000]  第一就是得
[00:02:30.000 --> 00:02:31.880]  它是得仔
[00:02:31.880 --> 00:02:34.520]  什麼都要 我要 我要 我要
[00:02:34.520 --> 00:02:37.240]  是堅持它自己的意見
[00:02:37.240 --> 00:02:40.040]  堅持它自己要得著一切的東西
[00:02:40.040 --> 00:02:42.760]  任何人都不可以超越它
[00:02:42.760 --> 00:02:43.560]  它就是要得
[00:02:43.560 --> 00:02:44.760]  第二
[00:02:44.760 --> 00:02:46.400]  該隱的名Kane
[00:02:46.400 --> 00:02:50.520]  也是跟另一個希伯來字根完全一樣
[00:02:50.520 --> 00:02:52.840]  就是茅昌那個字
[00:02:52.840 --> 00:02:54.040]  換句話來說
[00:02:54.040 --> 00:02:55.320]  當它得不到的時候
[00:02:55.320 --> 00:02:56.240]  它是不
[00:02:56.240 --> 00:02:57.720]  甚至
[00:02:58.160 --> 00:03:00.720]  就是完全不計代價
[00:03:00.720 --> 00:03:02.400]  要用茅昌來吸引
[00:03:02.400 --> 00:03:05.280]  它對它的弟弟阿伯就是這樣
[00:03:05.280 --> 00:03:07.840]  當它得不到神的稱讚
[00:03:07.840 --> 00:03:11.640]  因為神看中了阿伯和阿伯的貢物
[00:03:11.640 --> 00:03:15.560]  指示看不中該隱和該隱的那個貢物之後
[00:03:15.560 --> 00:03:17.280]  它就非常生氣
[00:03:17.280 --> 00:03:19.000]  臉色也變了
[00:03:19.000 --> 00:03:21.720]  然後就約它的弟弟去田裡
[00:03:21.720 --> 00:03:23.280]  這個是有預謀的
[00:03:23.280 --> 00:03:25.480]  第二是打它的弟弟
[00:03:25.480 --> 00:03:26.440]  而第三呢
[00:03:26.440 --> 00:03:28.000]  甚至殺了它
[00:03:28.440 --> 00:03:30.560]  而那個殺是屠殺的殺
[00:03:30.560 --> 00:03:33.800]  是當它像羊
[00:03:33.800 --> 00:03:36.400]  當它像牛一樣來屠宰
[00:03:36.400 --> 00:03:38.160]  是因為這樣
[00:03:38.160 --> 00:03:39.840]  所以神就對它說
[00:03:39.840 --> 00:03:43.280]  地一定不會替你效力
[00:03:43.280 --> 00:03:45.560]  第二
[00:03:45.560 --> 00:03:48.280]  你一定會漂流遍地
[00:03:48.280 --> 00:03:50.320]  不會得到安息
