
[00:00:00.000 --> 00:00:01.500]  各位收聽節目 早晨
[00:00:01.500 --> 00:00:05.220]  大家開心嗎? 舉起開心的手
[00:00:05.220 --> 00:00:08.240]  嘩 都幾多人開心
[00:00:08.240 --> 00:00:10.340]  我呢 又講一件事給大家聽
[00:00:10.340 --> 00:00:13.260]  我先問一問
[00:00:13.260 --> 00:00:16.160]  你們有沒有人試過
[00:00:16.160 --> 00:00:17.720]  做夢會飛的?
[00:00:17.720 --> 00:00:21.340]  有沒有? 有沒有人試過做夢會飛的?
[00:00:21.340 --> 00:00:22.340]  有呀?
[00:00:22.340 --> 00:00:25.940]  有試過呀? 試過多少次呀?
[00:00:25.940 --> 00:00:28.940]  有沒有試過5次這麼多的? 有沒有?
[00:00:28.940 --> 00:00:32.240]  嘩 這麼厲害呀? 我昨晚做夢又會飛呀
[00:00:32.240 --> 00:00:35.100]  是呀 我呢 有一輪做夢會飛
[00:00:35.100 --> 00:00:38.120]  不同的飛法 不同的飛法
[00:00:38.120 --> 00:00:40.540]  有時呢 就飛高過那些人的頭
[00:00:40.540 --> 00:00:44.020]  那我今早都跟師母講 我昨晚做夢又會飛呀
[00:00:44.020 --> 00:00:46.860]  做夢呢 那條街上很多人
[00:00:46.860 --> 00:00:49.760]  我就飛起了 離開他們的頭幾呎左右
[00:00:49.760 --> 00:00:52.320]  師母說 你有時都是這樣
[00:00:52.320 --> 00:00:55.180]  不是很高而已 我說不是呀 我有一次我直接
[00:00:55.180 --> 00:00:58.020]  是衝出懸崖那裏 嘩
[00:00:58.020 --> 00:01:00.500]  一飛 跟著下面是個海
[00:01:00.500 --> 00:01:03.440]  還見到在懸崖旁有人在那裏釣魚
[00:01:03.440 --> 00:01:05.400]  這個很久之前了 幾年前
[00:01:05.400 --> 00:01:08.400]  最近我沒有做夢會飛呀 所以我就跟神祈禱
[00:01:08.400 --> 00:01:11.180]  我說 神呀 我想做夢會飛一下
[00:01:11.180 --> 00:01:14.160]  飛是很開心的嘛 是不是?
[00:01:14.160 --> 00:01:16.900]  不知為甚麼 祈了這個禱之後
[00:01:16.900 --> 00:01:19.620]  不是立即應驗 大約是
[00:01:19.620 --> 00:01:22.360]  兩個月左右 昨晚又做夢會飛
[00:01:22.360 --> 00:01:25.560]  我經常都做夢的
[00:01:25.560 --> 00:01:28.480]  為甚麼我會跟大家講一下做夢呢
[00:01:28.480 --> 00:01:31.440]  我早前是看過一個神學家的
[00:01:31.440 --> 00:01:34.380]  一個講章 他是教
[00:01:34.380 --> 00:01:37.340]  教港獨學 教了40年
[00:01:37.340 --> 00:01:40.340]  不是講了40年 不是信了主40年
[00:01:40.340 --> 00:01:43.340]  是教港獨學 教了40年
[00:01:43.340 --> 00:01:46.400]  所以我覺得很值得去參考
[00:01:46.400 --> 00:01:49.400]  學習他的港獨 看看他的教導
[00:01:49.400 --> 00:01:52.400]  港獨 他就講了一點
[00:01:52.400 --> 00:01:55.320]  他說 從聖經來看
[00:01:55.320 --> 00:01:58.300]  神是有時透過人的夢
[00:01:58.300 --> 00:02:00.240]  對他們講說話的
[00:02:00.240 --> 00:02:04.460]  你們想一下
[00:02:04.460 --> 00:02:06.460]  很多人都是
[00:02:06.460 --> 00:02:09.520]  很多聖經裏面的人物都有發了一些夢
[00:02:09.520 --> 00:02:11.640]  而其實神是在跟他們講說話的
[00:02:11.640 --> 00:02:14.900]  好 不要講太遠了 因為
[00:02:14.900 --> 00:02:16.560]  大家時間不多了
[00:02:16.560 --> 00:02:21.060]  我們今天繼續看詩篇第二篇
[00:02:21.060 --> 00:02:22.960]  我打算 目標
[00:02:22.960 --> 00:02:26.000]  是要今天講完詩篇第二篇的
[00:02:26.000 --> 00:02:28.920]  我是打算 目標
[00:02:28.920 --> 00:02:31.940]  不過正如龍門也可以移 目標也可以改
[00:02:31.940 --> 00:02:34.880]  請大家拿起這個程序表的副頁
[00:02:34.880 --> 00:02:37.660]  因為我真的會跟著
[00:02:37.660 --> 00:02:39.420]  經文一道跟大家去分享
[00:02:39.420 --> 00:02:42.720]  上一個主日我就跟大家講到
[00:02:42.720 --> 00:02:45.480]  是第七節 我記下在這
[00:02:45.480 --> 00:02:48.520]  第七節 之前我不想再重覆
[00:02:48.520 --> 00:02:51.460]  不然再講幾堂都講不完
[00:02:52.960 --> 00:02:55.940]  只是簡單地說 詩篇第一篇和第二篇
[00:02:55.940 --> 00:02:58.880]  我都給一個同樣的題目名叫做
[00:02:58.880 --> 00:03:01.100]  「福由你揀」 是你揀的
[00:03:01.100 --> 00:03:04.480]  不過第一篇是個人化的
[00:03:04.480 --> 00:03:07.320]  所以講一個人 但是這個第二篇
[00:03:07.320 --> 00:03:10.100]  就講得很宏觀的
[00:03:10.100 --> 00:03:13.740]  不要緊 黑都不要緊 我試過有一次去短孫
[00:03:13.740 --> 00:03:16.900]  突然間沒電了 在大陸
[00:03:16.900 --> 00:03:21.000]  黑漆漆的 點了支蠟燭繼續講
[00:03:21.660 --> 00:03:24.680]  我經常有時跟那些同工個別聊天
[00:03:24.680 --> 00:03:27.780]  我說 做人最緊要是甚麼 最緊要是定
[00:03:27.780 --> 00:03:31.240]  最緊要是定 不定都要炸定
[00:03:31.240 --> 00:03:34.380]  所以剛才有個誰誰誰
[00:03:34.380 --> 00:03:37.600]  入門口撞到我 嘩 好像見鬼一樣
[00:03:37.600 --> 00:03:40.080]  就是不夠定
[00:03:40.080 --> 00:03:42.820]  我現在看著他 不夠定
[00:03:42.820 --> 00:03:45.360]  我都嘩一聲
[00:03:45.360 --> 00:03:47.920]  他好像見鬼 我真的見鬼
[00:03:48.780 --> 00:03:51.980]  無論如何 不跟你們講笑了 我們繼續來
[00:03:51.980 --> 00:03:55.160]  這篇第二篇去到第八節
[00:03:55.160 --> 00:03:57.820]  他這裡一開始就說 你求我
[00:03:57.820 --> 00:04:00.800]  我就將列國賜你為基業
[00:04:00.800 --> 00:04:03.760]  將地極賜你為田產
[00:04:03.760 --> 00:04:08.100]  這個「你求我」是誰的呢
[00:04:08.100 --> 00:04:09.440]  說甚麼呢
[00:04:09.440 --> 00:04:10.720]  應該呢
[00:04:10.720 --> 00:04:13.900]  應該就是對這個
[00:04:13.900 --> 00:04:16.420]  尼塞瓦講 你求我
[00:04:16.420 --> 00:04:19.880]  我就會將列國 將地極 是不是很荒謬
[00:04:19.880 --> 00:04:23.240]  即是不是好像說 你有甚麼願望 告訴我
[00:04:23.240 --> 00:04:25.920]  這樣 好像問你個人
[00:04:25.920 --> 00:04:29.340]  因為他問這個不是一個普通人來的
[00:04:29.340 --> 00:04:31.860]  他是尼塞瓦
[00:04:31.860 --> 00:04:34.000]  是神的兒子
[00:04:34.000 --> 00:04:36.940]  道成肉身來到這個世界 成為一個人
[00:04:36.940 --> 00:04:40.600]  嘩 精彩呀 神的兒子
[00:04:40.600 --> 00:04:41.600]  是甚麼呀
[00:04:41.600 --> 00:04:43.340]  神的兒子是神
[00:04:43.340 --> 00:04:46.260]  嘩 這些道理呢
[00:04:46.580 --> 00:04:50.600]  你說 可以小朋友都明白
[00:04:50.600 --> 00:04:52.360]  大人反而不明白
[00:04:52.360 --> 00:04:55.780]  聖經就是這樣
[00:04:55.780 --> 00:04:59.220]  聖經就是這樣
[00:04:59.220 --> 00:05:02.940]  祂向那些吃奶的嬰孩
[00:05:02.940 --> 00:05:06.060]  他們反而還能夠明白神
[00:05:06.060 --> 00:05:10.000]  保羅亦說 向愚蠢人
[00:05:10.000 --> 00:05:13.340]  福音的大能是向愚蠢人 反而那些自以為聰明的人
[00:05:13.740 --> 00:05:16.820]  他們不接受 遲些我講詩篇第八篇
[00:05:16.820 --> 00:05:18.480]  就會講到這些
[00:05:18.480 --> 00:05:21.800]  聖經真是很精彩
[00:05:21.800 --> 00:05:25.300]  我們所理解明白的
[00:05:25.300 --> 00:05:26.880]  是從聖經而來
[00:05:26.880 --> 00:05:30.700]  不是別人怎麼說 不是神學怎麼說
[00:05:30.700 --> 00:05:33.920]  當然如果神學根據聖經而是
[00:05:33.920 --> 00:05:37.220]  解釋得清楚 歸納得清楚的 好的
[00:05:37.220 --> 00:05:40.740]  但有時神學真是呢 未必一定是
[00:05:42.940 --> 00:05:45.480]  我昨天 講完了
[00:05:45.480 --> 00:05:47.920]  我昨天又去過喪禮 早上
[00:05:47.920 --> 00:05:49.920]  因為我前晚去的時候
[00:05:49.920 --> 00:05:53.120]  我從來沒試過去喪禮
[00:05:53.120 --> 00:05:54.120]  是遲到的
[00:05:54.120 --> 00:05:57.260]  晚上八點鐘開始
[00:05:57.260 --> 00:05:59.260]  我居然八點零一分
[00:05:59.260 --> 00:06:01.700]  都叫遲到 才進到禮堂
[00:06:01.700 --> 00:06:05.380]  是不是遲到呢 我通常是七點半
[00:06:05.380 --> 00:06:08.200]  盡量七點半我就到 坐在那裏
[00:06:08.200 --> 00:06:09.420]  思想一下 祈禱一下
[00:06:10.640 --> 00:06:13.640]  因為預計不到
[00:06:13.640 --> 00:06:16.440]  是預計不到時間 塞車又撞車
[00:06:16.440 --> 00:06:19.180]  不是我的車撞人 你撞塞住了
[00:06:19.180 --> 00:06:22.260]  接著我又夢查查 去到那個商場
[00:06:22.260 --> 00:06:25.300]  去到旺角東那裏
[00:06:25.300 --> 00:06:28.100]  我忘記怎樣去那個小巴站
[00:06:28.100 --> 00:06:31.100]  我記號碼很厲害 但我記地方很差
[00:06:31.100 --> 00:06:33.560]  我去旺角東那裏
[00:06:33.560 --> 00:06:36.460]  做N次這麼多 我居然
[00:06:36.460 --> 00:06:39.440]  找不到那個小巴站 走來走去
[00:06:39.440 --> 00:06:42.940]  你說是不是很笨 遲到
[00:06:42.940 --> 00:06:45.680]  所以我在晚上和他們分享的時候
[00:06:45.680 --> 00:06:47.500]  我說明天早上不會遲到
[00:06:47.500 --> 00:06:51.320]  接著我自己和朋友說 看看怎樣
[00:06:51.320 --> 00:06:53.180]  但是早上
[00:06:53.180 --> 00:06:56.380]  十點鐘喪禮
[00:06:56.380 --> 00:06:57.660]  我九點前已經到
[00:06:57.660 --> 00:06:59.220]  沒有人在那裏
[00:06:59.220 --> 00:07:03.800]  連那個負責
[00:07:03.800 --> 00:07:05.980]  殯儀的那個人 他都還沒到
[00:07:06.620 --> 00:07:09.760]  我就出去看看甚麼環境
[00:07:09.760 --> 00:07:12.560]  看到對面有個姑娘坐在那裏
[00:07:12.560 --> 00:07:16.380]  姑娘 甚麼叫姑娘 修女
[00:07:16.380 --> 00:07:18.020]  修女
[00:07:18.020 --> 00:07:20.880]  咦 好呀 跟她聊天好呀
[00:07:20.880 --> 00:07:23.900]  我其中一樣最擅長的
[00:07:23.900 --> 00:07:26.380]  就是和那些完全不認識的人聊天
[00:07:26.380 --> 00:07:28.140]  我走過去
[00:07:28.140 --> 00:07:29.540]  搭訕
[00:07:29.540 --> 00:07:32.900]  我說 我想問你
[00:07:32.900 --> 00:07:35.700]  為甚麼有些時候你們又叫Mother
[00:07:35.700 --> 00:07:38.660]  為甚麼有些時候又叫Sister呢 請教
[00:07:38.660 --> 00:07:41.620]  他就解釋給我聽 這個不是最重要
[00:07:41.620 --> 00:07:44.720]  這個只不過是開場白 跟牧師有甚麼關係 有的
[00:07:44.720 --> 00:07:47.820]  不過其實如果說那個
[00:07:47.820 --> 00:07:50.300]  這裏真的下次再說 你們想不想聽
[00:07:50.300 --> 00:07:52.320]  是你們說的
[00:07:52.320 --> 00:07:56.240]  我接著就說 其實我們的信仰
[00:07:56.240 --> 00:07:58.580]  我接著就說 我是牧師來的
[00:07:58.580 --> 00:08:01.820]  是不是 當然要說第二句 我就是牧師
[00:08:01.820 --> 00:08:04.480]  他說牧師呀 牧師
[00:08:04.480 --> 00:08:06.200]  我是浸信會的牧師
[00:08:06.200 --> 00:08:09.820]  我說我一年班到大學裕科是讀聖雷斯
[00:08:09.820 --> 00:08:13.360]  他說 哦 慈幼會 認識的 慈幼會
[00:08:13.360 --> 00:08:16.180]  他還沒有說是名校
[00:08:16.180 --> 00:08:17.680]  他說慈幼會
[00:08:17.680 --> 00:08:20.220]  我說 是呀 所以我明白天主教的道理
[00:08:20.220 --> 00:08:22.740]  那我就說一說 我不信了
[00:08:22.740 --> 00:08:25.360]  我和神父在那裏理論
