
[00:00:00.000 --> 00:00:02.000]  各位靈姐妹平安
[00:00:02.000 --> 00:00:08.000]  今天早上我們一起思想到的
[00:00:08.000 --> 00:00:13.000]  是提摩泰侯書四章一至八節
[00:00:13.000 --> 00:00:17.000]  忠於托符傳揚福音
[00:00:17.000 --> 00:00:21.000]  讓我們先一起讀出經文
[00:00:21.000 --> 00:00:24.400]  所以在電視機或手機旁邊
[00:00:24.400 --> 00:00:28.000]  你可以暗暗地一起讀出這段經文
[00:00:30.000 --> 00:00:32.000]  我在神面前
[00:00:32.000 --> 00:00:36.000]  並在將來審判活人死人的基督
[00:00:36.000 --> 00:00:38.000]  耶穌面前
[00:00:38.000 --> 00:00:42.000]  憑著祂顯現和祂國度祝福你
[00:00:42.000 --> 00:00:44.000]  務要全道
[00:00:44.000 --> 00:00:47.000]  無論得時不得時總要專心
[00:00:47.000 --> 00:00:49.000]  並用百般的忍耐
[00:00:49.000 --> 00:00:51.000]  各樣的教訓
[00:00:51.000 --> 00:00:52.000]  責備人
[00:00:52.000 --> 00:00:53.000]  警戒人
[00:00:53.000 --> 00:00:54.000]  勸勉人
[00:00:54.000 --> 00:00:56.000]  因為時候要到
[00:00:56.000 --> 00:00:59.000]  人必厭惡純正的道理
[00:00:59.000 --> 00:01:01.000]  與對方發揚
[00:01:01.000 --> 00:01:03.000]  就隨從自己的情慾
[00:01:03.000 --> 00:01:06.000]  增添好些師父
[00:01:06.000 --> 00:01:09.000]  並且掩耳不聽真道
[00:01:09.000 --> 00:01:12.000]  偏向荒謬的言語
[00:01:12.000 --> 00:01:14.000]  你卻要凡事謹慎
[00:01:14.000 --> 00:01:16.000]  忍受苦難
[00:01:16.000 --> 00:01:19.000]  作全道的功夫盡你的職責
[00:01:19.000 --> 00:01:21.000]  我現在被囂電
[00:01:21.000 --> 00:01:23.000]  我離世的時候到了
[00:01:23.000 --> 00:01:26.000]  那美好的仗我已經打過了
[00:01:26.000 --> 00:01:30.000]  當跑的路我已經跑盡了
[00:01:30.000 --> 00:01:33.000]  所信的道我已經守住了
[00:01:33.000 --> 00:01:35.000]  從此以後
[00:01:35.000 --> 00:01:37.000]  有公義的冠冕為我存留
[00:01:37.000 --> 00:01:40.000]  就是按著公義審判的主
[00:01:40.000 --> 00:01:43.000]  到了那一天要賜給我的
[00:01:43.000 --> 00:01:44.000]  不但賜給我
[00:01:44.000 --> 00:01:48.000]  也賜給凡愛慕他顯現的人
[00:01:48.000 --> 00:01:51.000]  讓我們先一起禱告
[00:01:51.000 --> 00:01:54.000]  親愛的主耶穌
[00:01:54.000 --> 00:01:56.000]  我們感謝祢
[00:01:56.000 --> 00:01:58.000]  在疫情的當中
[00:01:58.000 --> 00:02:00.000]  祢仍然將我們這一群歸屬祢
