
[00:00:00.000 --> 00:00:02.200]  好 或者我們開始正道之先的時侯
[00:00:02.200 --> 00:00:04.200]  我們有簡單的祈禱
[00:00:04.200 --> 00:00:08.320]  即是在天火那裏
[00:00:08.320 --> 00:00:10.320]  多謝主祢
[00:00:10.320 --> 00:00:14.560]  多謝主祢給我們有生命氣息
[00:00:14.560 --> 00:00:19.520]  多謝主祢給我們有平安的腳步
[00:00:19.520 --> 00:00:22.960]  在自由空氣當中去敬拜祢
[00:00:22.960 --> 00:00:24.960]  去親近祢
[00:00:24.960 --> 00:00:26.960]  還有叫我們珍惜
[00:00:26.960 --> 00:00:29.280]  每一次與祢相聚的時間
[00:00:29.280 --> 00:00:31.280]  每一次敬拜祢的時間
[00:00:31.280 --> 00:00:35.400]  亦要珍惜每一次與弟兄姊妹相聚的時侯
[00:00:35.400 --> 00:00:38.920]  在這裏很想主祢特別的祝福
[00:00:38.920 --> 00:00:42.280]  願孩子口裏面言語
[00:00:42.280 --> 00:00:44.280]  心裏面的意念
[00:00:44.280 --> 00:00:45.720]  是夢的語能
[00:00:45.720 --> 00:00:48.480]  叫講的 叫聽的
[00:00:48.480 --> 00:00:49.880]  多給我們祝福
[00:00:49.880 --> 00:00:51.880]  祈禱去奉主的名求
[00:00:51.880 --> 00:00:58.680]  弟兄姊妹吃了早餐沒有
[00:00:59.680 --> 00:01:01.280]  應該吃了
[00:01:01.280 --> 00:01:03.280]  否則吃九行粥都會肚餓
[00:01:03.280 --> 00:01:07.320]  我們今天讀經的那段時間
[00:01:07.320 --> 00:01:11.000]  我們在講綿羊和山羊的比喻
[00:01:11.000 --> 00:01:13.000]  當讀這比喻的那段時間
[00:01:13.000 --> 00:01:17.240]  很多人在心裏面浮現很多問題
[00:01:17.240 --> 00:01:21.560]  他們在問 究竟哪些是綿羊呢
[00:01:21.560 --> 00:01:25.800]  又或者他們在問 哪些是山羊呢
[00:01:25.800 --> 00:01:29.640]  有時我們又會問 究竟左邊是甚麼意思呢
[00:01:29.640 --> 00:01:33.280]  或是右邊是甚麼意思呢
[00:01:33.280 --> 00:01:35.280]  在這裏很想和大家分享
[00:01:35.280 --> 00:01:37.800]  當我們去讀主的話語
[00:01:37.800 --> 00:01:39.560]  去看比喻的那段時間
[00:01:39.560 --> 00:01:42.680]  我們通常有一個通則或原則
[00:01:42.680 --> 00:01:46.240]  每個比喻通常只是一個重點的訊息
[00:01:46.240 --> 00:01:49.160]  如果想得太多 想得太複雜
[00:01:49.160 --> 00:01:54.400]  反而我們會抓不到神話語的重心
[00:01:54.400 --> 00:01:56.920]  明顯在這個比喻裏面
[00:01:56.920 --> 00:01:59.920]  綿羊是主預備了甚麼
[00:01:59.920 --> 00:02:01.720]  預備了一些義人
[00:02:01.720 --> 00:02:05.640]  山羊是代表那些受奏助的人
[00:02:05.640 --> 00:02:08.920]  右邊的是得到讚賞
