
[00:00:00.000 --> 00:00:06.200]  讀一段聖經在撒馬爾街上第十七章第四十五到四十九節
[00:00:06.200 --> 00:00:08.500]  這裡說大衛對非利人說
[00:00:08.500 --> 00:00:11.500]  你來攻擊我是靠著刀槍和銅棋
[00:00:11.500 --> 00:00:14.500]  我來攻擊你是靠著萬軍之耶華的名
[00:00:14.500 --> 00:00:18.500]  就是你所怒罵帶領以色列軍隊的神
[00:00:18.500 --> 00:00:20.600]  今日耶華必將你交在我手裡
[00:00:20.600 --> 00:00:22.300]  我必殺你宰你的頭
[00:00:22.300 --> 00:00:25.100]  又將非利士軍兵的屍首
[00:00:25.100 --> 00:00:28.000]  給空中的飛鳥地上的野獸吃
[00:00:28.000 --> 00:00:31.500]  使普天下的人都知道以色列中有神
[00:00:31.500 --> 00:00:35.500]  又使得眾人知道耶華使人得勝不是用刀用槍
[00:00:35.500 --> 00:00:38.500]  因為征戰的勝敗全在乎耶和華
[00:00:38.500 --> 00:00:41.500]  他必將你們交在我們手裡
[00:00:41.500 --> 00:00:44.500]  非利士人起身迎著大衛前來
[00:00:44.500 --> 00:00:48.500]  大衛急忙迎著非利士人往戰場跑去
[00:00:48.500 --> 00:00:51.500]  大衛用手從狼中掏出一塊石子來
[00:00:51.500 --> 00:00:54.000]  用雞犬甩去打中非利士人
[00:00:54.000 --> 00:00:58.500]  而石子進入額內他就撲倒面伏於地
[00:00:58.500 --> 00:01:01.000]  我們就讀到這裡
[00:01:01.000 --> 00:01:03.000]  我想大衛跟戈利亞的故事
[00:01:03.000 --> 00:01:07.000]  是我們基督徒耳熟能詳的故事
[00:01:07.000 --> 00:01:10.000]  為什麼我們這麼喜歡這個故事呢
[00:01:10.000 --> 00:01:11.500]  是因為在我們人生當中
[00:01:11.500 --> 00:01:16.500]  我們也是不斷的面對各式各樣的巨人不是嗎
[00:01:16.500 --> 00:01:18.000]  無論在工作上
[00:01:18.000 --> 00:01:21.000]  無論在財務上家庭上
[00:01:21.000 --> 00:01:24.500]  或是在身體上面對各樣的疾病
[00:01:24.500 --> 00:01:27.000]  我們看見好像我們生命中的巨人
[00:01:27.000 --> 00:01:29.000]  總是層出不窮
[00:01:29.000 --> 00:01:32.500]  而且一個一個接踵而來
[00:01:32.500 --> 00:01:34.500]  多少時候當我們在面對這種
[00:01:34.500 --> 00:01:36.500]  生命中的巨人的時候
[00:01:36.500 --> 00:01:40.000]  我們何等渴望大衛的故事
[00:01:40.000 --> 00:01:44.000]  能夠重演在我們生活當中不是嗎
[00:01:44.000 --> 00:01:46.500]  但很多時候當我們在面對巨人的時候
[00:01:46.500 --> 00:01:49.000]  我們常常看見我們好像是當年
[00:01:49.000 --> 00:01:53.000]  摩西派到迦南帝那些探子一樣
[00:01:53.000 --> 00:01:56.000]  一看到巨人就覺得自己像蚱蜢一樣
[00:01:56.000 --> 00:01:58.500]  心灰意冷
[00:01:58.500 --> 00:02:02.500]  我們多麼希望我們能夠像大衛那麼勇敢
[00:02:02.500 --> 00:02:06.500]  能夠去面對我們生命中的巨人
[00:02:06.500 --> 00:02:10.500]  但事實上如果你仔細讀大衛的一生
[00:02:10.500 --> 00:02:15.500]  你就會發現其實大衛並不是一個天生勇敢的人
[00:02:15.500 --> 00:02:17.500]  當你讀到他的詩篇
[00:02:17.500 --> 00:02:21.500]  你就發現多少次他在面對敵人的時候
[00:02:21.500 --> 00:02:25.000]  他心中充滿了孤單跟恐懼
[00:02:25.000 --> 00:02:27.000]  甚至感覺很無助
[00:02:27.000 --> 00:02:29.000]  正好像我們一模一樣
[00:02:29.000 --> 00:02:31.000]  事實上我相信這也是為我們
[00:02:31.000 --> 00:02:33.500]  那麼喜歡讀詩篇的原因
[00:02:33.500 --> 00:02:36.000]  因為詩篇的作者常常就是說出
[00:02:36.000 --> 00:02:38.000]  我們心中的一個心境
[00:02:38.000 --> 00:02:40.000]  說出我們裡面的掙扎
[00:02:40.000 --> 00:02:41.500]  我們的煩躁
[00:02:41.500 --> 00:02:43.500]  我們裡面的哀求
[00:02:43.500 --> 00:02:46.000]  也說出我們在等候當中
[00:02:46.000 --> 00:02:48.000]  很多時候我們的疑惑
[00:02:48.000 --> 00:02:53.000]  我們就發現大衛是跟我們一樣軟弱的人
[00:02:53.000 --> 00:02:57.000]  但為什麼他卻能夠那麼勇敢的
