
[00:00:00.000 --> 00:00:03.400]  你的人生正在等待什麼呢?
[00:00:03.400 --> 00:00:10.220]  你是否有很大的困難需要面對和解決呢?
[00:00:10.220 --> 00:00:13.960]  或者你有很大的期望
[00:00:13.960 --> 00:00:19.580]  在你的生命裡面很想發生或出現的呢?
[00:00:19.580 --> 00:00:23.640]  你的生命正在等待什麼呢?
[00:00:23.640 --> 00:00:25.620]  有什麼事情發生
[00:00:25.620 --> 00:00:30.480]  讓你覺得你所等待的事情很接近了,快要出現了
[00:00:30.480 --> 00:00:36.100]  有什麼記號可以幫助你相信
[00:00:36.100 --> 00:00:39.680]  你所等待的事情是一定會出現的
[00:00:39.680 --> 00:00:41.680]  是會成就的
[00:00:41.680 --> 00:00:47.280]  是會對你的生命得到很大的成就的
[00:00:47.280 --> 00:00:50.540]  以色列人正在等待什麼呢?
[00:00:50.540 --> 00:00:55.160]  以色列人正在等待一個尼塞亞的出現
[00:00:56.100 --> 00:00:59.000]  聖誕就是尼塞亞降生
[00:00:59.000 --> 00:01:02.020]  我們看路加福第2章第8至14節
[00:01:02.020 --> 00:01:04.800]  這是第3節看的
[00:01:04.800 --> 00:01:07.460]  孫召又說了,《啟蒙經文》又讀了
[00:01:07.460 --> 00:01:09.820]  多讀兩次也無所謂
[00:01:09.820 --> 00:01:14.400]  我們從第8節開始讀到第14節
[00:01:14.400 --> 00:01:21.480]  但是POWERPOINT第13節有些錯誤
[00:01:21.480 --> 00:01:22.860]  看是否看得出來
[00:01:22.860 --> 00:01:25.900]  你根據你的記憶讀就可以了,抽屜也會準確的
[00:01:25.900 --> 00:01:27.900]  不用看那些字
[00:01:27.900 --> 00:01:29.900]  讀了幾十次
[00:01:29.900 --> 00:01:31.900]  OK,試試憑記憶讀
[00:01:31.900 --> 00:01:33.220]  1,2,3
[00:01:33.220 --> 00:01:36.920]  在伯利恆之野地裡有牧羊的人
[00:01:36.920 --> 00:01:40.540]  夜間按著羹似看守羊群
[00:01:40.540 --> 00:01:44.000]  有主的使者站在他們旁邊
[00:01:44.000 --> 00:01:47.000]  主的榮光四面照著他們
[00:01:47.000 --> 00:01:49.480]  牧羊的人就甚懼怕
[00:01:49.480 --> 00:01:53.120]  那天使對他們說:「不要懼怕
[00:01:53.120 --> 00:01:56.100]  我報給你們大喜的訊息
[00:01:56.100 --> 00:01:58.100]  是關乎萬民的
[00:01:58.100 --> 00:02:00.900]  因今天在大衛的城裡
[00:02:00.900 --> 00:02:03.380]  為你們生了救主
[00:02:03.380 --> 00:02:05.380]  就是主基督
[00:02:05.380 --> 00:02:08.180]  你們要看見一個嬰孩
[00:02:08.180 --> 00:02:11.300]  包著布臥在馬槽裡
[00:02:11.300 --> 00:02:13.660]  那就是記號了」
[00:02:13.660 --> 00:02:15.980]  忽然有一大隊天兵
[00:02:15.980 --> 00:02:18.900]  和那天使讚美神說
[00:02:18.900 --> 00:02:22.260]  「在至高之處榮耀歸於神
[00:02:22.260 --> 00:02:26.580]  在地上平安歸於他所喜悅的人」
[00:02:26.580 --> 00:02:28.580]  所以你憑記憶讀就對了
[00:02:28.580 --> 00:02:30.580]  那裡有兩個字的,大家都能看見
[00:02:30.580 --> 00:02:32.580]  不是的,知道的
[00:02:32.580 --> 00:02:34.580]  知道的,我今天早上都可以
[00:02:34.580 --> 00:02:36.580]  所以你可以的
[00:02:36.580 --> 00:02:38.580]  以色列人在這個
[00:02:38.580 --> 00:02:40.580]  抗野的牧羊人
[00:02:40.580 --> 00:02:42.580]  在這個抗野
[00:02:42.580 --> 00:02:44.580]  聽見天使
[00:02:44.580 --> 00:02:48.700]  報了這個大喜訊息給他們
[00:02:48.700 --> 00:02:50.700]  告訴他們
[00:02:50.700 --> 00:02:52.700]  今天生了救主
[00:02:52.700 --> 00:02:54.700]  就是主基督
[00:02:54.700 --> 00:02:56.700]  為什麼這個訊息
[00:02:56.700 --> 00:02:58.700]  是一個大喜的訊息呢?
[00:02:58.700 --> 00:03:03.700]  因為猶太人一直在盼望
[00:03:03.700 --> 00:03:06.700]  尼塞亞的降臨
[00:03:06.700 --> 00:03:10.700]  猶太人盼望尼塞亞的降臨
[00:03:10.700 --> 00:03:15.700]  尼塞亞是一個希伯來文的譯音
[00:03:15.700 --> 00:03:18.700]  希臘文的譯音是基督
[00:03:18.700 --> 00:03:23.700]  基督和尼塞亞都是翻譯
[00:03:23.700 --> 00:03:26.700]  不是中文,都是音
[00:03:26.700 --> 00:03:31.700]  它的意思是受高者被高納
[00:03:31.700 --> 00:03:34.700]  所以在和本中文的舊約聖經
[00:03:34.700 --> 00:03:36.700]  沒有出現尼塞亞這個字
[00:03:36.700 --> 00:03:38.700]  是因為中文的翻譯
[00:03:38.700 --> 00:03:40.700]  都將它的意思翻譯出來
[00:03:40.700 --> 00:03:42.700]  沒有翻譯成音
