
[00:00:00.000 --> 00:00:02.000]  如果大家還記得的話
[00:00:02.000 --> 00:00:05.420]  前幾次我們講訴羅
[00:00:05.420 --> 00:00:10.380]  講他一個可以講叫失敗的人生
[00:00:10.380 --> 00:00:13.700]  那個貞潔就是那個講道的題目
[00:00:13.700 --> 00:00:14.440]  他是怎樣?
[00:00:14.440 --> 00:00:16.520]  他是一錯再錯
[00:00:16.520 --> 00:00:17.720]  繼續錯
[00:00:17.720 --> 00:00:20.380]  不肯悔改歸向神
[00:00:20.380 --> 00:00:23.800]  到上一次我們開始講大衛
[00:00:23.800 --> 00:00:26.840]  大衛的一生在聖經叫做很多
[00:00:26.840 --> 00:00:30.520]  是一個很值得我們不斷去看多一點的人物
[00:00:30.520 --> 00:00:34.160]  我都嫌我這樣兩次很粗略地講
[00:00:34.160 --> 00:00:35.280]  太過粗略了
[00:00:35.280 --> 00:00:39.040]  大家回去就可以再研究一下大衛的人生
[00:00:39.040 --> 00:00:44.400]  上一次講了他造王之前的人生
[00:00:44.400 --> 00:00:46.360]  我們那個講道題目有七個字
[00:00:46.360 --> 00:00:47.420]  上一次是什麼?
[00:00:47.420 --> 00:00:54.200]  是他逃難
[00:00:54.200 --> 00:00:55.480]  是不是?
[00:00:56.280 --> 00:00:57.940]  忍羞辱
[00:00:57.940 --> 00:00:58.760]  是不是?
[00:00:58.760 --> 00:01:02.320]  就是訴羅追殺他的時候
[00:01:02.320 --> 00:01:04.320]  他就逃難
[00:01:04.320 --> 00:01:05.320]  走
[00:01:05.320 --> 00:01:08.080]  別人羞辱他的時候
[00:01:08.080 --> 00:01:09.080]  他就忍
[00:01:09.080 --> 00:01:12.240]  就是一直等候神的時間
[00:01:12.240 --> 00:01:15.280]  來去不肯殺訴羅
[00:01:15.280 --> 00:01:17.720]  這一次我們再講的時候
[00:01:17.720 --> 00:01:19.600]  就是他造王
[00:01:19.600 --> 00:01:20.880]  造王之後
[00:01:20.880 --> 00:01:23.040]  還有很多的經歷
[00:01:23.040 --> 00:01:27.800]  很值得我們去在當中學習一些功課
[00:01:27.800 --> 00:01:33.440]  我就用一個題目來炫耀了他的重點
[00:01:33.440 --> 00:01:35.440]  就是認罪悔改
[00:01:35.440 --> 00:01:36.920]  只是看前面的部分
[00:01:36.920 --> 00:01:39.600]  都已經跟之前的訴羅很不同了
[00:01:39.600 --> 00:01:42.720]  之前的訴羅就是死不悔改
[00:01:42.720 --> 00:01:46.080]  所以就不能夠救了他
[00:01:46.080 --> 00:01:47.320]  神都沒有辦法救了他
[00:01:47.320 --> 00:01:48.560]  他不肯悔改
[00:01:48.560 --> 00:01:51.520]  但是這一次大衛就不同了
[00:01:51.520 --> 00:01:52.920]  他是認罪悔改
[00:01:52.920 --> 00:01:56.000]  還有後面的合神心意
[00:01:56.000 --> 00:01:58.000]  其實合神心意這個詞
[00:01:58.000 --> 00:02:01.720]  我們在之前已經講訴羅的時候提過了
[00:02:01.720 --> 00:02:04.120]  訴羅在他不聽話的時候
[00:02:04.120 --> 00:02:06.120]  撒姆爾就跟他說
[00:02:06.120 --> 00:02:08.120]  你既然厭棄神
[00:02:08.120 --> 00:02:09.880]  神也厭棄你造王了
[00:02:09.880 --> 00:02:12.440]  神已經選擇過另一個王
[00:02:12.440 --> 00:02:14.440]  是合神心意的
[00:02:14.440 --> 00:02:18.480]  已經有一點讓我們看到端倪
[00:02:18.480 --> 00:02:20.000]  接下來那個王是怎樣
[00:02:20.000 --> 00:02:21.560]  是合神心意
[00:02:21.560 --> 00:02:24.760]  我們就用這個題目來作一個開始
[00:02:24.760 --> 00:02:27.560]  經文就由撒姆爾記下
[00:02:27.560 --> 00:02:30.320]  我一邊講大家喜歡就一邊揭開
[00:02:30.320 --> 00:02:33.920]  記住一些重點就可以了
[00:02:33.920 --> 00:02:37.520]  大衛在撒姆爾記下第二章那一段
[00:02:37.520 --> 00:02:43.000]  就是講述到訴羅已經戰敗死了
[00:02:43.000 --> 00:02:45.680]  大衛在撒姆爾記下第二章
[00:02:45.680 --> 00:02:51.560]  就問神第二章第一節
