
[00:00:00.000 --> 00:00:07.000]  我們都知道有一句話叫做病蟲
[00:00:07.000 --> 00:00:11.000]  禍蟲
[00:00:11.000 --> 00:00:14.000]  你們都知道什麼意思對不對
[00:00:14.000 --> 00:00:17.000]  那麼很多時候我們也常常
[00:00:17.000 --> 00:00:20.000]  在這事情上面我們會犯錯
[00:00:20.000 --> 00:00:22.000]  有時候我們會知道我們所講的話
[00:00:22.000 --> 00:00:24.000]  惹來的麻煩對不對
[00:00:24.000 --> 00:00:25.000]  這是我們所經歷的
[00:00:25.000 --> 00:00:29.000]  其實聖經也有很多的地方教訓我們
[00:00:29.000 --> 00:00:32.000]  我們的語言我們的話語的重要
[00:00:32.000 --> 00:00:33.000]  聖經也警告我們
[00:00:33.000 --> 00:00:36.000]  要我們謹慎我們的言語
[00:00:36.000 --> 00:00:47.000]  甚至告訴我們不能隨隨便便亂說
[00:00:47.000 --> 00:00:50.000]  它要我們有智慧
[00:00:50.000 --> 00:00:51.000]  要我們有知識
[00:00:51.000 --> 00:00:55.000]  這是聖經上告訴我們的
[00:00:55.000 --> 00:01:00.000]  今天我想藉著幾段聖經
[00:01:00.000 --> 00:01:02.000]  讓我們能夠思想一個問題
[00:01:02.000 --> 00:01:05.000]  就是基督徒的言語
[00:01:05.000 --> 00:01:07.000]  因為我們已經是屬於神的了
[00:01:07.000 --> 00:01:09.000]  所以我們在講話上面
[00:01:09.000 --> 00:01:11.000]  我們要很謹慎
[00:01:11.000 --> 00:01:13.000]  照著聖經上所教導的
[00:01:13.000 --> 00:01:15.000]  如果神允許
[00:01:15.000 --> 00:01:17.000]  我會花幾個主日的時間
[00:01:17.000 --> 00:01:20.000]  講基督徒的言語
[00:01:20.000 --> 00:01:24.000]  今天我們要從一個很基礎的
[00:01:24.000 --> 00:01:27.000]  幾處經文我們來看
[00:01:27.000 --> 00:01:33.000]  為什麼基督徒要謹慎他的言語
[00:01:33.000 --> 00:01:34.000]  換句話講
[00:01:34.000 --> 00:01:36.000]  就是我們今天要思想的一個問題
[00:01:36.000 --> 00:01:39.000]  就是基督徒的言語的重要性
[00:01:39.000 --> 00:01:42.000]  為什麼我們要注意這些事情
[00:01:42.000 --> 00:01:44.000]  我們在人與人之間來往的時候
[00:01:44.000 --> 00:01:46.000]  我們為什麼要小心
[00:01:46.000 --> 00:01:48.000]  為什麼有些話可以講
[00:01:48.000 --> 00:01:50.000]  有些話不能講
[00:01:50.000 --> 00:01:54.000]  這是我們今天以後
[00:01:54.000 --> 00:01:56.000]  我就盼望我們能夠
[00:01:56.000 --> 00:01:58.000]  講到基督徒的言語
[00:01:58.000 --> 00:02:00.000]  哪些話我可以講
[00:02:00.000 --> 00:02:01.000]  哪些話我不能講
[00:02:01.000 --> 00:02:03.000]  哪些話是屬於誹謗的
[00:02:03.000 --> 00:02:05.000]  哪些話是屬於嫉妒而出來的
[00:02:05.000 --> 00:02:10.000]  哪些話是屬於苦讀而出來的
[00:02:10.000 --> 00:02:11.000]  我們常常
[00:02:11.000 --> 00:02:13.000]  我自己在教會裡面
[00:02:13.000 --> 00:02:15.000]  我常常發現很多時候
[00:02:15.000 --> 00:02:17.000]  夫妻之間出了問題
[00:02:17.000 --> 00:02:19.000]  在那邊爭鬧
[00:02:19.000 --> 00:02:21.000]  很多時候就是因為
[00:02:21.000 --> 00:02:23.000]  交流上面出了問題
[00:02:23.000 --> 00:02:25.000]  那麼等一下我們會慢慢的
[00:02:25.000 --> 00:02:27.000]  從經文我們來看這些事情
[00:02:27.000 --> 00:02:29.000]  那第一處的經文呢
[00:02:29.000 --> 00:02:32.000]  是在已福所書第四章第25節
[00:02:32.000 --> 00:02:33.000]  如果你有聖經的話
[00:02:33.000 --> 00:02:38.000]  請你打開已福所書第四章第25節
[00:02:38.000 --> 00:02:40.000]  已福所書第四章第25節
[00:02:40.000 --> 00:02:42.000]  那麼他在這裡他這樣講
[00:02:42.000 --> 00:02:45.000]  他說所以你們要棄絕謊言
[00:02:45.000 --> 00:02:47.000]  個人與靈社說實話
[00:02:47.000 --> 00:02:49.000]  因為我們是互相為肢體
[00:02:49.000 --> 00:02:52.000]  那這一段經文我以前講過
[00:02:52.000 --> 00:02:53.000]  但是在這裡呢
[00:02:53.000 --> 00:02:57.000]  我想我們要注意的就是
[00:02:57.000 --> 00:02:59.000]  他在這裡告訴我們
[00:02:59.000 --> 00:03:00.000]  你們要棄絕謊言
[00:03:00.000 --> 00:03:03.000]  他前面說一個所以
[00:03:03.000 --> 00:03:04.000]  那是這是呢
[00:03:04.000 --> 00:03:05.000]  這一段經文呢
[00:03:05.000 --> 00:03:07.000]  這一節經文是在前面
[00:03:07.000 --> 00:03:08.000]  要從前面連下來
[00:03:08.000 --> 00:03:10.000]  從17節一直到第24節
[00:03:10.000 --> 00:03:12.000]  是我們信主耶穌
[00:03:12.000 --> 00:03:13.000]  接受了主耶穌
