
[00:00:00.000 --> 00:00:02.080]  好,今日我會同大家分享一個題目,
[00:00:02.080 --> 00:00:05.280]  就叫做一樣種百樣果,是甚麼意思呢?
[00:00:05.280 --> 00:00:08.400]  是來自,我想中文一句很熟悉的說話是甚麼呢?
[00:00:08.400 --> 00:00:11.640]  「一樣米養百樣人」,
[00:00:11.640 --> 00:00:14.080]  這句說話的背後意思是甚麼呢?
[00:00:14.080 --> 00:00:17.040]  就是同一樣的道理,
[00:00:17.040 --> 00:00:19.200]  或者很多人有不同的反應,
[00:00:19.200 --> 00:00:22.080]  即是我兩個弟弟同一間學校讀書,
[00:00:22.080 --> 00:00:25.240]  都是聖雷斯中學,都叫名校,
[00:00:25.680 --> 00:00:30.320]  但兩個人在社會上的工作都截然不同,
[00:00:30.320 --> 00:00:33.280]  大弟子始終都是一個專業的會計師,
[00:00:33.280 --> 00:00:37.080]  但最小的是一事無成,到今日都無做事,
[00:00:37.080 --> 00:00:39.040]  為何會這樣?
[00:00:39.040 --> 00:00:41.240]  我記得我爸爸當時說,
[00:00:41.240 --> 00:00:42.480]  我爸爸不理會我讀書的,
[00:00:42.480 --> 00:00:43.680]  但爸爸說了一樣東西就是,
[00:00:43.680 --> 00:00:45.320]  你讀得到就讀下去,
[00:00:45.320 --> 00:00:48.280]  你讀得多少我都供你,
[00:00:48.280 --> 00:00:50.600]  讀不成書就自己出來做事,
[00:00:50.600 --> 00:00:53.560]  這就是我父親的原則。
[00:00:54.240 --> 00:00:56.320]  為何會有這麼大的分別呢?
[00:00:56.320 --> 00:01:00.080]  原來有時是那個人自己本身是怎樣,
[00:01:00.080 --> 00:01:02.280]  所以今日我會跟大家看一段,
[00:01:02.280 --> 00:01:05.280]  大家好像很熟悉,但又忽略了的經文,
[00:01:05.280 --> 00:01:08.040]  就是殺種的比喻,
[00:01:08.040 --> 00:01:10.560]  但其實這是後人加上去,
[00:01:10.560 --> 00:01:13.240]  我不覺得這個題目是對的,
[00:01:13.240 --> 00:01:15.960]  這應該是講土壤的比喻,
[00:01:15.960 --> 00:01:18.560]  因為種子是相同的,
[00:01:18.560 --> 00:01:22.480]  但殺在不同的土壤有不同的果效,
[00:01:23.120 --> 00:01:24.320]  這段經文我們很熟悉,
[00:01:24.320 --> 00:01:25.520]  但有時我們忽略了,
[00:01:25.520 --> 00:01:29.320]  我們先來看馬太福音第十三章第一、第二兩節,
[00:01:29.320 --> 00:01:30.800]  我們一齊來讀出。
[00:01:30.800 --> 00:01:35.200]  「當那一天,耶穌從房子裡出來,
[00:01:35.200 --> 00:01:36.680]  坐在海邊,
[00:01:36.680 --> 00:01:39.600]  有許多人到他那裡聚集,
[00:01:39.600 --> 00:01:41.880]  他只得上船坐下,
[00:01:41.880 --> 00:01:44.120]  眾人都站在岸上。」
[00:01:44.120 --> 00:01:49.520]  原來當耶穌在海邊一間屋子裡居住,
[00:01:49.520 --> 00:01:51.920]  祂出來時見到很多很多人,
[00:01:52.360 --> 00:01:53.880]  祂想見祂,
[00:01:53.880 --> 00:01:56.120]  很多人是慕名而來的,
[00:01:56.120 --> 00:01:59.080]  因為之前耶穌行過很多神蹟,
[00:01:59.080 --> 00:02:01.040]  治病、趕鬼,
[00:02:01.040 --> 00:02:04.960]  而有很多人都很想得到醫治,
[00:02:04.960 --> 00:02:08.400]  於是有些人就湧來見耶穌,
[00:02:08.400 --> 00:02:13.640]  雖然耶穌知道這班人有很不同的心態或目標,
[00:02:13.640 --> 00:02:15.960]  但耶穌照樣來宣講,
[00:02:15.960 --> 00:02:19.640]  於是祂就上了一艘船撐遠一點,
[00:02:19.640 --> 00:02:22.040]  這艘船就成為了祂的港台,
[00:02:22.480 --> 00:02:27.360]  祂就望著那班群眾向他們講道理,
[00:02:27.360 --> 00:02:30.480]  但耶穌有一個很大的感受就是,
[00:02:30.480 --> 00:02:34.160]  究竟這班人有多少人真正懷著一個
[00:02:34.160 --> 00:02:38.040]  渴慕天國道理的心來尋求祂,
[00:02:38.040 --> 00:02:43.280]  究竟這班人有多少人聽得懂祂所講的信息呢?
[00:02:43.280 --> 00:02:47.840]  於是耶穌就用比喻來教訓他們,
[00:02:47.840 --> 00:02:51.840]  第一個比喻就是我們剛才所講的殺種比喻,
[00:02:51.840 --> 00:02:55.360]  但我再講應該叫做土壤的比喻,
[00:02:55.360 --> 00:03:00.680]  耶穌用一些他們很熟悉的生活習慣或事物,
[00:03:00.680 --> 00:03:05.840]  來引導他們思想一些更深層的道理,
[00:03:05.840 --> 00:03:10.320]  特別可能他們是未想過的道理,
[00:03:10.320 --> 00:03:14.280]  如果我們來看這個比喻時,
[00:03:14.280 --> 00:03:19.600]  是講到一些種子落在四種不同的地圖裏面,
[00:03:19.600 --> 00:03:21.480]  有四種不同的反應,
[00:03:21.480 --> 00:03:24.440]  我們先來讀第三到第九節,
[00:03:24.440 --> 00:03:26.680]  第三到第九節我們一齊來讀出。
[00:03:26.680 --> 00:03:30.640]  「他用比喻對他們講許多道理,
[00:03:30.640 --> 00:03:34.080]  說有一個殺種的出去殺種,
[00:03:34.080 --> 00:03:37.080]  殺的時候有落在路旁的,
