
[00:00:00.000 --> 00:00:04.680]  在二零二五年預府祈靈修四十天裏
[00:00:04.680 --> 00:00:08.080]  我被帶領選了的題目是
[00:00:08.080 --> 00:00:10.640]  耶穌我主我神
[00:00:10.640 --> 00:00:15.240]  由四十個角度去看主耶穌基督
[00:00:15.240 --> 00:00:17.960]  今天來到第十六天
[00:00:17.960 --> 00:00:19.160]  第十六次
[00:00:19.160 --> 00:00:22.440]  就是看主耶穌行神蹟的第五
[00:00:22.440 --> 00:00:24.640]  第五大家記得
[00:00:24.640 --> 00:00:26.920]  我將神蹟分了幾部分
[00:00:26.920 --> 00:00:28.600]  第一 趕鬼
[00:00:28.600 --> 00:00:30.040]  第二 醫病
[00:00:30.040 --> 00:00:33.480]  第三 他駕馭大自然
[00:00:33.480 --> 00:00:35.680]  第四 哇 重要了
[00:00:35.680 --> 00:00:38.520]  每個神蹟都這麼厲害
[00:00:38.520 --> 00:00:42.520]  第四就是叫死人復活
[00:00:42.520 --> 00:00:44.560]  第五個神蹟來到今天
[00:00:44.560 --> 00:00:48.760]  就是自己復活 主耶穌自己復活
[00:00:48.760 --> 00:00:53.520]  今天的經文很多 很長
[00:00:53.520 --> 00:00:58.680]  因為講復活是我們整個信仰的核心
[00:00:58.680 --> 00:01:00.880]  是我們得救的核心
[00:01:00.880 --> 00:01:03.880]  有時講主耶穌的復活
[00:01:03.880 --> 00:01:05.440]  是講得比較多
[00:01:05.440 --> 00:01:09.640]  對我們自己個人是很有影響的
[00:01:09.640 --> 00:01:10.960]  好 我們馬上開始
[00:01:10.960 --> 00:01:14.200]  我們禱告
[00:01:14.200 --> 00:01:16.280]  讚美上主
[00:01:16.280 --> 00:01:19.960]  祢自己道化人生
[00:01:19.960 --> 00:01:24.120]  祢的兒子耶穌基督來到我們當中
[00:01:24.120 --> 00:01:26.600]  聖靈又感動我們的心
[00:01:26.600 --> 00:01:30.240]  認識祢 接受祢 明白祢
[00:01:30.240 --> 00:01:35.480]  三一真神在整個救贖計劃裏面
[00:01:35.480 --> 00:01:38.360]  表現得非常清楚
[00:01:38.360 --> 00:01:41.160]  非常完美的配合
[00:01:41.160 --> 00:01:43.760]  叫人讚嘆
[00:01:43.760 --> 00:01:47.000]  叫人佩服得五體投地
[00:01:47.000 --> 00:01:49.400]  讓主的名被高舉
[00:01:49.400 --> 00:01:50.920]  主今天我們特別要看到
[00:01:50.920 --> 00:01:54.280]  我們所跟隨尊貴的耶穌
[00:01:54.280 --> 00:01:57.400]  神的兒子怎樣死
[00:01:57.400 --> 00:02:01.440]  然後祂自己從死裡復活
[00:02:01.440 --> 00:02:05.400]  這個真是莫大莫大的神蹟
[00:02:05.400 --> 00:02:08.680]  甚至乎比趕鬼 比醫病
[00:02:08.680 --> 00:02:15.320]  比駕馭自然界 叫人復活
[00:02:15.320 --> 00:02:19.280]  都來得更加重大 更加奇妙
[00:02:19.280 --> 00:02:22.320]  是祢自己從死裡復活
[00:02:22.320 --> 00:02:24.080]  讚美主
[00:02:24.080 --> 00:02:26.760]  祢自己真是無比的大能
[00:02:26.760 --> 00:02:28.680]  擁有所有的權柄
[00:02:28.680 --> 00:02:33.520]  死亡在你來說完全不是甚麼
[00:02:33.520 --> 00:02:37.040]  它的毒鉤不能夠在你的身上
[00:02:37.040 --> 00:02:39.240]  發生任何作用
[00:02:39.240 --> 00:02:40.720]  我們跟隨你之後
[00:02:40.720 --> 00:02:44.640]  死的權柄與毒鉤都不能夠再在我們的身上
[00:02:44.640 --> 00:02:46.400]  發生甚麼作用
[00:02:46.400 --> 00:02:49.400]  鉤不到我們去陰間
[00:02:49.400 --> 00:02:51.760]  鉤不到我們去地獄
[00:02:51.760 --> 00:02:54.120]  是祢自己將我們拯救了
[00:02:54.120 --> 00:02:56.560]  帶進永生之中
[00:02:56.560 --> 00:02:58.040]  讚美主耶穌
[00:02:58.040 --> 00:02:59.360]  讚美上主
[00:02:59.360 --> 00:03:01.480]  讚美聖靈
[00:03:01.480 --> 00:03:03.560]  願釋在今在以後永在
[00:03:03.560 --> 00:03:05.120]  無比大能的上帝
[00:03:05.120 --> 00:03:07.200]  得著榮耀稱讚
[00:03:07.200 --> 00:03:09.600]  願三一上主得著榮耀
[00:03:09.600 --> 00:03:10.800]  我讚美祢
[00:03:10.800 --> 00:03:12.880]  我尊崇祢
[00:03:12.880 --> 00:03:15.000]  我敬拜祢
[00:03:15.000 --> 00:03:16.720]  各道權柄榮耀
[00:03:16.720 --> 00:03:18.040]  全是祢的
[00:03:18.040 --> 00:03:19.320]  直到永遠
[00:03:19.320 --> 00:03:21.680]  阿門
[00:03:21.680 --> 00:03:22.680]  讚美上主
[00:03:22.680 --> 00:03:25.480]  真的很喜歡讚美主
[00:03:25.480 --> 00:03:27.680]  好,今天就和大家看看
[00:03:27.680 --> 00:03:30.640]  主耶穌生平重要的事之一
[00:03:30.640 --> 00:03:34.440]  就是來到今天的第十六次
[00:03:34.440 --> 00:03:37.280]  看主耶穌「我主我神」
[00:03:37.280 --> 00:03:38.960]  見到「我主我神」
[00:03:38.960 --> 00:03:41.440]  行了很多神蹟
[00:03:41.440 --> 00:03:43.880]  第五個重要的神蹟
[00:03:43.880 --> 00:03:47.120]  第五類的神蹟只有一個
[00:03:47.120 --> 00:03:49.560]  就是祂自己復活
[00:03:49.560 --> 00:03:51.520]  主耶穌自己復活
[00:03:51.520 --> 00:03:53.080]  真是厲害了
[00:03:53.080 --> 00:03:57.320]  有三段經文關於主耶穌復活的
[00:03:57.320 --> 00:03:59.760]  福音書記載
[00:03:59.760 --> 00:04:02.360]  《馬太福音》二十八章一到八節
[00:04:02.360 --> 00:04:04.880]  《路加福音》二十四章一到十二節
[00:04:04.880 --> 00:04:08.520]  《約翰福音》二十章一到十節
[00:04:08.520 --> 00:04:11.160]  祂復活的時候是怎樣的經文說呢?
[00:04:11.160 --> 00:04:12.280]  我就不讀了
[00:04:12.280 --> 00:04:14.000]  因為大家都知道
[00:04:14.000 --> 00:04:20.280]  擋著墳墓門口那塊石滾開
[00:04:20.280 --> 00:04:23.480]  末達拉瑪利亞等等
[00:04:23.480 --> 00:04:25.160]  他們去到那些婦女的時候
[00:04:25.160 --> 00:04:29.400]  嘩!就見到有天使
[00:04:29.400 --> 00:04:30.960]  都挺有趣的
[00:04:30.960 --> 00:04:32.760]  有些人說有一個天使
[00:04:32.760 --> 00:04:34.920]  有些人說有兩個天使
[00:04:34.920 --> 00:04:37.000]  一個還是兩個呢?
[00:04:37.000 --> 00:04:39.520]  都不重要的
[00:04:39.520 --> 00:04:42.080]  五是最重要的
[00:04:42.080 --> 00:04:48.240]  而有不同的記錄都不稀奇的
[00:04:48.240 --> 00:04:49.640]  一個還是兩個呢?
[00:04:49.640 --> 00:04:50.920]  這樣都有不同的
[00:04:50.920 --> 00:04:54.000]  因為其實遇到一些事情
[00:04:54.000 --> 00:04:55.440]  重大事情
[00:04:55.440 --> 00:04:57.720]  問那些證人的回憶
