
[00:00:00.000 --> 00:00:03.840]  各位兄姊妹們平安很快就是舊曆新年來到了
[00:00:03.840 --> 00:00:07.040]  所以在這裡恭喜各位新年快樂
[00:00:07.040 --> 00:00:10.480]  身體健康 寧命進步
[00:00:10.480 --> 00:00:12.600]  我們很需要在新的一年
[00:00:12.600 --> 00:00:15.440]  有新的經歷 新的開始
[00:00:15.440 --> 00:00:19.280]  神的恩典要大大臨到我們身上
[00:00:19.280 --> 00:00:22.480]  今天已經來到《以忽所書》第三章
[00:00:22.480 --> 00:00:25.040]  所以是我的第四講
[00:00:25.040 --> 00:00:28.040]  原來在第三章的下半部
[00:00:28.040 --> 00:00:31.560]  由第12節一直到第21節
[00:00:31.560 --> 00:00:35.960]  保羅又作了一個很好的祈禱
[00:00:35.960 --> 00:00:38.160]  在《以忽所書》裡面
[00:00:38.160 --> 00:00:43.000]  保羅做了幾個很重要很超越的禱告
[00:00:43.000 --> 00:00:45.160]  透過保羅的祈禱
[00:00:45.160 --> 00:00:49.640]  我們可以學到很多很寶貴的功課
[00:00:49.640 --> 00:00:52.440]  最近我參加這裡的教會
[00:00:52.440 --> 00:01:01.440]  他們經常唱一首歌《The Deep Love of Jesus》
[00:01:01.440 --> 00:01:05.320]  耶穌很深很深的愛
[00:01:05.320 --> 00:01:06.920]  當敬拜的時候
[00:01:06.920 --> 00:01:09.920]  敬拜帶我們唱這首詩
[00:01:09.920 --> 00:01:12.960]  不知為何每次我都流出眼淚
[00:01:12.960 --> 00:01:14.920]  因為那首詩歌說
[00:01:14.920 --> 00:01:19.920]  耶穌對我們很深很深的愛
[00:01:19.920 --> 00:01:24.920]  祂為我們死在一個古舊的十家
[00:01:24.920 --> 00:01:27.520]  基督的那個很深的愛
[00:01:27.520 --> 00:01:30.120]  就在此向我們獻媚
[00:01:30.120 --> 00:01:31.920]  我們不配得
[00:01:31.920 --> 00:01:36.720]  但是神的愛就白白的臨到我們身上
[00:01:36.720 --> 00:01:42.320]  神就願意捨己來愛我們這群很不配的人
[00:01:42.320 --> 00:01:46.000]  所以保羅在第12節開始
[00:01:46.000 --> 00:01:50.120]  他就做這個祈禱
[00:01:50.120 --> 00:01:57.920]  他說叫我們起神的面前是屈膝
[00:01:57.920 --> 00:02:05.720]  天上地下所有的國家都是從他得名的
[00:02:05.720 --> 00:02:11.120]  然後他就提出了有四樣很特別的祈求
[00:02:11.120 --> 00:02:19.520]  第一就叫我們心裡面的力量要光強起來
[00:02:19.520 --> 00:02:22.920]  你心裡面的力量光不光強呢?
[00:02:22.920 --> 00:02:25.520]  你是不是一個光強的人呢?
[00:02:25.520 --> 00:02:29.320]  怎樣你能夠成為一個光強的人呢?
[00:02:29.320 --> 00:02:33.520]  因為你知道神很愛很愛你
[00:02:33.520 --> 00:02:35.720]  神不單止揀選你
[00:02:35.720 --> 00:02:40.920]  而且他用很深很深的愛來愛你
[00:02:40.920 --> 00:02:44.120]  當你知道有人愛你的時候
[00:02:44.120 --> 00:02:46.120]  你會很不同的
[00:02:46.120 --> 00:02:50.120]  一個小朋友他知道爸爸媽媽很疼他
[00:02:50.120 --> 00:02:53.720]  他有什麼事就回去找爸爸媽媽就可以了
[00:02:53.720 --> 00:02:58.120]  如果一個小朋友他得不到家庭的愛
[00:02:58.120 --> 00:03:01.320]  他回到學校就很生氣
[00:03:01.320 --> 00:03:03.920]  打同學搞事
[00:03:03.920 --> 00:03:07.520]  因為他沒有安全感
[00:03:07.520 --> 00:03:10.520]  一個人有基督的愛
[00:03:10.520 --> 00:03:13.320]  也有屬靈的安全感
[00:03:13.320 --> 00:03:15.320]  所以保祿第一個禱告
[00:03:15.320 --> 00:03:21.720]  是叫我們心裡面的力量要光強起來
[00:03:21.720 --> 00:03:22.920]  第二樣
[00:03:22.920 --> 00:03:29.720]  他說叫我們的愛心是有根有基的
[00:03:29.720 --> 00:03:34.520]  愛是有一個Good Foundation
[00:03:34.520 --> 00:03:38.120]  這個愛不是一個很空洞的愛
[00:03:38.120 --> 00:03:40.120]  很飄浮的愛
[00:03:40.120 --> 00:03:42.920]  很不能站穩的愛
[00:03:42.920 --> 00:03:46.720]  這個愛是Stand firm
[00:03:46.720 --> 00:03:48.520]  站得很穩固的
[00:03:48.520 --> 00:03:51.120]  因為耶穌就是犧牲
[00:03:51.120 --> 00:03:54.120]  祂只不過33歲多一點
[00:03:54.120 --> 00:03:57.320]  祂就被掛在十字架上
[00:03:57.320 --> 00:04:02.120]  為擔當世人的罪而被釘死
[00:04:02.120 --> 00:04:08.720]  這個愛何等的心是有根有基的
[00:04:08.720 --> 00:04:11.920]  打好了一個很深的基礎
[00:04:11.920 --> 00:04:16.520]  所以基督的愛叫我們得著穩托
[00:04:16.520 --> 00:04:19.920]  基督的愛叫我們覺得我們很安全
[00:04:19.920 --> 00:04:22.520]  祂用祂的愛包圍著我們
[00:04:22.520 --> 00:04:25.520]  祂用祂的愛擁抱著我們
[00:04:25.520 --> 00:04:28.120]  饒叔叔說的比喻就是
[00:04:28.120 --> 00:04:31.520]  那個母雞招聚小雞過來
[00:04:31.520 --> 00:04:33.120]  在祂的翅膀底下
[00:04:33.120 --> 00:04:37.520]  祂一伸開翅膀就蓋住小雞
[00:04:37.520 --> 00:04:40.720]  大家都聽過有一個農場火燭
[00:04:40.720 --> 00:04:42.520]  燒了很多東西
[00:04:42.520 --> 00:04:45.720]  發現一隻昏黑了的雞
[00:04:45.720 --> 00:04:47.320]  怎知道一踢開它
[00:04:47.320 --> 00:04:49.920]  原來它下面有很多小雞走出來
[00:04:49.920 --> 00:04:53.920]  原來那些小雞在母雞翅膀保護底下
[00:04:53.920 --> 00:04:57.920]  它們得以逃過熱場的火災
[00:04:57.920 --> 00:05:02.720]  原來各位基督的愛就這樣有根有基
[00:05:02.720 --> 00:05:10.320]  奉庇著我們 覆蓋著我們 叫我們在祂的愛中有安全感
[00:05:10.320 --> 00:05:17.920]  第三 祂說明白基督的愛是多麼的長闊高深
[00:05:17.920 --> 00:05:20.920]  你明不明白基督的愛
[00:05:20.920 --> 00:05:23.320]  我們都說我們明白得很少
[00:05:23.320 --> 00:05:25.120]  神開我的眼睛
[00:05:25.120 --> 00:05:32.520]  讓我摸到一點點你那個測不透的愛
[00:05:32.520 --> 00:05:35.120]  因為很長 長得不得了
[00:05:35.120 --> 00:05:37.120]  很闊 闊得不得了
[00:05:37.120 --> 00:05:38.720]  很高 高得不得了
[00:05:38.720 --> 00:05:40.920]  很深 深得不得了
[00:05:40.920 --> 00:05:45.120]  長闊高深 都是這麼深的
[00:05:45.120 --> 00:05:48.920]  哇 真是神的愛包容性
[00:05:48.920 --> 00:05:51.520]  神的愛那個廣闊性
[00:05:51.520 --> 00:05:54.920]  神的愛那個廣大無邊
[00:05:54.920 --> 00:05:58.920]  是叫我們從來都摸不透的
[00:05:58.920 --> 00:06:03.920]  感謝神 基督就用這麼偉大的愛
[00:06:03.920 --> 00:06:12.120]  所以很多聖師 真神之愛等等
[00:06:12.120 --> 00:06:15.720]  都是歌頌神的愛
[00:06:15.720 --> 00:06:21.520]  中文有一首歌叫做心災 心災 耶穌的愛
[00:06:21.520 --> 00:06:23.320]  我都很喜歡這首歌
[00:06:23.320 --> 00:06:29.520]  就將基督的愛那種深度 長闊高深
[00:06:29.520 --> 00:06:31.520]  向我們顯明
[00:06:31.520 --> 00:06:38.120]  原來我們是經歷基督一個很深很深的愛
[00:06:38.120 --> 00:06:39.920]  最後第四
[00:06:39.920 --> 00:06:44.920]  他說愛是過於人所能測度的
[00:06:44.920 --> 00:06:51.920]  叫這一切所充滿的都充滿你們
[00:06:51.920 --> 00:06:55.320]  因為基督的愛可以feel很多東西
[00:06:55.320 --> 00:06:57.320]  可以充滿很多東西
[00:06:57.320 --> 00:07:00.320]  讓基督的愛豐豐富富
[00:07:00.320 --> 00:07:02.520]  充滿在我們裡面
[00:07:02.520 --> 00:07:05.920]  當一個人他經歷耶穌的愛
[00:07:05.920 --> 00:07:08.320]  他有耶穌的愛在他裡面
[00:07:08.320 --> 00:07:11.120]  那種愛就會流露出來
[00:07:11.120 --> 00:07:13.720]  我們說channel of blessing
[00:07:13.720 --> 00:07:17.920]  有福的確是一個私隱的管道
[00:07:17.920 --> 00:07:19.920]  你被耶穌愛
[00:07:19.920 --> 00:07:23.720]  你就很自然將耶穌的愛分出去
[00:07:23.720 --> 00:07:25.720]  分給身邊的人
[00:07:25.720 --> 00:07:32.120]  原來當我們被基督的愛豐豐富富在我們裡面
[00:07:32.120 --> 00:07:36.720]  我們就可以撕出去分享給我們身邊的人
[00:07:36.720 --> 00:07:39.320]  當你看到有些人有需要的時候
[00:07:39.320 --> 00:07:41.720]  你會不會送一些小禮物給他
[00:07:41.720 --> 00:07:44.520]  現在是過年的時候
[00:07:44.520 --> 00:07:46.520]  我們很多時候拜年 拜年
[00:07:46.520 --> 00:07:52.120]  恭喜新壯歷見 恭喜新年豐盛等等
[00:07:52.120 --> 00:07:59.120]  你有沒有將基督的愛都透過這個時候送給人
[00:07:59.120 --> 00:08:04.720]  沒錯 你可以用一些有聖經金句的利是封
[00:08:04.720 --> 00:08:06.320]  派利是給人
[00:08:06.320 --> 00:08:10.520]  有些人塞一張單張進去派利是給人
[00:08:10.520 --> 00:08:12.520]  我們可以用很多的方法
[00:08:12.520 --> 00:08:15.520]  招呼人 吃一餐團年飯
[00:08:15.520 --> 00:08:16.920]  或者開年飯
[00:08:16.920 --> 00:08:20.520]  跟他分享你信主的經歷
[00:08:20.520 --> 00:08:22.920]  耶穌在你身上的作為
[00:08:22.920 --> 00:08:25.520]  為耶穌做堅貞
[00:08:25.520 --> 00:08:27.920]  各位 我們需要把握機會
[00:08:27.920 --> 00:08:32.120]  因為有些親戚朋友是過年才見到的
[00:08:32.120 --> 00:08:33.520]  平時很少見
[00:08:33.520 --> 00:08:35.720]  因為過年有些團拜
[00:08:35.720 --> 00:08:38.720]  很多家人一起來拜年
[00:08:38.720 --> 00:08:41.120]  這是最好的機會
[00:08:41.120 --> 00:08:46.320]  所以不要忘記講述耶穌在你身上的作為
[00:08:46.320 --> 00:08:49.720]  講述耶穌豐厚無比的愛
[00:08:49.720 --> 00:08:54.320]  耶穌的愛深厚無比
[00:08:54.320 --> 00:08:59.120]  長闊高深 無法測度
[00:08:59.120 --> 00:09:04.120]  天空有多大 我描寫不完
[00:09:04.120 --> 00:09:09.720]  海洋的水做墨水 我都描寫不盡
[00:09:09.720 --> 00:09:13.720]  這些思過多麼激勵我們
[00:09:13.720 --> 00:09:19.320]  原來耶穌的愛是深在深在的愛
[00:09:19.320 --> 00:09:24.520]  讓我們再一次被保羅這個禱告所感動
[00:09:24.520 --> 00:09:28.120]  由第三章12節一直到21節
[00:09:28.120 --> 00:09:31.920]  我們可以背這個禱文
[00:09:31.920 --> 00:09:36.720]  讓我們時時體會耶穌基督很深的愛
[00:09:36.720 --> 00:09:39.120]  然後保羅最後再講到
[00:09:39.120 --> 00:09:45.120]  他說要叫教會是能夠榮耀基督
[00:09:45.120 --> 00:09:48.920]  教會在地上只有一個功能
[00:09:48.920 --> 00:09:53.320]  就是教會能夠榮耀我們的基督
[00:09:53.320 --> 00:09:56.320]  教會要將榮耀歸給基督
[00:09:56.320 --> 00:09:58.720]  教會要高舉基督
[00:09:58.720 --> 00:10:01.120]  教會要傳揚基督
[00:10:01.120 --> 00:10:05.120]  教會要將基督的恩典傳遞開去
[00:10:05.120 --> 00:10:10.120]  叫更多人得建立 叫更多人得著造就
[00:10:10.120 --> 00:10:14.320]  所以求神祝福世界各地的教會
[00:10:14.320 --> 00:10:17.920]  讓教會發揮在地上的功能
[00:10:17.920 --> 00:10:21.720]  將耶穌的愛大大的高舉
[00:10:21.720 --> 00:10:26.120]  將耶穌的名廣闊的傳揚
[00:10:26.120 --> 00:10:28.320]  求主祝福我們
[00:10:28.320 --> 00:10:32.520]  讓我們成為基督好的僕人
[00:10:32.520 --> 00:10:35.720]  讓我們成為基督好的兒女
[00:10:35.720 --> 00:10:37.720]  我們為基督作見證
[00:10:37.720 --> 00:10:41.120]  將基督的愛傳揚開去
[00:10:41.120 --> 00:10:43.920]  叫我們的神得著榮耀
[00:10:43.920 --> 00:10:45.320]  原諒使用你
[00:10:45.320 --> 00:10:49.520]  在過年期間更多講述耶穌的愛
[00:10:49.520 --> 00:10:51.520]  傳揚耶穌的愛
[00:10:51.520 --> 00:10:53.520]  神賜福給你
