
[00:00:00.000 --> 00:00:03.640]  今日來到禮拜堂感覺很好
[00:00:03.640 --> 00:00:07.420]  因為很少見到這麼多青年人在禮拜堂
[00:00:07.420 --> 00:00:11.580]  通常到禮拜堂老人人比較多
[00:00:11.580 --> 00:00:14.780]  這麼年輕的青年人
[00:00:14.780 --> 00:00:17.520]  我覺得是一個很難得的教會
[00:00:17.520 --> 00:00:21.460]  我今天要講的經文大家已經讀過了
[00:00:21.460 --> 00:00:24.920]  就是薩瓜這個人想見耶穌
[00:00:24.920 --> 00:00:29.700]  我記得去年十月我在倫敦
[00:00:29.700 --> 00:00:32.200]  倫敦十月十九號
[00:00:32.200 --> 00:00:34.400]  大家都記得 可能不記得
[00:00:34.400 --> 00:00:36.900]  是習近平訪問英國
[00:00:36.900 --> 00:00:38.700]  習近平訪問英國的時候
[00:00:38.700 --> 00:00:42.400]  落機的車隊一直載他去白金韓國
[00:00:42.400 --> 00:00:46.200]  沿途有很多人圍著歡迎
[00:00:46.200 --> 00:00:49.700]  想見的人都不用見到習近平
[00:00:49.700 --> 00:00:52.900]  因為前面有很多很大的橫額
[00:00:52.900 --> 00:00:55.200]  很大的紅布遮住了
[00:00:55.200 --> 00:00:59.200]  大家可能在電視上未必見得清楚
[00:00:59.200 --> 00:01:03.700]  我在英國的電視見到後面有一班法輪功
[00:01:03.700 --> 00:01:05.200]  又吹喇叭又什麼的
[00:01:05.200 --> 00:01:08.700]  但前面那塊大紅布全部遮住了
[00:01:08.700 --> 00:01:12.700]  接著前面又打鼓又打鑼
[00:01:12.700 --> 00:01:16.200]  那些聲音將法輪功的聲音全部蓋住了
[00:01:16.200 --> 00:01:20.200]  所以要見一個名人是很不容易的
[00:01:20.200 --> 00:01:23.200]  就算那些人見到車隊
[00:01:23.200 --> 00:01:26.200]  也未必見到習近平
[00:01:26.200 --> 00:01:29.200]  但今天我們見到
[00:01:29.200 --> 00:01:32.200]  通常一個名人經過的時候
[00:01:32.200 --> 00:01:36.200]  有很多人在想見他
[00:01:36.200 --> 00:01:38.700]  今天我們見到耶穌
[00:01:38.700 --> 00:01:44.200]  耶穌這次是最後一次去耶路撒冷
[00:01:44.200 --> 00:01:49.200]  有人覺得耶路撒冷可能是去作王
[00:01:49.200 --> 00:01:52.200]  宣佈競選特首也說不定
[00:01:52.200 --> 00:01:56.200]  剛剛宣佈了於是很多人訪問他
