
[00:00:00.000 --> 00:00:03.000]  我們要思想的一個題目還是一樣
[00:00:03.000 --> 00:00:08.000]  就是堅守我們信心
[00:00:08.000 --> 00:00:10.000]  然後走這條天路
[00:00:10.000 --> 00:00:14.000]  我們過去講了好幾堂了
[00:00:14.000 --> 00:00:18.000]  今天我們要思想一下第五個
[00:00:18.000 --> 00:00:20.000]  就是我們今天所要講的
[00:00:20.000 --> 00:00:24.000]  菲律賓書第四章第八節到第九節
[00:00:24.000 --> 00:00:27.000]  聖經上新約和舊約完全一樣
[00:00:27.000 --> 00:00:29.000]  神的心意是什麼呢
[00:00:29.000 --> 00:00:32.000]  神的心意明顯的是要我們堅定不移
[00:00:32.000 --> 00:00:36.000]  在我們的信心上面堅定不移走這條天路
[00:00:36.000 --> 00:00:38.000]  保羅他寫信給哥林多教會的人
[00:00:38.000 --> 00:00:40.000]  他也是這樣跟他們講
[00:00:40.000 --> 00:00:43.000]  他說物要堅固不可動搖
[00:00:43.000 --> 00:00:46.000]  這是他告訴哥林多教會的人
[00:00:46.000 --> 00:00:48.000]  彼得也是這樣他告訴我們
[00:00:48.000 --> 00:00:51.000]  他說主呼召你們要拯救你們
[00:00:51.000 --> 00:00:56.000]  就是要成全、堅固、賜力量建立我們
[00:00:56.000 --> 00:01:00.000]  這件事情成全、堅固、賜力量建立我們
[00:01:00.000 --> 00:01:03.000]  這是在彼得前書第五章第七節到第九節
[00:01:03.000 --> 00:01:05.000]  雅各他也告訴我們
[00:01:05.000 --> 00:01:07.000]  他說一個人如果心懷惡意
[00:01:07.000 --> 00:01:10.000]  在神面前這個人他是不堅固的
[00:01:10.000 --> 00:01:12.000]  他的信心也不堅固
[00:01:12.000 --> 00:01:14.000]  他也不要想要得著什麼
[00:01:14.000 --> 00:01:17.000]  他在靈命上的長進也一定是很慢
[00:01:17.000 --> 00:01:20.000]  這是雅各他很清楚的告訴我們
[00:01:20.000 --> 00:01:23.000]  這個人如果一個人心懷惡意
[00:01:23.000 --> 00:01:26.000]  在神的面前又想要抓神又想要抓世界
[00:01:26.000 --> 00:01:29.000]  這個人是不可能經歷神的平安
[00:01:29.000 --> 00:01:32.000]  這個人也不可能經歷神的同在
[00:01:32.000 --> 00:01:34.000]  今天我們看經文我們就會知道
[00:01:34.000 --> 00:01:36.000]  所以當我們從聖經上我們知道
[00:01:36.000 --> 00:01:40.000]  神的心意是要我們堅定不移走這條天路
[00:01:40.000 --> 00:01:45.000]  我們還是要知道堅定不移走這條天路
[00:01:45.000 --> 00:01:48.000]  到底怎麼走法
[00:01:48.000 --> 00:01:50.000]  它的內涵是什麼
[00:01:50.000 --> 00:01:53.000]  保羅就藉著他的經文
[00:01:53.000 --> 00:01:55.000]  其實我們如果看菲律賓書的時候
[00:01:55.000 --> 00:01:57.000]  你就知道他整本菲律賓書
[00:01:57.000 --> 00:01:58.000]  他就是在告訴我們
[00:01:58.000 --> 00:02:01.000]  走這條天路到底是怎麼一回事
[00:02:01.000 --> 00:02:04.000]  他也藉著菲律賓書第四章
[00:02:04.000 --> 00:02:05.000]  第一節到第九節
[00:02:05.000 --> 00:02:08.000]  他告訴我們我們走這條天路的時候
[00:02:08.000 --> 00:02:10.000]  我們會碰到一些什麼事情
[00:02:10.000 --> 00:02:13.000]  上主日我們講到真實的信心
[00:02:13.000 --> 00:02:15.000]  我們藉著雅各他的信心
[00:02:15.000 --> 00:02:18.000]  我們來看一個什麼叫做真實的信心
[00:02:18.000 --> 00:02:20.000]  真實的信心就是沒有虛假
[00:02:20.000 --> 00:02:22.000]  有就有,沒有就沒有
[00:02:22.000 --> 00:02:24.000]  強就是強,軟弱就是軟弱
[00:02:24.000 --> 00:02:26.000]  我們在神面前是赤裸敞開的
[00:02:26.000 --> 00:02:29.000]  在人面前很多時候我們可以裝一下
[00:02:29.000 --> 00:02:32.000]  人家也不知道你到底真正的情形怎麼樣
[00:02:32.000 --> 00:02:38.000]  但是在神面前我們是赤裸敞開的
[00:02:38.000 --> 00:02:40.000]  我們從亞伯拉罕我們也看見
[00:02:40.000 --> 00:02:42.000]  我們會軟弱的
[00:02:42.000 --> 00:02:45.000]  我們甚至會有跌倒的時候
[00:02:45.000 --> 00:02:48.000]  但是神他給我們開的路子
[00:02:48.000 --> 00:02:50.000]  不是只要我們像軍隊一樣
[00:02:50.000 --> 00:02:52.000]  你不能夠失敗的
[00:02:52.000 --> 00:02:53.000]  你一定要有一定的標準
[00:02:53.000 --> 00:02:54.000]  然後你沒有這個標準
[00:02:54.000 --> 00:02:55.000]  我就把你踢出去
[00:02:55.000 --> 00:02:56.000]  不是的
[00:02:56.000 --> 00:02:58.000]  在神家裡面是不一樣的
[00:02:58.000 --> 00:03:00.000]  所以神是信心
[00:03:00.000 --> 00:03:02.000]  我們在開始的時候就像什麼呢
[00:03:02.000 --> 00:03:04.000]  像一芥菜種一樣
[00:03:04.000 --> 00:03:06.000]  比其他的種子都小
[00:03:06.000 --> 00:03:09.000]  但是經過把它埋在地裡面
[00:03:09.000 --> 00:03:10.000]  讓它發芽
[00:03:10.000 --> 00:03:11.000]  讓它能夠生長
[00:03:11.000 --> 00:03:12.000]  讓它澆灌
[00:03:12.000 --> 00:03:13.000]  它就會成長
[00:03:13.000 --> 00:03:15.000]  甚至到最後主耶穌告訴我們
[00:03:15.000 --> 00:03:18.000]  長大像一棵大樹一樣
[00:03:18.000 --> 00:03:21.000]  可以容納很多的東西
[00:03:21.000 --> 00:03:23.000]  所以我們從聖經上面看見
[00:03:23.000 --> 00:03:26.000]  我們的信心的確確要經過操練之後
[00:03:26.000 --> 00:03:28.000]  我們才能夠成長
[00:03:28.000 --> 00:03:30.000]  神也藉著我們每天的生活
[00:03:30.000 --> 00:03:31.000]  我們每天所碰到的人
[00:03:31.000 --> 00:03:32.000]  碰到的事
[00:03:32.000 --> 00:03:33.000]  碰到的物
[00:03:33.000 --> 00:03:35.000]  來操練我們的信心
[00:03:35.000 --> 00:03:36.000]  教我們成長
[00:03:36.000 --> 00:03:38.000]  這是神的心意
[00:03:38.000 --> 00:03:40.000]  然後我們從聖經上我們也看到
[00:03:40.000 --> 00:03:43.000]  神真的是讓我們曉得
[00:03:43.000 --> 00:03:45.000]  祂會扶持我們
[00:03:45.000 --> 00:03:48.000]  祂會眷顧我們
[00:03:48.000 --> 00:03:51.000]  我自己常常在想
[00:03:51.000 --> 00:03:52.000]  聖經上告訴我們說
[00:03:52.000 --> 00:03:54.000]  神藉著
[00:03:54.000 --> 00:04:02.000]  以祂自己的義來引導我們走義路
[00:04:02.000 --> 00:04:05.000]  以祂自己的名來引導我們走義路
[00:04:05.000 --> 00:04:06.000]  我自己常常在想
[00:04:06.000 --> 00:04:07.000]  神真的是很care
[00:04:07.000 --> 00:04:09.000]  祂自己的reputation
[00:04:09.000 --> 00:04:11.000]  對不對
[00:04:11.000 --> 00:04:12.000]  祂真的是告訴我們
[00:04:12.000 --> 00:04:17.000]  祂說任何的偶像都不能奪取祂的榮耀
[00:04:17.000 --> 00:04:21.000]  所以祂很care祂自己的名聲
[00:04:21.000 --> 00:04:23.000]  你們有沒有想過
