
[00:00:00.000 --> 00:00:06.360]  上星期講到介紹過大家一首我很喜歡的詩歌
[00:00:06.360 --> 00:00:09.680]  《不住的歌唱He Keeps Me Singing》
[00:00:09.680 --> 00:00:11.580]  我不知道大家有沒有聽過這首歌
[00:00:11.580 --> 00:00:14.440]  如果可以在YouTube也好
[00:00:14.440 --> 00:00:17.880]  去找這首歌出來聽
[00:00:17.880 --> 00:00:22.220]  我時時都有哼起這首歌的旋律
[00:00:22.220 --> 00:00:24.080]  就在過去的這個禮拜
[00:00:24.080 --> 00:00:26.200]  都曾經有個難題
[00:00:26.200 --> 00:00:29.440]  不知道怎麼辦
[00:00:29.440 --> 00:00:31.920]  我心內常有美妙音樂
[00:00:31.920 --> 00:00:35.120]  是主細語溫柔聲
[00:00:35.120 --> 00:00:37.920]  我與你同在不要憂懼
[00:00:37.920 --> 00:00:41.440]  主賜平安與滑情
[00:00:41.440 --> 00:00:43.960]  耶穌 耶穌 耶穌
[00:00:43.960 --> 00:00:45.880]  最甜美之名
[00:00:45.880 --> 00:00:47.960]  滿足我心渴慕
[00:00:47.960 --> 00:00:52.440]  使我一路歌不停
[00:00:52.440 --> 00:00:55.520]  一路唱著這首歌
[00:00:55.520 --> 00:00:58.640]  問題未必解決
[00:00:58.640 --> 00:01:03.960]  但是心裡的平安就這樣湧現出來
[00:01:03.960 --> 00:01:09.200]  詩歌只要我們用心去唱的話
[00:01:09.200 --> 00:01:12.000]  不單止我們可以進入競敗
[00:01:12.000 --> 00:01:19.360]  更加可以幫助我們時時仰望和醒神
[00:01:19.360 --> 00:01:22.200]  接下來我給一些歌詞給你看看
[00:01:22.200 --> 00:01:27.200]  你知道是哪一首歌嗎
[00:01:27.200 --> 00:01:31.360]  聽 你不斷呼叫我
[00:01:31.360 --> 00:01:36.320]  劃破寧靜我的心 下墮
[00:01:36.320 --> 00:01:40.840]  再難過 講不出 愛沒結果
[00:01:40.840 --> 00:01:45.600]  口和順 緊緊閉鎖
[00:01:45.600 --> 00:01:46.720]  沒錯
[00:01:46.720 --> 00:01:49.200]  是電視劇《十月初五的月光》
[00:01:49.200 --> 00:01:53.360]  或者叫做《澳門街》的竹君豪
[00:01:53.360 --> 00:02:00.320]  講到蛇獅萬飾演的君豪和張志霖飾演的文鋤
[00:02:00.320 --> 00:02:05.120]  他們兩個人的愛情故事
[00:02:05.120 --> 00:02:11.200]  這位初哥哥小時候被人為了一些腐蝕性的液體
[00:02:11.200 --> 00:02:17.680]  再加上受驚嚇而變成了啞咗
[00:02:17.680 --> 00:02:24.240]  一個無奈的人生 裡面種種的經歷
[00:02:24.240 --> 00:02:27.040]  這套劇是在2000年播出
[00:02:27.040 --> 00:02:31.040]  2015年的時候還翻拍了電影
[00:02:31.040 --> 00:02:36.400]  而在2022年再重拍
[00:02:36.400 --> 00:02:40.560]  電視劇未必會有這麼多人翻看
[00:02:40.560 --> 00:02:44.320]  但是這首歌不單止傳眾一時
[00:02:44.320 --> 00:02:50.160]  而且一直都這麼受歡迎
[00:02:50.160 --> 00:02:55.680]  二千多年前 又有一個曾經啞過
[00:02:55.680 --> 00:02:59.760]  後來又再可以說話的《薩加利亞》
[00:02:59.760 --> 00:03:05.600]  唱出了《聖經新約》裡罕有的幾首詩歌之中的其中一首
[00:03:05.600 --> 00:03:08.960]  就是今天我們的經文《路加福音》
[00:03:08.960 --> 00:03:16.880]  一張67到79節的《薩加利亞之歌》
[00:03:16.880 --> 00:03:20.320]  在四福音裡只有《路加福音》
[00:03:20.320 --> 00:03:26.160]  記錄了與耶穌基督降世有關的詩歌和音樂
[00:03:26.160 --> 00:03:31.200]  馬太、馬可和約翰福音都沒有任何的詩歌
[00:03:31.200 --> 00:03:35.200]  《路加福音》記錄了這四首美麗的詩歌
[00:03:35.200 --> 00:03:41.360]  這幾首詩歌就是新約的《Canticles》
[00:03:41.360 --> 00:03:44.720]  他們包括有《馬尼亞的尊主頌》
[00:03:44.720 --> 00:03:49.760]  在《路加福音》一張46到55節
[00:03:49.760 --> 00:03:52.320]  《薩加利亞的我主頌》
[00:03:52.320 --> 00:03:54.560]  或者叫《薩加利亞之歌》
[00:03:54.560 --> 00:04:02.480]  在《路加福音》一張67到79節
[00:04:02.480 --> 00:04:05.680]  然後是天使的《榮耀歸主頌》
[00:04:05.680 --> 00:04:08.400]  《路加福音》二章14節
[00:04:08.400 --> 00:04:11.040]  而第四首就是西面的《清頌》
