
[00:00:00.000 --> 00:00:05.100]  我們感謝您恩典,使我們平安能夠在這裡敬拜您
[00:00:05.100 --> 00:00:13.600]  我們紀念到星期天在美國的地方有二十多名小孩被人槍殺
[00:00:13.600 --> 00:00:20.300]  我們求您安慰那些小孩的父母、家屬
[00:00:20.300 --> 00:00:23.900]  求您幫助他們投靠您
[00:00:23.900 --> 00:00:28.000]  在您那裡找到安慰
[00:00:28.000 --> 00:00:31.500]  使他們的心能夠得安慰
[00:00:31.500 --> 00:00:35.500]  在我們今天要看您的話語的時候
[00:00:35.500 --> 00:00:37.700]  我們求您幫助我們
[00:00:37.700 --> 00:00:41.600]  能夠好好的學習怎樣處理我們的憤怒
[00:00:41.600 --> 00:00:45.000]  我們將今天的時間都交在您手中
[00:00:45.000 --> 00:00:47.600]  求主您的聖靈與我們同在
[00:00:47.600 --> 00:00:49.300]  在我們心裡面工作
[00:00:49.300 --> 00:00:51.600]  幫助我們聽得清楚
[00:00:51.600 --> 00:00:57.200]  也有您的心來應用在我們生活裡面
[00:00:57.200 --> 00:00:58.800]  奉耶穌的香名祈禱
[00:00:58.800 --> 00:01:06.600]  這個星期跟大家講過要排除內心的毒
[00:01:06.600 --> 00:01:15.900]  包括奸淫、殺人、盜竊、貪心、縱慾、醉酒、
[00:01:15.900 --> 00:01:22.900]  邪淫、放蕩、紛爭、嫉妒、欲體的情慾
[00:01:22.900 --> 00:01:31.200]  都是在羅馬書13章8-14列出來的
[00:01:31.200 --> 00:01:36.500]  剛才提到的那些都是在羅馬書13章8-14提到的
[00:01:36.500 --> 00:01:40.000]  並且講了一個很簡單的排毒方法
[00:01:40.000 --> 00:01:43.700]  就是來自詩篇119篇的11節
[00:01:43.700 --> 00:01:45.900]  11911很容易的
[00:01:45.900 --> 00:01:47.900]  我將你的話藏在心裡
[00:01:47.900 --> 00:01:50.100]  免得我得罪你
[00:01:50.100 --> 00:01:56.000]  就是古人我們要時時活在上主面前
[00:01:56.000 --> 00:02:00.700]  不要當看不見的上帝不在你左右
[00:02:00.700 --> 00:02:02.600]  雖然我們看不到上帝
[00:02:02.600 --> 00:02:05.800]  但是上帝時時在我們左右與我們同在
[00:02:05.800 --> 00:02:09.500]  並且是留心聽我們的言語的
[00:02:09.500 --> 00:02:14.000]  還會將我們所講的閒話紀錄在案
[00:02:14.000 --> 00:02:17.600]  將來在審判的日子一起去審的
[00:02:17.600 --> 00:02:20.200]  至於我將你的話存在心裡
[00:02:20.200 --> 00:02:22.700]  就是說我們要背聖經
[00:02:22.700 --> 00:02:26.200]  我教過大家只要每天讀三次
[00:02:26.200 --> 00:02:30.200]  我相信你一個星期之後一定會背的
[00:02:30.200 --> 00:02:32.200]  現在是考試時間
[00:02:32.200 --> 00:02:36.500]  試一下你們能不能夠背得出上個星期的金句
[00:02:36.500 --> 00:02:38.500]  我們預備1、2、3
[00:02:38.500 --> 00:02:45.500]  我們應該用誠實的心和堅定的信心
[00:02:45.500 --> 00:02:50.600]  用以無潔淨、無愧的良心
[00:02:50.600 --> 00:02:56.200]  和清水洗過的身體來親近上帝
[00:02:56.200 --> 00:02:58.600]  這樣就最好有些人背得到了
[00:02:58.600 --> 00:03:00.100]  如果你還沒有背的話
[00:03:00.100 --> 00:03:01.600]  我請你自己檢討一下
[00:03:01.600 --> 00:03:05.100]  有沒有每天讀三次聖經
[00:03:05.100 --> 00:03:06.600]  我不敢發考
