
[00:00:00.000 --> 00:00:03.000]  南國猶大皇希西加在位的時候
[00:00:03.000 --> 00:00:07.680]  正好是北國以色列被亞述所吞滅的時候
[00:00:07.680 --> 00:00:11.440]  面對著當時世界級的強敵的入侵
[00:00:11.440 --> 00:00:14.720]  希西加皇他發奮圖強
[00:00:14.720 --> 00:00:18.360]  在信仰上面帶領著百姓步入復興
[00:00:18.360 --> 00:00:20.720]  專心的依靠神
[00:00:20.720 --> 00:00:25.880]  在政治上面他帶領著百姓勝過了入侵的亞述大軍
[00:00:25.880 --> 00:00:29.800]  所以聖經形容他是一位好的皇
[00:00:29.800 --> 00:00:33.440]  希西加在猶大的歷史裡面是一位很重要的皇
[00:00:33.440 --> 00:00:36.720]  從聖經對他的技術就可以知道他的重要性
[00:00:36.720 --> 00:00:39.800]  總共有三段的聖經記述他的生平
[00:00:39.800 --> 00:00:43.600]  包括了列王記下十八章到二十章
[00:00:43.600 --> 00:00:46.000]  歷代之下二十九章到三十二章
[00:00:46.000 --> 00:00:48.480]  二次華書三十六章到三十九章
[00:00:48.480 --> 00:00:50.320]  總共有十一章的聖經
[00:00:50.320 --> 00:00:52.920]  每一段的聖經篇幅都很長
[00:00:52.920 --> 00:00:56.640]  所以可以看見聖經對希西加的重視
[00:00:56.640 --> 00:01:00.440]  在考古學上面同樣都有很多的發現
[00:01:00.440 --> 00:01:02.640]  是跟希西加皇是有關的
[00:01:02.640 --> 00:01:07.760]  這些發現不單是證明了聖經歷史技術的真確
[00:01:07.760 --> 00:01:12.240]  同樣都讓我們對當時的歷史有更清楚的認識
[00:01:12.240 --> 00:01:18.880]  讓我們先看一下幾個關於希西加皇的考古上的發現
[00:01:18.880 --> 00:01:21.800]  第一個就是西拿基納的六國柱
[00:01:21.800 --> 00:01:26.480]  這個六國柱現在藏在芝加哥的近東博物館那裡
[00:01:26.480 --> 00:01:32.440]  六國柱是1830年在西拿基納皇宮的地基那裡發現的
[00:01:32.440 --> 00:01:37.560]  在這個六國柱上面所刻有的是亞述文
[00:01:37.560 --> 00:01:40.040]  大概在主前690年所寫
[00:01:40.040 --> 00:01:44.520]  記述亞述王西拿基納去西征的戰績
[00:01:44.520 --> 00:01:47.880]  他提到在主前701年的時候
[00:01:47.880 --> 00:01:50.880]  他攻打猶大希西加的事蹟
[00:01:50.880 --> 00:01:52.560]  在當中他這樣說
[00:01:52.560 --> 00:01:56.400]  他說我們將希西加困在京城耶路撒冷之內
[00:01:56.400 --> 00:01:59.040]  就像籠中的鳥一樣
[00:01:59.040 --> 00:02:03.920]  不過六國柱沒有記載到西拿基納進攻耶路撒冷的事
[00:02:03.920 --> 00:02:06.200]  聖經告訴他他沒有進攻
[00:02:06.200 --> 00:02:09.680]  因為神介入整件事當中
[00:02:09.680 --> 00:02:15.640]  第二個讓我們看的就是公佔拉吉的壁畫
[00:02:15.640 --> 00:02:19.200]  這個壁畫現在收藏在大英博物館那裡
[00:02:19.200 --> 00:02:21.400]  在皇宮的壁畫上面
[00:02:21.400 --> 00:02:27.320]  西拿基納將當時進攻拉吉的戰況很仔細地刻畫在當中
[00:02:27.320 --> 00:02:30.520]  剛才我們所讀的聖經18章17字那裡
[00:02:30.520 --> 00:02:33.480]  就記述亞述王從拉吉那裡拆遍了
[00:02:33.480 --> 00:02:37.520]  他爾潭、拉伯薩利和拉伯沙基
[00:02:37.520 --> 00:02:39.680]  率領大軍去耶路撒冷那裡
[00:02:39.680 --> 00:02:42.080]  來向希西加罵陣
