
[00:00:00.000 --> 00:00:02.700]  我們開始前我們一同低頭禱告
[00:00:02.700 --> 00:00:12.420]  阿爸 父 恩主多謝您賜下您寶貴的福音
[00:00:12.420 --> 00:00:14.920]  您的話語 您的啟示
[00:00:14.920 --> 00:00:16.440]  賜下您的光照
[00:00:16.440 --> 00:00:20.020]  使我們從罪裏面得以重生
[00:00:20.020 --> 00:00:23.860]  主 您的話語賜給世界上所有的人
[00:00:23.860 --> 00:00:27.860]  您的話語的奧秘經鐵示出來
[00:00:28.100 --> 00:00:31.960]  父 我求您幫助孩子今天能夠專心的傳講
[00:00:31.960 --> 00:00:33.680]  這段話語裏面的奧秘
[00:00:33.680 --> 00:00:37.840]  也幫助我們眼睛明亮 耳朵打開
[00:00:37.840 --> 00:00:41.160]  讓我們的心能夠明白您的福音的奧秘
[00:00:41.160 --> 00:00:45.300]  以致我們能夠投入在這個福音裏面
[00:00:45.300 --> 00:00:47.320]  主 多謝您 因為您愛我們
[00:00:47.320 --> 00:00:51.140]  為我們捨忌 為我們復活
[00:00:51.140 --> 00:00:53.620]  以致我們不再在罪裏面
[00:00:53.620 --> 00:00:56.660]  但是這段經文裏面 它不斷地提醒我們
[00:00:56.660 --> 00:00:59.240]  主 我們以前從前是怎樣的人
[00:00:59.240 --> 00:01:03.000]  為了要凸顯出您在我們生命裏面所施的恩典
[00:01:03.000 --> 00:01:05.000]  和極大的權能
[00:01:05.000 --> 00:01:07.200]  多謝您 我們禱告交托
[00:01:07.200 --> 00:01:10.200]  奉下救主的宿命之祈求 阿們
[00:01:10.200 --> 00:01:14.500]  我們看經文 第二份所書的二章一至十節
[00:01:14.500 --> 00:01:18.480]  進入第二章之前 我想先帶大家回去之前
[00:01:18.480 --> 00:01:21.740]  我們一直在看二份所書這本書卷
[00:01:21.740 --> 00:01:26.120]  在三個星期前 我們完結了二份所書第一章
[00:01:26.120 --> 00:01:30.120]  我不知道大家對二份所書第一章有甚麼印象
[00:01:30.120 --> 00:01:31.960]  二份所書第一章的完結
