
[00:00:00.000 --> 00:00:03.500]  我想問在座之中有誰是七十歲的?
[00:00:03.500 --> 00:00:05.500]  我想問一下我們在座有哪幾位?
[00:00:05.500 --> 00:00:07.500]  應該有的應該有七十歲的
[00:00:07.500 --> 00:00:09.000]  已經有七十歲的了
[00:00:09.000 --> 00:00:10.000]  不用客氣的
[00:00:10.000 --> 00:00:11.000]  不用客氣
[00:00:11.000 --> 00:00:12.500]  是一個福氣來的
[00:00:12.500 --> 00:00:13.500]  是一個福氣
[00:00:13.500 --> 00:00:15.000]  八十歲的有沒有?
[00:00:15.000 --> 00:00:16.000]  八十歲的有沒有?
[00:00:16.000 --> 00:00:17.500]  我所知都應該有
[00:00:17.500 --> 00:00:19.000]  我知道的應該是有的
[00:00:19.000 --> 00:00:20.500]  九十歲的有沒有?
[00:00:20.500 --> 00:00:22.000]  九十歲的有沒有?
[00:00:22.000 --> 00:00:26.000]  如果是八十歲呢
[00:00:26.000 --> 00:00:28.500]  在我們粵語部起碼有十個人舉手
[00:00:28.500 --> 00:00:30.000]  如果是八十歲以上的話
[00:00:30.000 --> 00:00:34.000]  在粵語部至少有八個人舉手
[00:00:34.000 --> 00:00:38.000]  我想問如果你是七十歲
[00:00:38.000 --> 00:00:40.000]  八十歲甚至九十歲
[00:00:40.000 --> 00:00:42.000]  我想問你
[00:00:42.000 --> 00:00:45.000]  你還是不是覺得自己是中年人
[00:00:45.000 --> 00:00:47.000]  是有氣有力地工作
[00:00:47.000 --> 00:00:48.500]  還可以四圍跑呢?
[00:00:48.500 --> 00:00:52.000]  如果那些七十八十九十歲的人
[00:00:52.000 --> 00:00:53.000]  我想問一下你們
[00:00:53.000 --> 00:00:55.500]  是不是真的覺得自己是一個中年人
[00:00:55.500 --> 00:00:58.500]  還有力氣四處奔跑
[00:00:58.500 --> 00:01:00.500]  還有力氣去工作
[00:01:00.500 --> 00:01:03.500]  我相信你都會同意我說的
[00:01:03.500 --> 00:01:06.500]  這一個不是現實的情況
[00:01:06.500 --> 00:01:08.500]  我相信你也同意我所說的
[00:01:08.500 --> 00:01:10.500]  這不是一個現實的情況
[00:01:10.500 --> 00:01:12.500]  現實的情況會是怎樣呢?
[00:01:12.500 --> 00:01:14.500]  現實的情況是怎樣呢?
[00:01:14.500 --> 00:01:19.500]  我們看看摩罕讀詩篇九十篇第十節
[00:01:19.500 --> 00:01:22.500]  請摩罕來讀一下詩篇九十篇
[00:01:22.500 --> 00:01:23.500]  第十節
[00:01:23.500 --> 00:01:25.500]  我們一生的年齡是七十歲
[00:01:25.500 --> 00:01:27.500]  若是強壯可以到八十歲
[00:01:27.500 --> 00:01:31.500]  但其中所進化的不過是勞苦酬煩
[00:01:31.500 --> 00:01:34.500]  專業的成功我們便無非何去
[00:01:34.500 --> 00:01:40.500]  在三千多年前
[00:01:40.500 --> 00:01:45.500]  這個聖經已經寫出了我們今天那個現實狀況
[00:01:45.500 --> 00:01:46.500]  在三千多年前
[00:01:46.500 --> 00:01:50.500]  這個聖經就已經寫出了我們現在的真實情況
