
[00:00:00.000 --> 00:00:03.000]  好,我聽信息之前先跟心禱告
[00:00:03.000 --> 00:00:07.000]  天父,多謝祢讓我們能夠再次去打開聖經
[00:00:07.000 --> 00:00:08.500]  研讀主祢的說話
[00:00:08.500 --> 00:00:11.500]  求天父,祢真的讓我們明白祢的心意
[00:00:11.500 --> 00:00:15.500]  亦都怎樣在這個地上作主祢的見證
[00:00:15.500 --> 00:00:18.000]  同時更祈求主祢真的幫助我們
[00:00:18.000 --> 00:00:22.000]  能夠預備成為一個更像恩主祢所希望的人
[00:00:22.000 --> 00:00:26.000]  能夠真的預備在將來永恆當中與祢同住
[00:00:26.000 --> 00:00:30.000]  我們期待天父感謝祢給我們今天能夠再次打開這段聖經
[00:00:30.000 --> 00:00:34.000]  讓我們一起來了解上帝祢在世上面
[00:00:34.000 --> 00:00:37.000]  怎麼樣來帶領我們走面前的道路
[00:00:37.000 --> 00:00:42.000]  使我們在這個地上面依然能夠作主祢的見證
[00:00:42.000 --> 00:00:46.000]  同時讓人知道上帝祢是怎麼樣的一位神
[00:00:46.000 --> 00:00:50.000]  可祢的幫助使我們能夠明白
[00:00:50.000 --> 00:00:53.000]  祢的說明來到一起走面前的道路
[00:00:53.000 --> 00:00:56.000]  我向大家奉主耶穌的面前
[00:00:56.000 --> 00:00:58.000]  我們同心禱告奉主耶穌的名號
[00:00:58.000 --> 00:00:59.000]  阿門
[00:00:59.000 --> 00:01:05.000]  其實當我們看到《創世紀》第34章這件事件
[00:01:05.000 --> 00:01:08.000]  談及到有關抵拿受辱的事
[00:01:08.000 --> 00:01:12.000]  我們首先必須要明白一下這段經文的背景
[00:01:12.000 --> 00:01:15.000]  其實這段經文的背景是談及到
[00:01:15.000 --> 00:01:19.000]  雅各剛剛與他的親兄弟耳掃重逢
[00:01:19.000 --> 00:01:24.000]  重逢的地方我們當然從先前第33章知道
[00:01:24.000 --> 00:01:31.000]  他們是回到他們的外祖父的家鄉巴旦阿蘭的地方見面
[00:01:31.000 --> 00:01:36.000]  其實大家稍為知道聖經熟悉的話
[00:01:36.000 --> 00:01:42.000]  會明白到耳掃與雅各曾經有一段對敵的情況
[00:01:42.000 --> 00:01:45.000]  因為雅各騙取了他長子的名分
[00:01:45.000 --> 00:01:47.000]  而在這樣的背景之下
[00:01:47.000 --> 00:01:54.000]  我們看到雅各終於可以說是處理了他心裡多年的一份重擔
[00:01:54.000 --> 00:01:58.000]  解決了他擔憂了很久的日子的事情
[00:01:58.000 --> 00:02:01.000]  就是如何與耳掃可以和平居住
[00:02:01.000 --> 00:02:05.000]  或者同住在這個地上,不再對敵
[00:02:05.000 --> 00:02:08.000]  在這樣的背景、環境之下
[00:02:08.000 --> 00:02:12.000]  我們發現到雅各於是乎轉轉輾轉
[00:02:12.000 --> 00:02:15.000]  去了事劍這個地方
[00:02:15.000 --> 00:02:19.000]  如果在前文第33章的末端我們會看到
[00:02:19.000 --> 00:02:26.000]  雅各原來他離開了耳掃和巴旦阿蘭這個地方之後
[00:02:26.000 --> 00:02:32.000]  他竟然去了迦南地的事劍地區
[00:02:32.000 --> 00:02:36.000]  在那裡用了一百塊的銀錢
[00:02:36.000 --> 00:02:42.000]  向事劍的父親哈末的子孫買了一塊地給他們自己用
[00:02:42.000 --> 00:02:45.000]  這個背景很值得我們思想
[00:02:45.000 --> 00:02:49.000]  作為一個神的子民
[00:02:49.000 --> 00:02:54.000]  當時當然在上帝的應許地之內
[00:02:54.000 --> 00:02:59.000]  其實沒有一個特別的地方指明你一定要留在裡面
[00:02:59.000 --> 00:03:02.000]  在哪個城市一定居住
[00:03:02.000 --> 00:03:05.000]  但是從這段聖經裡面我們看到
[00:03:05.000 --> 00:03:09.000]  原來當時的雅各買了一塊地
[00:03:09.000 --> 00:03:15.000]  是希望居住在這個事劍的地方
[00:03:15.000 --> 00:03:18.000]  事劍當時是什麼地方呢?
[00:03:18.000 --> 00:03:25.000]  當然我們可以從那裡知道是一個迦南地的文化重要的地區
[00:03:25.000 --> 00:03:30.000]  換句話來說其實雅各當時是希望存在一個
[00:03:30.000 --> 00:03:35.000]  可以充斥著不同文化和他自己家庭背景
[00:03:35.000 --> 00:03:38.000]  完全不同的環境裡面去生活
[00:03:38.000 --> 00:03:40.000]  在這樣的狀況之下
[00:03:40.000 --> 00:03:44.000]  我們就發現開始發生這件第三十四章
[00:03:44.000 --> 00:03:51.000]  他的其中一個女兒叫底娜被玷污的事件
[00:03:51.000 --> 00:03:56.000]  不過在這段聖經的開首我們首先要明白一點
[00:03:56.000 --> 00:04:01.000]  其實每一個人做事情都應該有他自己的責任
[00:04:01.000 --> 00:04:06.000]  很多時候我們看回從三十四章的第一節裡面
[00:04:06.000 --> 00:04:10.000]  叫利亞給雅各所生的女兒底娜
[00:04:10.000 --> 00:04:12.000]  他要出去
[00:04:12.000 --> 00:04:14.000]  聖經說什麼呢?
[00:04:14.000 --> 00:04:19.000]  說他要出去見那地的女子們
[00:04:19.000 --> 00:04:24.000]  其實這個聖經是告訴我們一個可圈可點的原因
[00:04:24.000 --> 00:04:31.000]  為什麼底娜後來會遭遇這樣一個不測的事情呢?
[00:04:31.000 --> 00:04:34.000]  如果從今天的世界的角度來看
