
[00:00:00.000 --> 00:00:05.420]  我們要謝謝師班 過去一兩個月辛苦的練習
[00:00:05.420 --> 00:00:07.880]  當我們今天有美好的師哥
[00:00:07.880 --> 00:00:11.360]  我們在這裡一起來慶祝聖誕的佳節
[00:00:11.360 --> 00:00:26.240]  當我們注意看報紙的時候
[00:00:26.240 --> 00:00:32.480]  我知道最近不久之前在康州發生了一件
[00:00:32.480 --> 00:00:37.000]  震動美國也世界的一件槍擊案
[00:00:53.520 --> 00:01:04.480]  我們看到在天真小學裡面發生了這樣的一個命案
[00:01:04.480 --> 00:01:07.360]  真的是沒有想到的一件事情
[00:01:07.360 --> 00:01:22.240]  我們以為危險的事情是發生在不好的地區
[00:01:22.240 --> 00:01:27.280]  危險的事情是發生在毒品猖狂的地方
[00:01:27.280 --> 00:01:29.920]  或是黑道猖狂的地方
[00:01:29.920 --> 00:01:45.640]  可是沒想到在小學的地方發生了這樣的一件事情
[00:01:45.640 --> 00:01:49.320]  而且這樣的一個事件也是在99年以來
[00:01:49.320 --> 00:01:53.280]  在美國的歷史裡面在校園裡面所發生的
[00:01:53.280 --> 00:01:56.480]  這命案是算第二嚴重的一件事
[00:01:56.480 --> 00:02:08.960]  那今天我的題目說不要懼怕
[00:02:08.960 --> 00:02:10.960]  是否不懼怕這些呢
[00:02:10.960 --> 00:02:14.440]  或是神給我們有更深一層
[00:02:14.440 --> 00:02:17.720]  我們在這世上居住的時候
[00:02:17.720 --> 00:02:21.640]  我們知道我們的歸宿我們的永生是什麼
[00:02:21.640 --> 00:02:42.080]  最近我在網上看到有商人做這樣的一個廣告
[00:02:46.800 --> 00:02:49.280]  這個廣告也是一個真實的廣告
[00:02:49.280 --> 00:02:52.400]  這個廣告做什麼廣告呢
[00:02:52.400 --> 00:02:59.080]  就是連兒童的學校的背包是防彈的
[00:02:59.080 --> 00:03:00.600]  這不是開玩笑的
[00:03:00.600 --> 00:03:02.520]  確實防彈了
[00:03:02.520 --> 00:03:07.800]  而且以前就已經開始有人在有這樣的一個生意
[00:03:07.800 --> 00:03:09.960]  剛好這個槍擊案之後
[00:03:09.960 --> 00:03:13.920]  在一個禮拜賣的這個防彈的背包
[00:03:13.920 --> 00:03:16.840]  要比過去一個月要多6倍
[00:03:16.840 --> 00:03:40.920]  所以我們中國人都很注意地區
[00:03:40.920 --> 00:03:46.960]  對吧?當我們買房子的時候
[00:03:46.960 --> 00:03:50.040]  我們會很注意我們會在哪個地區
[00:03:50.040 --> 00:03:57.560]  所以這個發生的地方是一個理想的地區
[00:03:57.560 --> 00:03:59.560]  不是低收入的地區
[00:04:11.920 --> 00:04:14.720]  那今天我們要從聖經裡面來看
[00:04:14.720 --> 00:04:17.640]  我們每一年在慶祝聖誕佳節的時候
[00:04:17.640 --> 00:04:21.240]  聖經神給我們什麼樣的一個消息
[00:04:21.240 --> 00:04:31.120]  我們剛所讀的聖經裡面
[00:04:31.120 --> 00:04:35.440]  第一句話有天上來的第一句話是講到
