
[00:00:00.000 --> 00:00:01.760]  今天講什麼題目呢?
[00:00:01.760 --> 00:00:04.080]  其實我們是講開雅閣嘛
[00:00:04.080 --> 00:00:05.680]  那我也會繼續講雅閣
[00:00:05.680 --> 00:00:07.080]  要講很久了,真是慘
[00:00:07.080 --> 00:00:09.360]  越講那些經文就越多東西要講
[00:00:09.360 --> 00:00:11.520]  最初我想著講十堂八堂而已
[00:00:11.520 --> 00:00:14.040]  我想現在三十堂都不知道能不能講完
[00:00:14.040 --> 00:00:16.920]  哦,雅閣原來有這麼多東西要學的
[00:00:16.920 --> 00:00:17.760]  哇,真是很棒
[00:00:17.760 --> 00:00:19.480]  快點去片,是不是?
[00:00:19.480 --> 00:00:22.720]  我們今天講多代的父臣
[00:00:22.720 --> 00:00:27.320]  其實就是在臣和雅閣講的一句話裡面
[00:00:27.320 --> 00:00:29.480]  下去了,即是快速一點
[00:00:29.480 --> 00:00:31.880]  好了,我們一起讀這節聖經,請
[00:00:31.880 --> 00:00:43.840]  哇,是不是很棒呢?
[00:00:43.840 --> 00:00:47.320]  喂,我是你祖父的臣啊
[00:00:47.320 --> 00:00:48.800]  我是你什麼?
[00:00:48.800 --> 00:00:50.040]  爸爸的臣啊
[00:00:50.040 --> 00:00:51.320]  現在呢?
[00:00:51.320 --> 00:00:53.640]  他有沒有講我是你的臣啊?
[00:00:53.640 --> 00:00:56.400]  沒有啊,不過他講了一句什麼?
[00:00:56.400 --> 00:00:58.320]  即是,你是我爸爸的臣
[00:00:58.320 --> 00:00:59.800]  你是我爺爺的臣
[00:00:59.800 --> 00:01:01.440]  那又怎樣?
[00:01:01.440 --> 00:01:02.400]  他說現在呢
[00:01:02.400 --> 00:01:04.320]  他將你躺在的地方
[00:01:04.320 --> 00:01:05.440]  次過給你
[00:01:05.440 --> 00:01:07.800]  那就是二乘什麼?
[00:01:07.800 --> 00:01:09.600]  二乘六了
[00:01:09.600 --> 00:01:10.320]  是不是?
[00:01:10.320 --> 00:01:11.280]  當然不是了
[00:01:11.280 --> 00:01:13.240]  他在講的是什麼?
[00:01:13.240 --> 00:01:16.400]  你的祖父阿伯拉罕
[00:01:16.400 --> 00:01:17.880]  我給他的那塊地
[00:01:17.880 --> 00:01:19.840]  其實是給了你爸爸的,是不是?
[00:01:19.840 --> 00:01:21.440]  現在呢,我跟你說
[00:01:21.440 --> 00:01:23.160]  給你啊
