
[00:00:00.000 --> 00:00:02.000]  大家姐妹 平安
[00:00:02.000 --> 00:00:10.000]  上個星期 劉牧師就和我們開始了8至12月的講壇
[00:00:10.000 --> 00:00:14.000]  我們一起研讀提摩太前後書
[00:00:14.000 --> 00:00:21.000]  劉牧師亦都介紹了提摩太前後書和提多書
[00:00:21.000 --> 00:00:26.000]  這三封被統稱為教牧書信
[00:00:26.000 --> 00:00:35.000]  斯托德牧師John Stott就給了提摩太前書一個主題
[00:00:35.000 --> 00:00:40.000]  叫做地方教會的生活
[00:00:40.000 --> 00:00:44.000]  究竟提摩太前書是講什麼呢
[00:00:44.000 --> 00:00:49.000]  這本書實在是非常之豐富
[00:00:49.000 --> 00:00:52.000]  講少少給大家聽
[00:00:52.000 --> 00:00:56.000]  這本書的內容就是講到
[00:00:56.000 --> 00:01:01.000]  禱告在教會生活中優先的地位
[00:01:01.000 --> 00:01:05.000]  教會和政府之間應該有的關係
[00:01:05.000 --> 00:01:09.000]  全球福音法的聖經基礎
[00:01:09.000 --> 00:01:14.000]  然後就講到地方教會的領導的問題
[00:01:14.000 --> 00:01:18.000]  做牧者先決的條件
[00:01:18.000 --> 00:01:25.000]  和年輕的領袖怎樣能夠讓別人接納他們
[00:01:25.000 --> 00:01:31.000]  然後就再講到教會推行社會工作的原則
[00:01:31.000 --> 00:01:37.000]  信徒是怎樣要過一個全然聖潔生活的重要性
[00:01:37.000 --> 00:01:39.000]  什麼叫做知足
[00:01:39.000 --> 00:01:42.000]  什麼叫做貪婪
[00:01:42.000 --> 00:01:47.000]  錢財的危險和責任等等
[00:01:47.000 --> 00:01:49.000]  我不知道聽到這裡
[00:01:49.000 --> 00:01:55.000]  你渴不渴望去讀提摩太前書
[00:01:55.000 --> 00:01:58.000]  我自己就非常之渴望
[00:01:58.000 --> 00:02:01.000]  並且我相信
[00:02:01.000 --> 00:02:07.000]  上帝必定是有適切的訊息給講完
[00:02:07.000 --> 00:02:10.000]  也都給教會
[00:02:10.000 --> 00:02:14.000]  我會提議大家先回家
[00:02:14.000 --> 00:02:19.000]  一口氣看了整卷的提摩太前書
[00:02:19.000 --> 00:02:22.000]  然後你就用禱告的心
[00:02:22.000 --> 00:02:27.000]  等候講誕的訊息
[00:02:27.000 --> 00:02:32.000]  讓我們同心低頭禱告
[00:02:32.000 --> 00:02:34.000]  親愛的我們感謝你
