
[00:00:00.000 --> 00:00:03.000]  實在很優美的一段分享
[00:00:03.000 --> 00:00:08.000]  在這裡恭祝各位母親節快樂
[00:00:08.000 --> 00:00:10.000]  很開心可以在今天的早上
[00:00:10.000 --> 00:00:13.000]  跟大家一起分享上帝的訊息
[00:00:13.000 --> 00:00:18.000]  很捨不得他們,是嗎?
[00:00:18.000 --> 00:00:26.000]  我們再一次低頭同心祈禱
[00:00:30.000 --> 00:00:37.000]  主耶穌基督,我求祢今天來到我們當中
[00:00:37.000 --> 00:00:43.000]  祢真是我們那位奇妙的救主
[00:00:43.000 --> 00:00:48.000]  祢讓到我們的社會裡有下一代
[00:00:48.000 --> 00:00:52.000]  有街尾的產業
[00:00:52.000 --> 00:00:56.000]  主耶穌基督是莫大的恩典
[00:00:57.000 --> 00:01:00.000]  主耶穌基督,我們同時也看到
[00:01:00.000 --> 00:01:06.000]  在社會當中我們看到很多的災況
[00:01:06.000 --> 00:01:10.000]  遠處的在尼泊爾
[00:01:10.000 --> 00:01:15.000]  近處的可能就在我們周圍的環境裡
[00:01:15.000 --> 00:01:19.000]  我們也有所愛的人可能在生病
[00:01:19.000 --> 00:01:23.000]  可能遇到生命很多的艱難
[00:01:24.000 --> 00:01:27.000]  但是主耶穌基督,我們也感謝祢
[00:01:27.000 --> 00:01:30.000]  因為我們有上帝
[00:01:30.000 --> 00:01:33.000]  我們又有弟兄姊妹
[00:01:33.000 --> 00:01:36.000]  我們有家人
[00:01:36.000 --> 00:01:39.000]  主耶穌基督,這些都是祢自己的恩典
[00:01:39.000 --> 00:01:41.000]  祢自己的眷顧
[00:01:41.000 --> 00:01:44.000]  主耶穌基督,我求祢這一刻
[00:01:44.000 --> 00:01:48.000]  祢讓到我們有平安的心
[00:01:48.000 --> 00:01:52.000]  去到祢根前裡歸榮耀給祢
[00:01:53.000 --> 00:01:56.000]  願意今天我們無論是聽的
[00:01:56.000 --> 00:01:58.000]  無論是講的
[00:01:58.000 --> 00:02:01.000]  我們得蒙上主祢自己的眷顧
[00:02:01.000 --> 00:02:04.000]  我們這樣的禱告奉教救主耶穌基督的聖名
[00:02:04.000 --> 00:02:06.000]  阿門
[00:02:06.000 --> 00:02:10.000]  在過去的一個多星期裡
[00:02:10.000 --> 00:02:14.000]  有一個網上的玩意
[00:02:14.000 --> 00:02:17.000]  在社交網站裡也很流行
[00:02:17.000 --> 00:02:20.000]  大概它的玩法是這樣的
[00:02:21.000 --> 00:02:23.000]  例如一幅生活照片
[00:02:23.000 --> 00:02:25.000]  最重要是有人
[00:02:25.000 --> 00:02:28.000]  貼上去之後
[00:02:28.000 --> 00:02:30.000]  他會弄一弄
[00:02:30.000 --> 00:02:35.000]  猜猜相中的人是多大年紀和性別
[00:02:35.000 --> 00:02:37.000]  我沒有玩過
[00:02:37.000 --> 00:02:40.000]  不過我的社交網站的朋友很喜歡玩
[00:02:40.000 --> 00:02:42.000]  我做過類比
[00:02:42.000 --> 00:02:45.000]  大致上的結果應該是這樣的
[00:02:45.000 --> 00:02:48.000]  通常都是這樣
[00:02:49.000 --> 00:02:51.000]  我看到就很開心
[00:02:51.000 --> 00:02:53.000]  我女兒十歲
[00:02:53.000 --> 00:02:56.000]  現在她實際年齡是五歲
[00:02:56.000 --> 00:02:58.000]  養小五年
[00:02:58.000 --> 00:03:01.000]  我多數都會二十歲
[00:03:01.000 --> 00:03:04.000]  我不知道你會看到這樣的結果
[00:03:04.000 --> 00:03:06.000]  心情會是怎樣
[00:03:06.000 --> 00:03:08.000]  我通常的朋友都是這樣
[00:03:08.000 --> 00:03:10.000]  哈哈 二十歲
[00:03:10.000 --> 00:03:12.000]  假的 哪裡是二十歲
[00:03:12.000 --> 00:03:15.000]  我明明已經幾歲了
[00:03:15.000 --> 00:03:17.000]  怎麼會二十歲
[00:03:18.000 --> 00:03:20.000]  不過你自己就沾沾自喜
[00:03:20.000 --> 00:03:25.000]  都是他猜我二十歲
[00:03:25.000 --> 00:03:27.000]  起碼都有一點點像
[00:03:27.000 --> 00:03:29.000]  不然他也不會猜我二十歲
[00:03:29.000 --> 00:03:32.000]  你整天可能陰陰嘴嘴地笑也說不定
[00:03:32.000 --> 00:03:35.000]  我不知道就在這個時候
[00:03:35.000 --> 00:03:38.000]  你一位很誠懇
[00:03:38.000 --> 00:03:40.000]  你認識很久的朋友
[00:03:40.000 --> 00:03:42.000]  去到你庚前那裡
[00:03:42.000 --> 00:03:44.000]  很認真地問你
[00:03:45.000 --> 00:03:48.000]  喂 其實你最近開不開心
[00:03:48.000 --> 00:03:50.000]  你覺得怎樣
[00:03:50.000 --> 00:03:52.000]  我想你不會很輕率地
[00:03:52.000 --> 00:03:55.000]  因為玩了這個小玩意的緣故
[00:03:55.000 --> 00:03:57.000]  就陰陰嘴嘴地告訴他
[00:03:57.000 --> 00:03:59.000]  其實我都幾開心
[00:03:59.000 --> 00:04:02.000]  可能你都會想清楚
[00:04:02.000 --> 00:04:04.000]  究竟你現在的狀態
[00:04:04.000 --> 00:04:07.000]  究竟是一回什麼事
[00:04:07.000 --> 00:04:09.000]  如果今天主耶穌基督
[00:04:09.000 --> 00:04:13.000]  同樣的去到你面前去問你
[00:04:14.000 --> 00:04:15.000]  我的兒女
[00:04:15.000 --> 00:04:17.000]  其實你現在
[00:04:17.000 --> 00:04:19.000]  心裡面有沒有喜樂
[00:04:19.000 --> 00:04:21.000]  你開不開心
[00:04:21.000 --> 00:04:24.000]  你又會怎樣去回答
[00:04:24.000 --> 00:04:27.000]  主耶穌基督這個提問呢
[00:04:27.000 --> 00:04:30.000]  剛才主席跟我們講到
[00:04:30.000 --> 00:04:36.000]  尼西米記第八章第九至十二節的經文
[00:04:36.000 --> 00:04:39.000]  今天其實我會更加集中地
[00:04:39.000 --> 00:04:42.000]  跟大家講第九至十節的聖經
[00:04:43.000 --> 00:04:45.000]  我會以現代中文修訂譯本
[00:04:45.000 --> 00:04:47.000]  跟大家再一次去看看
[00:04:47.000 --> 00:04:50.000]  九和十節的經文講什麼
[00:04:50.000 --> 00:04:52.000]  第九節這樣說
[00:04:52.000 --> 00:04:55.000]  民眾聽到法律規定的事以後
[00:04:55.000 --> 00:04:58.000]  都感動得哭了起來
[00:04:58.000 --> 00:05:00.000]  於是省長尼西米
[00:05:00.000 --> 00:05:03.000]  祭司和經學專家以斯拉
[00:05:03.000 --> 00:05:06.000]  和解釋法律的利尼人
[00:05:06.000 --> 00:05:08.000]  告訴百民眾
[00:05:08.000 --> 00:05:12.000]  今天是上主你們上帝的聖日子
[00:05:13.000 --> 00:05:15.000]  你們不要悲傷哭泣
[00:05:15.000 --> 00:05:20.000]  現在大家回家預備
[00:05:20.000 --> 00:05:25.000]  把你們的食物和酒分給不救的人
[00:05:25.000 --> 00:05:28.000]  今天是我們主的聖日
[00:05:28.000 --> 00:05:30.000]  你們不要難過
[00:05:30.000 --> 00:05:33.000]  因為上主賜給你們的快樂
[00:05:33.000 --> 00:05:36.000]  就是你們的力量
[00:05:36.000 --> 00:05:40.000]  這裡指出一班以色列的民眾
[00:05:41.000 --> 00:05:43.000]  他們的領袖告訴他們
[00:05:43.000 --> 00:05:45.000]  不要悲哀哭泣
[00:05:45.000 --> 00:05:48.000]  因為今天是耶和華的聖日
[00:05:48.000 --> 00:05:50.000]  你們要快樂
[00:05:50.000 --> 00:05:52.000]  沒錯
[00:05:52.000 --> 00:05:54.000]  這一天是耶和華的聖日
[00:05:54.000 --> 00:05:57.000]  是猶太人的催國節
[00:05:57.000 --> 00:06:00.000]  因為猶太人被擄到巴比倫之後
[00:06:00.000 --> 00:06:03.000]  他們就將七月初一
[00:06:03.000 --> 00:06:05.000]  定為他們的新年
[00:06:05.000 --> 00:06:08.000]  在舊約聖經裡清楚告訴他們
[00:06:09.000 --> 00:06:11.000]  七月一號就是催國節
[00:06:11.000 --> 00:06:14.000]  以色列人為什麼要催國
