
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹都平安
[00:00:02.000 --> 00:00:06.500]  圓主祝福大家在神蹟裡滿有喜樂
[00:00:06.500 --> 00:00:09.000]  我們一起祈禱開始
[00:00:09.000 --> 00:00:12.000]  天父我們多謝祢,讓我們藉著祢的說話
[00:00:12.000 --> 00:00:14.000]  雖然簡簡短短的經文
[00:00:14.000 --> 00:00:17.500]  讓我們深思祢給我們的教導
[00:00:17.500 --> 00:00:20.000]  圓主祢與我們同在
[00:00:20.000 --> 00:00:22.000]  賜福給我們,聽我們祈禱
[00:00:22.000 --> 00:00:24.500]  奉耶穌名字而求,阿們
[00:00:24.500 --> 00:00:31.000]  今天跟大家分享的題目是「新世代,新力量」
[00:00:31.000 --> 00:00:34.500]  「新」字,大家都可能想到「新」是什麼意思
[00:00:34.500 --> 00:00:36.500]  當然是「辛苦」
[00:00:36.500 --> 00:00:38.000]  所以就要問一個問題
[00:00:38.000 --> 00:00:41.000]  你認為做些什麼事是很辛苦的呢?
[00:00:41.000 --> 00:00:43.000]  花錢很辛苦嗎?
[00:00:43.000 --> 00:00:45.000]  我幫你吧!
[00:00:45.000 --> 00:00:48.000]  賺錢辛苦
[00:00:48.000 --> 00:00:51.500]  所以很多人都有不同的辛苦
[00:00:51.500 --> 00:00:57.000]  普遍上班是很辛苦的
[00:00:57.000 --> 00:01:00.500]  對於讀書的人,上學是很辛苦的
[00:01:00.500 --> 00:01:02.500]  所以你認為什麼是辛苦呢?
[00:01:02.500 --> 00:01:06.500]  我想大部分人都是不想上班、不想上學
[00:01:06.500 --> 00:01:10.500]  所以有一次,有一個女孩子
[00:01:10.500 --> 00:01:15.500]  她開學的時候
[00:01:15.500 --> 00:01:20.000]  她在床上不想起床
[00:01:20.000 --> 00:01:22.000]  她媽媽走進來
[00:01:22.000 --> 00:01:26.000]  女兒,上學了,今天是開學日
[00:01:26.000 --> 00:01:29.000]  女兒說:不行,你讓我睡一會吧
[00:01:29.000 --> 00:01:31.000]  我今天真的很不想上學
[00:01:31.000 --> 00:01:34.500]  她媽媽說:不行,你一定要上學
[00:01:34.500 --> 00:01:38.000]  女兒說:我不想上學
[00:01:38.000 --> 00:01:42.500]  媽媽忍不住說:你是班主任
[00:01:42.500 --> 00:01:45.000]  你不上學,學生怎麼辦?
[00:01:45.000 --> 00:01:48.500]  班主任的老師也不想上學
[00:01:48.500 --> 00:01:53.000]  對於她來說,上學是上班,又是上學
[00:01:53.000 --> 00:01:55.000]  所以對她來說是很辛苦的
[00:01:55.000 --> 00:01:58.500]  所以有時候都是這樣的
[00:01:58.500 --> 00:02:01.500]  很忙碌的生活是不容易的
[00:02:01.500 --> 00:02:05.500]  所以香港有一個人這樣說
[00:02:05.500 --> 00:02:09.000]  他說:如果你說我很喜歡上班
[00:02:09.000 --> 00:02:11.500]  她就說:你一定是鬼上身
[00:02:11.500 --> 00:02:13.500]  不然就說不出這些話
[00:02:13.500 --> 00:02:14.500]  代表了什麼呢?
[00:02:14.500 --> 00:02:19.000]  原來上班對很多人來說是不想的事
[00:02:19.000 --> 00:02:22.500]  甚至上班每天的工作,每天的上學
[00:02:22.500 --> 00:02:25.000]  都很忙碌,忙碌又忙碌
[00:02:25.000 --> 00:02:29.000]  所以他說:給你一份工資
[00:02:29.000 --> 00:02:31.000]  其實一半是用來做事的
[00:02:31.000 --> 00:02:33.500]  一半是用來讓你受氣的,上班
[00:02:33.500 --> 00:02:35.000]  不知道你認不認同
[00:02:35.000 --> 00:02:39.500]  他說:每個月給你的不是出糧,是賠償
[00:02:39.500 --> 00:02:44.000]  因為你會回到公司被老闆不斷傷害
[00:02:44.000 --> 00:02:46.000]  所以可能是你的賠償
[00:02:46.000 --> 00:02:49.500]  又或者他說:我很喜歡上班這句話的人
[00:02:49.500 --> 00:02:52.000]  剛才說得好像鬼上身一樣
[00:02:52.000 --> 00:02:54.000]  所以我想對很多人來說
[00:02:54.000 --> 00:02:57.500]  一個星期特別可能有六天
