
[00:00:00.000 --> 00:00:03.560]  午安各位弟兄姊妹
[00:00:03.560 --> 00:00:08.840]  今日是復活主日
[00:00:08.840 --> 00:00:12.760]  我就知道好像東正教的信徒
[00:00:12.760 --> 00:00:15.440]  當他們彼此見面的時候
[00:00:15.440 --> 00:00:18.840]  就會互相來說
[00:00:18.840 --> 00:00:21.880]  主耶穌已經復活了
[00:00:21.880 --> 00:00:23.880]  真的復活了
[00:00:23.880 --> 00:00:28.240]  一個說第一句 一個說第二句
[00:00:28.240 --> 00:00:33.720]  我們都彼此來跟弟兄姊妹分享一個
[00:00:33.720 --> 00:00:37.720]  主耶穌已經復活了
[00:00:37.720 --> 00:00:51.200]  主的復活是我們基督教信仰裏面
[00:00:51.200 --> 00:00:54.680]  很重要的一環
[00:00:54.680 --> 00:00:59.080]  使徒信經裏面都是很清楚的說到的
[00:00:59.080 --> 00:01:02.680]  我們試一下 不要打出來
[00:01:02.680 --> 00:01:05.760]  要背 我就是想他們
[00:01:05.760 --> 00:01:10.960]  只是背一個耶穌基督的一段
[00:01:10.960 --> 00:01:14.040]  我信 我主耶穌基督開始
[00:01:14.040 --> 00:01:16.520]  我信我主耶穌基督
[00:01:16.520 --> 00:01:18.920]  上帝獨生之子
[00:01:18.920 --> 00:01:21.040]  恩聖靈感人
[00:01:21.040 --> 00:01:24.320]  由童貞女瑪利亞所生
[00:01:24.320 --> 00:01:28.000]  在本雕比拉多手下受難
[00:01:28.000 --> 00:01:30.480]  被釘於十字架
[00:01:30.480 --> 00:01:32.960]  受死埋葬
[00:01:32.960 --> 00:01:34.680]  降在陰間
[00:01:34.680 --> 00:01:37.920]  第三天從死人中復活
[00:01:37.920 --> 00:01:42.800]  升天坐在全能負上帝的右邊
[00:01:42.800 --> 00:01:45.600]  將來必從那裡降臨
[00:01:45.600 --> 00:01:48.400]  審判活人死人
[00:01:48.400 --> 00:01:52.400]  好 主耶穌的一段就在這裏
[00:01:52.400 --> 00:01:57.400]  是我們的信仰不單止是耶穌為我們受難
[00:01:57.400 --> 00:02:00.240]  為我們承擔我們的罪
[00:02:00.240 --> 00:02:03.280]  耶穌也是復活的主
[00:02:03.280 --> 00:02:05.120]  我信復活
[00:02:05.120 --> 00:02:08.120]  和心禱告
[00:02:08.120 --> 00:02:09.600]  主幫助我們
[00:02:09.600 --> 00:02:12.760]  在今早透過你的話語
[00:02:12.760 --> 00:02:14.120]  讓我們明白
[00:02:14.120 --> 00:02:15.640]  你的復活
[00:02:15.640 --> 00:02:17.520]  和我們有什麼關係
[00:02:17.520 --> 00:02:18.600]  你的復活
[00:02:18.600 --> 00:02:20.520]  要為我們帶來什麼
[00:02:20.520 --> 00:02:21.720]  願主施恩
[00:02:21.720 --> 00:02:24.240]  給每一個聽你自己話語的人
[00:02:24.240 --> 00:02:25.960]  奉耶穌基督的聖名
[00:02:25.960 --> 00:02:27.320]  阿們
[00:02:27.320 --> 00:02:29.680]  今天是一個很特別的主人
[00:02:29.680 --> 00:02:32.080]  不單止是復活節
[00:02:32.080 --> 00:02:34.280]  也是另外一個節期
[00:02:34.280 --> 00:02:36.280]  大家知不知道
[00:02:36.280 --> 00:02:39.440]  我們中國人的清明節
[00:02:39.440 --> 00:02:41.760]  復活節加清明節
[00:02:41.760 --> 00:02:45.760]  清明節就是我們祭祖掃墓的日子
[00:02:45.760 --> 00:02:49.280]  通常會帶著鮮花到墓前
[00:02:49.280 --> 00:02:54.960]  來懷念我們離開了的親人
[00:02:54.960 --> 00:02:56.920]  但復活節
[00:02:56.920 --> 00:02:58.920]  我們不會帶著鮮花
[00:02:58.920 --> 00:03:02.240]  去到耶穌基督的墓前
[00:03:02.240 --> 00:03:04.840]  起碼我在新聞裏都沒見過
[00:03:04.840 --> 00:03:05.720]  有人這樣做
[00:03:05.720 --> 00:03:08.600]  受難節有人像耶穌一樣
[00:03:08.600 --> 00:03:10.920]  說要釘十字架就有
[00:03:10.920 --> 00:03:14.320]  但復活節沒有人這樣做
[00:03:14.320 --> 00:03:18.000]  到耶穌的墓前獻花
[00:03:18.000 --> 00:03:21.520]  我去年人生第一次
[00:03:21.520 --> 00:03:25.120]  去到以色列耶路撒冷那裏
[00:03:25.120 --> 00:03:26.200]  都必定去
[00:03:26.200 --> 00:03:29.920]  一個就是要去參觀耶穌的墳墓
[00:03:29.920 --> 00:03:31.800]  這是其中一個環節
[00:03:31.800 --> 00:03:34.040]  進了一個據稱是
[00:03:34.040 --> 00:03:36.680]  耶穌墳墓的山洞那裏
[00:03:36.680 --> 00:03:37.680]  其實是不是這個呢
[00:03:37.680 --> 00:03:39.720]  我們都不太知道
[00:03:39.720 --> 00:03:41.600]  就是帶你去那裏
[00:03:41.600 --> 00:03:45.520]  進去看一看裏面有什麼
[00:03:45.520 --> 00:03:46.840]  沒什麼
[00:03:46.840 --> 00:03:49.160]  門口有什麼
[00:03:49.160 --> 00:03:51.040]  寫著一句說話
[00:03:51.040 --> 00:03:52.560]  他不在這裏
[00:03:52.560 --> 00:03:55.760]  因為他已經復活了
[00:03:55.760 --> 00:03:57.720]  這句說話就是
[00:03:57.720 --> 00:04:00.400]  剛才我們看馬可福音
[00:04:00.400 --> 00:04:02.720]  十六章那裏都見到
[00:04:02.720 --> 00:04:04.920]  就是天使對那班來到
[00:04:04.920 --> 00:04:07.520]  耶穌墳墓的婦女
[00:04:07.520 --> 00:04:10.320]  所說的話
[00:04:10.320 --> 00:04:11.760]  他不在這裏
[00:04:11.760 --> 00:04:15.200]  已經復活了
[00:04:15.200 --> 00:04:18.280]  在聖經裏面我們見到
[00:04:18.280 --> 00:04:21.600]  當耶穌受難之後
[00:04:21.600 --> 00:04:25.400]  一班門徒躲藏不敢出來
[00:04:25.400 --> 00:04:26.760]  耶穌復活之後
[00:04:26.760 --> 00:04:28.160]  他們都不太相信
[00:04:28.160 --> 00:04:29.400]  不太知道
[00:04:29.400 --> 00:04:34.360]  所以當門徒仍然在屋內的時候
[00:04:34.360 --> 00:04:37.720]  耶穌來到他們當中
[00:04:37.720 --> 00:04:39.160]  耶穌對他們說
[00:04:39.160 --> 00:04:42.520]  願你們平安
[00:04:42.520 --> 00:04:45.680]  耶穌去到門徒那裏
[00:04:45.680 --> 00:04:47.880]  不過有一個門徒不在
[00:04:47.880 --> 00:04:49.520]  是誰呢?
[00:04:49.520 --> 00:04:51.400]  多瑪不在
[00:04:51.400 --> 00:04:52.480]  多瑪不在
[00:04:52.480 --> 00:04:55.840]  其他門徒說我們見到復活的主
[00:04:55.840 --> 00:04:58.120]  不過多瑪不相信
[00:04:58.120 --> 00:04:59.920]  多瑪怎麼說呢?
[00:04:59.920 --> 00:05:03.320]  我要自己摸他的手上的釘痕
[00:05:03.320 --> 00:05:04.640]  摸他的肋旁
[00:05:04.640 --> 00:05:07.000]  我才會相信
[00:05:07.000 --> 00:05:08.760]  八天之後
[00:05:08.760 --> 00:05:11.840]  耶穌再一次對他們顯現
[00:05:11.840 --> 00:05:14.480]  耶穌對多瑪說
[00:05:14.480 --> 00:05:16.640]  你伸出你的手來
[00:05:16.640 --> 00:05:18.520]  摸我這個釘痕
[00:05:18.520 --> 00:05:20.240]  摸我這個肋旁
