
[00:00:00.000 --> 00:00:05.360]  今天經文是列王記上十七章一到二十四節
[00:00:05.360 --> 00:00:08.000]  講到的題目是「誰主浮沉」
[00:00:08.000 --> 00:00:11.080]  正道是我們堂會的江惠明傳道
[00:00:11.080 --> 00:00:13.080]  現在就交給江傳道
[00:00:13.080 --> 00:00:15.480]  頂姐妹早晨
[00:00:15.480 --> 00:00:18.440]  毛澤東他在一九四五年的時候
[00:00:18.440 --> 00:00:20.400]  發表了一首詩詞
[00:00:20.400 --> 00:00:22.680]  「甚緣春雪」
[00:00:22.680 --> 00:00:24.400]  最後那句他講到
[00:00:24.400 --> 00:00:27.400]  「數風流人物還看今朝」
[00:00:27.400 --> 00:00:31.400]  這一首詩詞所體現出來的偉大的胸襟
[00:00:31.400 --> 00:00:33.400]  氣魄和文采
[00:00:33.400 --> 00:00:37.800]  令到當時很多的文化人都為之震驚和很敬佩
[00:00:37.800 --> 00:00:41.400]  據說毛澤東這一首詩詞
[00:00:41.400 --> 00:00:44.800]  當時卻是令到另一個人很激氣
[00:00:44.800 --> 00:00:46.400]  那就是蔣介石
[00:00:46.400 --> 00:00:50.000]  因為詩裡面展現毛澤東的這份狂妄
[00:00:50.000 --> 00:00:52.000]  想稱王稱帝的野心
[00:00:52.000 --> 00:00:55.200]  文采都令到他無法容忍
[00:00:55.200 --> 00:01:00.600]  因此他就找了他們國民黨內寫東西最厲害的人
[00:01:00.600 --> 00:01:03.600]  叫他去評一下這一首詩詞
[00:01:03.600 --> 00:01:05.200]  從中想挑剔一下
[00:01:05.200 --> 00:01:08.000]  看看有什麼不是那麼好的地方
[00:01:08.000 --> 00:01:10.800]  但後來換來的評語卻是
[00:01:10.800 --> 00:01:12.000]  氣度不凡
[00:01:12.000 --> 00:01:14.800]  真有氣吞山河如虎之感
[00:01:14.800 --> 00:01:18.600]  這一首真是詩詞中難得的精品
[00:01:18.600 --> 00:01:22.000]  一聽之下蔣介石更加激氣
[00:01:22.000 --> 00:01:24.600]  歷史之後告訴我們
[00:01:24.600 --> 00:01:29.000]  毛澤東果然在1949年建立了新中國
[00:01:29.000 --> 00:01:33.400]  也為我們日後的中國帶來了很深遠的影響
[00:01:33.400 --> 00:01:37.400]  但就算毛澤東在這個歷史舞台上
[00:01:37.400 --> 00:01:40.000]  曾經叱咤風雲於一時
[00:01:40.000 --> 00:01:43.800]  但他最終自己還是離開
[00:01:43.800 --> 00:01:46.600]  他不可能掌控萬事
[00:01:46.600 --> 00:01:52.000]  今天他的遺體只能夠睡在北京的毛主席紀念堂
[00:01:52.000 --> 00:01:54.600]  到底放眼這個天地之間
[00:01:54.600 --> 00:01:58.400]  誰才是真能夠主宰這個浮沉呢?
[00:01:58.400 --> 00:02:00.200]  獵王紀相十七章
[00:02:00.200 --> 00:02:04.000]  整章的經文其實都環繞著以利亞的經歷
[00:02:04.000 --> 00:02:06.000]  接著薩勒法寡婦的出現
[00:02:06.000 --> 00:02:08.800]  似乎又凸顯了她的信心
[00:02:08.800 --> 00:02:11.400]  但當我們細心去看的時候
[00:02:11.400 --> 00:02:15.800]  其實不難發現在這一切的人物事件背後
[00:02:15.800 --> 00:02:20.400]  只有神是在掌管著一切的發展
[00:02:20.400 --> 00:02:22.400]  在我們深入去探討一下
