
[00:00:00.000 --> 00:00:04.080]  各位聽眾 九月份仍然是猜拳月
[00:00:04.080 --> 00:00:06.200]  我們每一年有一個月份
[00:00:06.200 --> 00:00:09.080]  我們大家會更多集中思想
[00:00:09.080 --> 00:00:11.920]  神給我們宣教猜拳的訊息
[00:00:11.920 --> 00:00:13.360]  我們自己都會思想
[00:00:13.360 --> 00:00:17.120]  我們在哪一方面可以來參與猜拳
[00:00:17.120 --> 00:00:19.280]  關心神掃關心的事情
[00:00:19.280 --> 00:00:20.480]  我們大家再一起祈禱
[00:00:20.480 --> 00:00:22.680]  我們都再思想 預備思想
[00:00:29.680 --> 00:00:32.800]  猜拳的主 我們感謝祢
[00:00:32.800 --> 00:00:33.920]  因為是祢
[00:00:33.920 --> 00:00:37.360]  猜獻主耶穌來到世上
[00:00:37.360 --> 00:00:39.800]  讓我們生命有盼望
[00:00:39.800 --> 00:00:41.920]  因為領受祢的救恩
[00:00:41.920 --> 00:00:45.200]  我們能夠出死入生
[00:00:45.200 --> 00:00:46.600]  我們今天到祢面前來
[00:00:46.600 --> 00:00:48.080]  也都感謝祢
[00:00:48.080 --> 00:00:50.600]  因為祢同樣猜獻我們
[00:00:50.600 --> 00:00:52.520]  去到祢要我們去的地方
[00:00:52.520 --> 00:00:56.080]  在不同的崗位來作祢的見證
[00:00:56.080 --> 00:00:58.160]  主啊 是何等大的福分
[00:00:58.160 --> 00:01:01.520]  能夠可以與祢同供
[00:01:01.520 --> 00:01:05.120]  我們都仰望恩主在我們生活上
[00:01:05.120 --> 00:01:08.000]  讓我們心裡面明白祢的旨意
[00:01:08.000 --> 00:01:12.280]  也都知道歡喜快樂地來聽從
[00:01:12.280 --> 00:01:15.560]  讓我們在順服在聽從的過程當中
[00:01:15.560 --> 00:01:18.880]  我們得著祢要給我們豐盛的生命
[00:01:18.880 --> 00:01:20.400]  也都能夠經歷
[00:01:20.400 --> 00:01:24.160]  祢怎樣使用我們成為別人的祝福
[00:01:24.160 --> 00:01:27.040]  我們現今打開聖經思想祢的說話
[00:01:27.040 --> 00:01:29.840]  我們求恩主賜下祢寶貴的聖靈
[00:01:29.840 --> 00:01:31.800]  引導我們的心思
[00:01:31.800 --> 00:01:34.960]  讓我們領受又跟隨
[00:01:34.960 --> 00:01:36.560]  我們仰望禱告
[00:01:36.560 --> 00:01:38.760]  奉主耶穌 盛名祈求
[00:01:38.760 --> 00:01:41.440]  阿們
[00:01:41.440 --> 00:01:44.000]  我們今天一起思想《若拿書》
[00:01:44.000 --> 00:01:47.160]  一段我們都會讀過的經文
[00:01:47.160 --> 00:01:48.760]  其中思想的就是
[00:01:48.760 --> 00:01:52.760]  神為何會一定選召若拿
[00:01:52.760 --> 00:01:54.920]  當我想報告關於選召
[00:01:54.920 --> 00:01:56.280]  關於呼召的時候
[00:01:56.280 --> 00:02:00.840]  我想大家弟兄姊妹都會一直在教會聽到的時候
[00:02:00.840 --> 00:02:02.920]  好知道聖經有一個訊息
[00:02:02.920 --> 00:02:04.320]  這個訊息就是
[00:02:04.320 --> 00:02:11.040]  上帝會呼召祂每一個子民來跟隨祂
[00:02:11.040 --> 00:02:12.920]  神對我們每一個屬祂的人
[00:02:12.920 --> 00:02:16.320]  有祂對我們的召命
[00:02:16.320 --> 00:02:17.080]  最基本的
[00:02:17.080 --> 00:02:20.480]  上帝呼召我們作祂的見證
[00:02:20.480 --> 00:02:22.080]  《善行傳》第一章告訴我們
[00:02:22.080 --> 00:02:24.640]  就是神賜給我們聖靈
[00:02:24.640 --> 00:02:28.640]  然後差遣我們去到耶路撒冷
[00:02:28.640 --> 00:02:31.080]  猶大全地 撒瑪利亞 直到地極
[00:02:31.080 --> 00:02:34.320]  在不同的地方作祂的見證
[00:02:34.320 --> 00:02:36.800]  或者成為祂的見證
[00:02:36.800 --> 00:02:40.560]  這是神對我們最根本的呼召
[00:02:40.560 --> 00:02:43.080]  我們是祂的見證
[00:02:43.080 --> 00:02:44.280]  聖經同時提到
[00:02:44.280 --> 00:02:45.640]  你和我
[00:02:45.640 --> 00:02:48.400]  我們是蒙受神所揀選的
[00:02:48.400 --> 00:02:51.240]  我們是被揀選的族類
[00:02:51.240 --> 00:02:53.600]  而因此承受一個呼召
[00:02:53.600 --> 00:02:57.920]  就是在各處宣揚那召我們出黑暗
[00:02:57.920 --> 00:03:01.600]  入奇妙光明者的美德
[00:03:01.600 --> 00:03:03.600]  去宣揚這位主的美德
[00:03:03.600 --> 00:03:06.400]  是神對我們的呼召
[00:03:06.400 --> 00:03:08.520]  你會發覺我們每一個屬神的人
[00:03:08.520 --> 00:03:11.880]  我們其實有呼召在身
[00:03:11.880 --> 00:03:13.920]  我們是領受了神的救恩
[00:03:13.920 --> 00:03:17.000]  也同時領受了神給我們的呼召
[00:03:17.000 --> 00:03:19.040]  在不同的地方作祂的見證
[00:03:19.040 --> 00:03:22.120]  去見證祂自己的美德
[00:03:22.120 --> 00:03:23.600]  同時你會留意到聖經裡面
[00:03:23.600 --> 00:03:26.360]  純粹說到神對不同的人
[00:03:26.360 --> 00:03:29.640]  有一些更加具體的呼召
[00:03:29.640 --> 00:03:33.840]  呼召他們去到某一些崗位
[00:03:33.840 --> 00:03:37.800]  向著某一些群體作見證
[00:03:37.800 --> 00:03:38.560]  而你和我
[00:03:38.560 --> 00:03:41.320]  在我們自己跟隨主的過程裡面
[00:03:41.320 --> 00:03:43.080]  都需要常常留心
[00:03:43.080 --> 00:03:47.640]  神對我的具體呼召是哪些
[00:03:47.640 --> 00:03:49.720]  留心去分辨出來
[00:03:49.720 --> 00:03:53.280]  也都回應神對你的心意
[00:03:53.280 --> 00:03:55.440]  我們今天所看到的若娜
[00:03:55.440 --> 00:03:57.720]  我們熟悉的一個舊約人物
[00:03:57.720 --> 00:03:59.920]  她是夢主的呼召
[00:03:59.920 --> 00:04:02.240]  特別向到尼尼尼人
[00:04:02.240 --> 00:04:04.240]  當時亞述帝國裡面的人
[00:04:04.240 --> 00:04:07.080]  要傳悔改的信息
[00:04:07.080 --> 00:04:08.480]  我們會很為她開心
[00:04:08.480 --> 00:04:10.800]  她有神給她的呼召
[00:04:10.800 --> 00:04:11.600]  但當你讀的時候
[00:04:11.600 --> 00:04:12.560]  你會察覺到
[00:04:12.560 --> 00:04:16.920]  她有很多次多番拒絕神對她的呼召
[00:04:16.920 --> 00:04:18.680]  究竟為什麼
