
[00:00:00.000 --> 00:00:05.840]  今天會和大家講一個很特別的題目
[00:00:05.840 --> 00:00:07.840]  一個很特別的訊息
[00:00:07.840 --> 00:00:11.200]  這個題目我叫做「送羊入狼群」
[00:00:11.200 --> 00:00:14.320]  我也想過很多其他的題目
[00:00:14.320 --> 00:00:17.600]  叫做「送羊入狼堆」
[00:00:17.600 --> 00:00:21.200]  或者是「引羊入狼室」
[00:00:21.200 --> 00:00:24.160]  但最後我想都是比較直接一點
[00:00:24.160 --> 00:00:25.520]  「送羊入狼群」
[00:00:25.520 --> 00:00:29.520]  因為這個就是聖經裡面所教導我們
[00:00:29.520 --> 00:00:32.560]  為什麼會講一個這麼奇怪的題目
[00:00:32.560 --> 00:00:35.600]  其實今天的題目和我們息息相關
[00:00:35.600 --> 00:00:38.640]  是告訴我們究竟我們基督徒
[00:00:38.640 --> 00:00:42.800]  和這個世俗的關係是怎麼樣的
[00:00:42.800 --> 00:00:45.440]  我們應該是怎樣處理
[00:00:45.440 --> 00:00:46.960]  如果我們是有磨擦
[00:00:46.960 --> 00:00:50.240]  如果我們是和這個俗世的人有衝突
[00:00:50.240 --> 00:00:51.760]  應該怎樣處理
[00:00:51.760 --> 00:00:54.160]  應不應該用暴力
[00:00:54.160 --> 00:00:56.320]  或者在危難的時候
[00:00:56.320 --> 00:00:59.040]  應不應該用不正當的手法
[00:00:59.040 --> 00:01:02.880]  或者是不誠實的手法來脫險
[00:01:02.880 --> 00:01:05.200]  當我們是遇見有逼迫的時候
[00:01:05.200 --> 00:01:08.480]  有些什麼的處理方法是最好的
[00:01:08.480 --> 00:01:12.000]  所以對我們來說應該是息息相關
[00:01:12.000 --> 00:01:14.080]  為什麼會講這個題目
[00:01:14.080 --> 00:01:16.320]  因為跟著上次我們說
[00:01:16.320 --> 00:01:19.760]  耶穌基督差派祂12個使徒出去
[00:01:19.760 --> 00:01:23.520]  這個差派也是差派我們每一個基督徒
[00:01:23.520 --> 00:01:26.080]  給我們有從神而來的使命
[00:01:26.080 --> 00:01:29.200]  有從神而來的一個天國的信息
[00:01:29.200 --> 00:01:31.680]  有從神而來的憑證
[00:01:31.680 --> 00:01:35.120]  使徒就有神跡騎士在他們的身上
[00:01:35.120 --> 00:01:36.240]  我們不是使徒
[00:01:36.240 --> 00:01:38.080]  我們沒有神跡騎士
[00:01:38.080 --> 00:01:41.120]  但是當我們出去傳福音的時候
[00:01:41.120 --> 00:01:42.880]  我們有一個憐憫的心
[00:01:42.880 --> 00:01:44.480]  我們有愛心的話
[00:01:44.480 --> 00:01:48.720]  人們一樣會知道我們是從神而來
[00:01:48.720 --> 00:01:52.400]  我們講這個系列的時候
[00:01:52.400 --> 00:01:55.680]  大部分的經文都在《馬太福音》第十章
[00:01:55.680 --> 00:01:57.680]  我也跟大家分享過
[00:01:57.680 --> 00:02:00.480]  第十章五至四十二節
[00:02:00.480 --> 00:02:03.200]  其實可以分開三個段落
[00:02:03.200 --> 00:02:05.600]  每一個段落都有耶穌基督說
[00:02:05.600 --> 00:02:08.400]  「我實在告訴你們」
[00:02:08.400 --> 00:02:12.480]  而講今天的經文是十六至二十三節
[00:02:12.480 --> 00:02:14.240]  講完今天之後
[00:02:14.240 --> 00:02:20.000]  很明顯就是剩下了二十四至四十二節
[00:02:20.000 --> 00:02:21.920]  但是不妨我們先看看
