
[00:00:00.000 --> 00:00:04.000]  過去這個系列 大家知道
[00:00:04.000 --> 00:00:08.840]  會點開始以來 有幾個我們很執著要做的事
[00:00:08.840 --> 00:00:10.340]  是幫助我們教會發展的
[00:00:10.340 --> 00:00:13.320]  有十件事 今天是講第六件事
[00:00:13.320 --> 00:00:14.900]  就是講禱告
[00:00:14.900 --> 00:00:19.040]  我們叫禱告的嘴 禱告的嘴巴
[00:00:19.040 --> 00:00:20.640]  整個系列看下去 你會知道
[00:00:20.640 --> 00:00:22.640]  嘗試用一些organ去表達
[00:00:22.640 --> 00:00:24.640]  嘴是否用來祈禱的呢
[00:00:24.640 --> 00:00:28.000]  我就很奇怪 現在甚麼都去google一下
[00:00:28.000 --> 00:00:30.000]  你上網查的時候
[00:00:30.000 --> 00:00:32.000]  嘴巴有甚麼用途
[00:00:32.000 --> 00:00:33.000]  你猜我找到甚麼呢
[00:00:33.000 --> 00:00:35.000]  這些其實是很無聊的問題
[00:00:35.000 --> 00:00:37.000]  但真的有人問這個問題
[00:00:37.000 --> 00:00:39.000]  嘴巴有甚麼用途 你上網查一查
[00:00:39.000 --> 00:00:41.000]  嘴巴不是用來說話嗎
[00:00:41.000 --> 00:00:43.000]  用來吃東西 用來喝水
[00:00:43.000 --> 00:00:46.000]  用來接吻 用來親親臉
[00:00:46.000 --> 00:00:49.000]  還有 用來罵人
[00:00:49.000 --> 00:00:51.000]  都有人這樣寫 用來罵人
[00:00:51.000 --> 00:00:53.000]  還有甚麼呢
[00:00:53.000 --> 00:00:57.000]  用來呼吸 用來講是非 用來吹口哨
[00:00:57.000 --> 00:00:59.000]  用來吹口水 一大堆
[00:00:59.000 --> 00:01:01.000]  很無聊的東西
[00:01:01.000 --> 00:01:03.000]  我看遍
[00:01:03.000 --> 00:01:06.000]  都沒有說過是用嘴巴來祈禱的
[00:01:06.000 --> 00:01:09.000]  都只是說一大堆這樣的東西
[00:01:09.000 --> 00:01:12.000]  但我相信對基督徒來說
[00:01:12.000 --> 00:01:15.000]  其中我們嘴巴最重要的用途是甚麼呢
[00:01:15.000 --> 00:01:17.000]  是用來祈禱
[00:01:17.000 --> 00:01:19.000]  其實祈禱的功課
[00:01:19.000 --> 00:01:21.000]  在裡面事事都講的
[00:01:21.000 --> 00:01:25.000]  基督徒是應該祈禱的
[00:01:25.000 --> 00:01:28.000]  問題是 我發覺很多基督徒
