
[00:00:00.000 --> 00:00:05.080]  讓我們一起安靜地在神的面前禱告
[00:00:05.080 --> 00:00:07.720]  讓話語放在我們心裏面
[00:00:07.720 --> 00:00:09.720]  免得我們下雨的時候
[00:00:09.720 --> 00:00:12.440]  有人聖靈親自向我們說話
[00:00:12.440 --> 00:00:14.760]  天父我們一班的會眾
[00:00:14.760 --> 00:00:17.840]  今天早上來到你的面前
[00:00:17.840 --> 00:00:20.840]  我們很需要仰望你
[00:00:20.840 --> 00:00:23.920]  主我們見到香港
[00:00:23.920 --> 00:00:29.840]  在過去這一年裏實在是經歷了很多事情
[00:00:29.840 --> 00:00:32.160]  無論是政治的事件
[00:00:32.160 --> 00:00:33.880]  社會的事件
[00:00:33.880 --> 00:00:38.440]  甚至今天是民生健康的事件
[00:00:38.440 --> 00:00:42.400]  但是主正如我們剛才所背誦的主禱文
[00:00:42.400 --> 00:00:47.040]  我們知道國道、權柄、榮耀都是全屬你
[00:00:47.040 --> 00:00:52.680]  讓我們再一次奉你的名去聚集的時候
[00:00:52.680 --> 00:00:56.120]  我們去認定你是我們的主
[00:00:56.120 --> 00:00:59.040]  我們的好處不在你以外
[00:00:59.040 --> 00:01:00.560]  求你幫助我們
[00:01:00.560 --> 00:01:03.760]  讓我們有那份信心
[00:01:03.760 --> 00:01:07.160]  去知道你仍然是掌權
[00:01:07.160 --> 00:01:11.600]  我們為我們眾人的心安定在你裏面去禱告
[00:01:11.600 --> 00:01:15.840]  求主你賜下那份世界找不到的平安
[00:01:15.840 --> 00:01:17.680]  求你與我們同在
[00:01:17.680 --> 00:01:19.960]  當我們打開我們的心
[00:01:19.960 --> 00:01:22.720]  去聆聽你自己的說話的時候
[00:01:22.720 --> 00:01:24.560]  求你抓緊我們
[00:01:24.560 --> 00:01:28.240]  求你幫助我們將你的話語放在我們心裏面
[00:01:28.240 --> 00:01:29.960]  免得我們去得罪你
[00:01:29.960 --> 00:01:33.880]  也求你藉著你自己的說話
[00:01:33.880 --> 00:01:36.200]  賜給我們力量、剛強
[00:01:36.200 --> 00:01:39.760]  來怎樣在這個黑暗的世代
[00:01:39.760 --> 00:01:42.520]  繼續為你作見證
[00:01:42.520 --> 00:01:44.440]  多謝你聽我們在你面前的祈禱
[00:01:44.440 --> 00:01:46.200]  奉耶穌基督的名
[00:01:46.200 --> 00:01:47.960]  阿門
[00:01:47.960 --> 00:01:52.160]  我們東方人很怕冒犯人
[00:01:52.160 --> 00:01:54.240]  特別是過年過節
[00:01:54.240 --> 00:01:57.880]  我們都很想有和諧的關係
[00:01:57.880 --> 00:02:00.120]  一家人一齊吃飯
[00:02:00.120 --> 00:02:02.120]  就會很想齊齊整整
[00:02:02.120 --> 00:02:03.600]  不要吵架
[00:02:03.600 --> 00:02:05.440]  新年那些揮春
[00:02:05.440 --> 00:02:08.000]  今年特別多一團和氣
