
[00:00:00.000 --> 00:00:03.080]  現代人是非常忙碌的
[00:00:03.080 --> 00:00:05.040]  現代人是很忙碌的
[00:00:05.040 --> 00:00:07.800]  連喝水都沒有時間
[00:00:07.800 --> 00:00:15.760]  香港人的快樂指數在世界上排名很低
[00:00:15.760 --> 00:00:19.600]  香港人的快樂指數在世界上排名是很低的
[00:00:19.600 --> 00:00:20.600]  大家認不認同?
[00:00:20.600 --> 00:00:22.080]  大家不知道認不認同?
[00:00:22.080 --> 00:00:24.480]  認不認同我們香港人不是很快樂?
[00:00:24.480 --> 00:00:27.480]  認不認同我們香港人是不是不是很快樂?
[00:00:27.480 --> 00:00:29.400]  好像不認同,即是你們很快樂
[00:00:29.400 --> 00:00:32.760]  好像不認同,即是你們很快樂?
[00:00:32.760 --> 00:00:37.120]  因為生活壓力很大
[00:00:37.120 --> 00:00:38.960]  因為生活壓力太大
[00:00:38.960 --> 00:00:40.760]  很多人都要超時工作
[00:00:40.760 --> 00:00:43.720]  很多人都要超時工作
[00:00:43.720 --> 00:00:45.240]  真的,真的是超時工作
[00:00:45.240 --> 00:00:46.720]  真的,真的是超時工作
[00:00:46.720 --> 00:00:50.040]  我都很欣賞我們的鄧英姐妹
[00:00:50.040 --> 00:00:51.840]  特別是當執事的
[00:00:51.840 --> 00:00:53.680]  所以我很欣賞我們的弟兄姐妹
[00:00:53.680 --> 00:00:55.600]  尤其是做執事的
[00:00:55.600 --> 00:00:57.040]  他們真的很辛苦
[00:00:57.040 --> 00:01:00.240]  他們是很辛勞的
[00:01:00.240 --> 00:01:03.440]  開執事會往往開到十二點鐘
[00:01:03.440 --> 00:01:07.440]  開執事會往往會開到晚上十二點鐘
[00:01:07.440 --> 00:01:08.720]  不過開得很開心
[00:01:08.720 --> 00:01:11.280]  不過開得很開心
[00:01:11.280 --> 00:01:14.920]  大家知道有神的心在當中
[00:01:14.920 --> 00:01:18.400]  開會都不是很埋怨
[00:01:18.400 --> 00:01:21.360]  大家都知道有上帝的心在心裏面
[00:01:21.360 --> 00:01:23.840]  開會都不會很埋怨
[00:01:23.840 --> 00:01:31.040]  但我們身邊的人會發覺很多人會遇到很多困難
[00:01:31.040 --> 00:01:35.000]  但我們看見身邊很多人遇到很多困難
[00:01:35.000 --> 00:01:37.920]  有沒有留意到有些人一邊做一邊埋怨?
[00:01:37.920 --> 00:01:42.520]  有沒有留意到一些人一邊做工一邊埋怨?
[00:01:42.520 --> 00:01:45.680]  有些工人一邊做一邊說髒話
[00:01:45.680 --> 00:01:49.760]  有些工人一邊做一邊說髒話
