
[00:00:00.000 --> 00:00:01.160]  鄭智媚午安
[00:00:01.160 --> 00:00:05.840]  在開始分享訊息之前
[00:00:05.840 --> 00:00:08.240]  給大家看一張照片
[00:00:08.240 --> 00:00:10.440]  好
[00:00:10.440 --> 00:00:12.360]  你有沒有來過這裡?
[00:00:12.360 --> 00:00:15.680]  認不認得是什麼地方?
[00:00:15.680 --> 00:00:19.720]  揭曉一下好不好?
[00:00:19.720 --> 00:00:26.000]  其實這裡是位於沙頭角的中英界
[00:00:27.600 --> 00:00:33.000]  是由香港特區政府和深圳市共同管理的
[00:00:33.000 --> 00:00:35.480]  如果你有去過的話
[00:00:35.480 --> 00:00:38.840]  可能你會留意到
[00:00:38.840 --> 00:00:45.040]  整條中英街的邊界有好幾個石碑
[00:00:45.040 --> 00:00:54.400]  而這些石碑是用來標明香港和深圳的分界
[00:00:55.200 --> 00:00:58.880]  由於中英街是在禁區裏面
[00:00:58.880 --> 00:01:00.640]  所以如果你進去
[00:01:00.640 --> 00:01:05.400]  無論你是國內或者是香港的居民
[00:01:05.400 --> 00:01:10.360]  基本上你都是需要申請一個特別的通行證的
[00:01:10.360 --> 00:01:16.600]  這張照片是1997年回歸之前拍攝的
[00:01:16.600 --> 00:01:19.600]  你看到挺有趣的
[00:01:19.600 --> 00:01:24.200]  兩個地方政府的執法人員
[00:01:24.440 --> 00:01:25.560]  都很小心
[00:01:25.560 --> 00:01:27.160]  不要過界
[00:01:27.160 --> 00:01:29.640]  因為一踩到旁邊
[00:01:29.640 --> 00:01:33.400]  基本上是代表了一個根本性的改變
[00:01:33.400 --> 00:01:36.440]  進入了另一個司法管轄區
[00:01:36.440 --> 00:01:40.880]  今天就是2022年
[00:01:40.880 --> 00:01:41.960]  最後一天
[00:01:41.960 --> 00:01:43.120]  12月31日
[00:01:43.120 --> 00:01:45.520]  還沒到2023年
[00:01:45.520 --> 00:01:47.880]  不知道大家有沒有覺得有點奇怪
[00:01:47.880 --> 00:01:48.680]  為什麼呢?
[00:01:48.680 --> 00:01:51.880]  好像當正新的一年開始一樣
[00:01:52.000 --> 00:01:54.960]  然後就開始講一些新的信息
[00:01:54.960 --> 00:02:00.840]  正如我在年報和會友大會都講過
[00:02:00.840 --> 00:02:03.160]  我們不同的同工
[00:02:03.160 --> 00:02:06.800]  在2023年就會開始和大家
[00:02:06.800 --> 00:02:09.840]  在講壇上分享文數記
[00:02:09.840 --> 00:02:15.440]  由12月31日跳到1月1日
[00:02:15.440 --> 00:02:18.480]  剛剛好像是一個分水嶺那樣
[00:02:18.480 --> 00:02:19.960]  是一個新的開始
[00:02:20.280 --> 00:02:22.240]  一個新的轉變
[00:02:22.240 --> 00:02:28.040]  就好像文數記這本書的背景一樣
[00:02:28.040 --> 00:02:29.840]  簡單講一講
[00:02:29.840 --> 00:02:33.200]  文數記一共有36章那麼長
[00:02:33.200 --> 00:02:35.800]  主要是記載以色列民
[00:02:35.800 --> 00:02:38.000]  當他們出了埃及之後
[00:02:38.000 --> 00:02:39.440]  由第二年開始
[00:02:39.440 --> 00:02:43.840]  一直到第40年中間
[00:02:43.840 --> 00:02:46.920]  上帝如何帶領他們
[00:02:46.920 --> 00:02:50.080]  走過了西奈曠野
[00:02:50.200 --> 00:02:51.440]  巴蘭曠野
[00:02:51.440 --> 00:02:52.680]  摩押平原
[00:02:52.680 --> 00:02:54.840]  然後就到最後一站
[00:02:54.840 --> 00:02:56.480]  準備過河了
[00:02:56.480 --> 00:03:01.800]  當中有一些事情和一些律例典章
[00:03:01.800 --> 00:03:03.840]  在前面兩本書
[00:03:03.840 --> 00:03:06.120]  《春埃及記》和《利美記》
[00:03:06.120 --> 00:03:07.360]  其實有講過
[00:03:07.360 --> 00:03:09.040]  包括什麼呢?
[00:03:09.040 --> 00:03:12.320]  摩西去樹立這個會幕
[00:03:12.320 --> 00:03:16.520]  以色列民多次發怨言去撥逆上帝
[00:03:16.520 --> 00:03:19.800]  不同的憲制條例等等
[00:03:20.680 --> 00:03:26.120]  這本書基本上的題材是多元化的
[00:03:26.120 --> 00:03:29.040]  讓我們有機會看到
[00:03:29.040 --> 00:03:31.400]  第二代的以色列人
