
[00:00:00.000 --> 00:00:02.000]  《聖經》都是神所默示的
[00:00:02.000 --> 00:00:09.000]  於教訓督澤使人歸正教導和學議都是有益的
[00:00:09.000 --> 00:00:14.000]  叫屬神的人得以完全預備行各樣的善事
[00:00:14.000 --> 00:00:17.000]  感謝主在今日清晨的時間
[00:00:17.000 --> 00:00:21.000]  我要透過《聖經》的說話和大家思考一個題目
[00:00:21.000 --> 00:00:26.000]  就是心靈健康是拒食資訊垃圾
[00:00:26.000 --> 00:00:33.000]  有一個富翁在家的宴會裡招請了很多貴賓
[00:00:33.000 --> 00:00:38.000]  這個有錢人有一個很大的一個水池
[00:00:38.000 --> 00:00:43.000]  這個水池大到養了很多鱷魚和鯊魚
[00:00:43.000 --> 00:00:47.000]  在這個宴會裡他和賓客這樣說
[00:00:47.000 --> 00:00:51.000]  他說如果哪一個有膽量跳下去的話
[00:00:51.000 --> 00:00:53.000]  游過去對面岸的話
[00:00:53.000 --> 00:00:56.000]  我願意將身家的一半給他
[00:00:56.000 --> 00:00:59.000]  他要什麼我都可以給他
[00:00:59.000 --> 00:01:01.000]  這個有錢人說完之後
[00:01:01.000 --> 00:01:07.000]  有一個年輕人馬上就跳進水池裡
[00:01:07.000 --> 00:01:10.000]  鯊魚鱷魚都還沒來得到反應
[00:01:10.000 --> 00:01:14.000]  這個年輕人就已經游到對面岸了
[00:01:14.000 --> 00:01:17.000]  這個有錢人問這個年輕人
[00:01:17.000 --> 00:01:21.000]  他說年輕人我從來沒見過這麼勇敢的人
[00:01:21.000 --> 00:01:24.000]  你想要什麼我都可以給你
[00:01:24.000 --> 00:01:27.000]  這個年輕人望望四周圍的人
[00:01:27.000 --> 00:01:29.000]  就這樣說我什麼都不要
[00:01:29.000 --> 00:01:36.000]  我只要知道誰推我下去
[00:01:36.000 --> 00:01:42.000]  如果這個有錢人是標基
[00:01:42.000 --> 00:01:46.000]  聽說他的財富有四千億美金
[00:01:46.000 --> 00:01:49.000]  富可敵國
[00:01:49.000 --> 00:01:52.000]  如果你願意跳下去的話
[00:01:52.000 --> 00:01:54.000]  就有兩千億美金
[00:01:54.000 --> 00:01:58.000]  誰願意跳下去的?
[00:01:58.000 --> 00:02:02.000]  其實我猜多數沒人舉手了
[00:02:02.000 --> 00:02:06.000]  不過實際上是很多人跳下鱷魚潭的
[00:02:06.000 --> 00:02:11.000]  譬如股票市場
[00:02:11.000 --> 00:02:14.000]  人為財死鳥為自亡
[00:02:14.000 --> 00:02:17.000]  這是世俗人所追求的
[00:02:17.000 --> 00:02:21.000]  但我想跟大家說你們是上帝的兒女
[00:02:21.000 --> 00:02:23.000]  是他君尊的祭司
[00:02:23.000 --> 00:02:25.000]  你們是世上的綱
[00:02:25.000 --> 00:02:28.000]  你們是世上的鹽
[00:02:28.000 --> 00:02:32.000]  天父已經準備了一份獎品
[00:02:32.000 --> 00:02:36.000]  而且天父跟你有永恆的約會
[00:02:36.000 --> 00:02:39.000]  所以不要為了錢
[00:02:39.000 --> 00:02:41.000]  或者其他的事情
[00:02:41.000 --> 00:02:47.000]  將你引渡離開了上帝的道路
[00:02:47.000 --> 00:02:50.000]  因為你的人生是非常重要
[00:02:50.000 --> 00:02:54.000]  你每一寸光陰都充滿著價值
[00:02:54.000 --> 00:02:58.000]  不可以浪費在一些毫無意義的事上
[00:02:58.000 --> 00:03:03.000]  尤其是資訊垃圾的事上
[00:03:03.000 --> 00:03:08.000]  詩篇第一篇就說到什麼叫蒙福的人
[00:03:08.000 --> 00:03:10.000]  蒙福的人是怎樣呢?
[00:03:10.000 --> 00:03:13.000]  他好像一棵樹栽在溪水旁
[00:03:13.000 --> 00:03:17.000]  按時候結果指葉子也不枯乾
[00:03:17.000 --> 00:03:19.000]  如果用在人的身上的話
[00:03:19.000 --> 00:03:22.000]  說明來聽我們那個豐盛的人生
[00:03:22.000 --> 00:03:26.000]  這種豐盛的人生是可以一直延展下去
[00:03:26.000 --> 00:03:31.000]  因為樹根是在水旁的旁邊
[00:03:31.000 --> 00:03:33.000]  不過聖經就說
[00:03:33.000 --> 00:03:36.000]  要有豐盛的人生是有條件的
[00:03:36.000 --> 00:03:37.000]  有什麼條件呢?
[00:03:37.000 --> 00:03:40.000]  就剛才主席所讀的條件
[00:03:40.000 --> 00:03:43.000]  我而你要留心聽我的言語
[00:03:43.000 --> 00:03:45.000]  質疑聽我的話語
[00:03:45.000 --> 00:03:47.000]  你不可離開你的眼目
[00:03:47.000 --> 00:03:49.000]  要存在心中
[00:03:49.000 --> 00:03:51.000]  他說到耳要聽什麼
[00:03:51.000 --> 00:03:54.000]  眼要看什麼
[00:03:54.000 --> 00:03:56.000]  要聽上帝的話
[00:03:56.000 --> 00:03:58.000]  要眼看上帝
[00:03:58.000 --> 00:04:01.000]  將這些上帝的話語放在心裡
[00:04:01.000 --> 00:04:02.000]  如果你這樣做的話
[00:04:02.000 --> 00:04:04.000]  你就得著生命
[00:04:04.000 --> 00:04:08.000]  就好像那棵樹一樣栽在溪水旁
[00:04:08.000 --> 00:04:11.000]  就算你有病也都可以醫治
[00:04:11.000 --> 00:04:14.000]  接著四章二十三節
[00:04:14.000 --> 00:04:16.000]  我以為我們每個人都應該要識背的
[00:04:16.000 --> 00:04:18.000]  他說你要保守你的心
[00:04:18.000 --> 00:04:20.000]  勝過保守一切
[00:04:20.000 --> 00:04:25.000]  人一生的果效是由心發出的
[00:04:25.000 --> 00:04:27.000]  又說要修平你腳下的路
[00:04:27.000 --> 00:04:29.000]  堅定你一切的道
[00:04:29.000 --> 00:04:33.000]  要讓你的腳離開了邪惡
[00:04:33.000 --> 00:04:37.000]  這段聖經裡面告訴我們
[00:04:37.000 --> 00:04:38.000]  我們的耳朵
[00:04:38.000 --> 00:04:39.000]  我們的眼睛
[00:04:39.000 --> 00:04:41.000]  連我們的腳
