
[00:00:00.000 --> 00:00:04.160]  今天我們再思想耶穌在曠野所受的試探
[00:00:04.160 --> 00:00:07.100]  魔鬼帶領耶穌上到一個很高的山
[00:00:07.100 --> 00:00:11.140]  將世上的萬國和萬國的榮華都指給祂看
[00:00:11.140 --> 00:00:12.100]  對祂說:
[00:00:12.100 --> 00:00:16.000]  「你若俯伏拜我,我就把這一切賜給你。」
[00:00:16.000 --> 00:00:18.940]  嘩!得到一切的榮華富貴
[00:00:18.940 --> 00:00:21.940]  帶來的一定是無上的權威
[00:00:21.940 --> 00:00:25.080]  我們來看看耶穌在曠野所受的試探
[00:00:25.080 --> 00:00:27.760]  嘩!得到一切的榮華富貴
[00:00:27.760 --> 00:00:30.320]  帶來的一定是無上的權威
[00:00:30.320 --> 00:00:32.320]  今天世界追求的成功
[00:00:32.320 --> 00:00:35.320]  帶來的是別人的認同和讚許
[00:00:35.320 --> 00:00:36.320]  我們可能覺得
[00:00:36.320 --> 00:00:38.820]  我們自己都不是在追求榮華富貴
[00:00:38.820 --> 00:00:40.820]  但是別人的認同和讚賞
[00:00:40.820 --> 00:00:43.320]  我想我們沒有誰不想要的
[00:00:43.320 --> 00:00:45.320]  一些原本是正確的事
[00:00:45.320 --> 00:00:47.320]  例如做正義的事
[00:00:47.320 --> 00:00:48.820]  行善的事
[00:00:48.820 --> 00:00:49.820]  施捨的事
[00:00:49.820 --> 00:00:51.820]  能夠洞悉時局的事
[00:00:51.820 --> 00:00:54.320]  可能都會成為我們的引誘
[00:00:54.320 --> 00:00:58.320]  因為我們都很希望得到別人的讚賞和認同
[00:00:58.320 --> 00:01:01.320]  我們很想得到很多很多的讚好
[00:01:01.320 --> 00:01:04.320]  又要有很多很多的追隨者跟隨我們
[00:01:04.320 --> 00:01:06.320]  這些不一定是錯的事
[00:01:06.320 --> 00:01:08.820]  問題是我們要坦誠地問自己
[00:01:08.820 --> 00:01:12.320]  在什麼驅使我們要得到這些認同呢?
[00:01:12.320 --> 00:01:15.320]  魔鬼建議耶穌不用走十字架的路
[00:01:15.320 --> 00:01:19.320]  就可以得到世上的萬國和萬國的榮華
[00:01:19.320 --> 00:01:20.320]  條件很簡單
[00:01:20.320 --> 00:01:22.320]  就是要耶穌拜祂
[00:01:22.320 --> 00:01:24.320]  這條成功之路是一條捷徑
[00:01:24.320 --> 00:01:26.320]  不需要受苦和犧牲
[00:01:26.320 --> 00:01:28.320]  但是耶穌不為所動
[00:01:28.320 --> 00:01:31.320]  祂知道權柄從父上帝而來
[00:01:31.320 --> 00:01:33.320]  所以祂對魔鬼說
[00:01:33.320 --> 00:01:34.320]  撒旦退去
[00:01:34.320 --> 00:01:36.320]  因為經上記著
[00:01:36.320 --> 00:01:38.320]  要拜主你的神
[00:01:38.320 --> 00:01:40.320]  唯獨侍奉他
[00:01:40.320 --> 00:01:42.320]  今天我們可能用盡所有辦法
[00:01:42.320 --> 00:01:44.320]  避免受苦和犧牲
[00:01:44.320 --> 00:01:47.320]  但是耶穌親自向我們示範了
[00:01:47.320 --> 00:01:49.320]  勝過試探引誘之路
[00:01:49.320 --> 00:01:51.320]  我們願不願意跟隨耶穌
[00:01:51.320 --> 00:01:52.320]  走一條窄路
[00:01:52.320 --> 00:01:55.320]  並且經歷祂為我們預備的平安呢?
