
[00:00:00.000 --> 00:00:08.000]  我不會解釋今天的講題,好像一個講題一樣,大家明就明
[00:00:08.000 --> 00:00:16.000]  在今天的經文裏面,我們剛才趙孫為我們讀出這段經文的時候
[00:00:16.000 --> 00:00:18.000]  我們發現有兩個人物
[00:00:18.000 --> 00:00:21.000]  第一個人物就是阿彌馬太的約瑟
[00:00:21.000 --> 00:00:28.000]  第二個人物就是之前已經和耶穌討論過人重生的問題
[00:00:28.000 --> 00:00:30.000]  那位尼哥德姆
[00:00:30.000 --> 00:00:34.000]  尼哥德姆我們相對比較熟悉
[00:00:34.000 --> 00:00:38.000]  反而阿彌馬太的約瑟我們較為陌生
[00:00:38.000 --> 00:00:44.000]  今天我們只集中去看阿彌馬太的約瑟這個人物
[00:00:44.000 --> 00:00:49.000]  當中他的經歷作為我們今天要效法的對象
[00:00:49.000 --> 00:00:54.000]  以及當中他的經歷如何成為我們一些鼓勵
[00:00:54.000 --> 00:00:56.000]  好,邀請大家去打開今天的經文
[00:00:56.000 --> 00:00:59.000]  約翰福音的十九章三十八至四十二節
[00:00:59.000 --> 00:01:04.000]  邀請大家打開,也邀請大家再一次去讀一讀這段經文
[00:01:04.000 --> 00:01:08.000]  去代入一下這件事情
[00:01:08.000 --> 00:01:12.000]  你當是親身去見證這個敘事
[00:01:12.000 --> 00:01:14.000]  你是第一身人的時候
[00:01:14.000 --> 00:01:18.000]  你是有些什麼,看到些什麼和有些什麼感受
[00:01:18.000 --> 00:01:22.000]  約翰福音十九章三十八至四十二節
[00:01:24.000 --> 00:01:27.000]  好,打開的第一節目我想邀請你們
[00:01:27.000 --> 00:01:30.000]  你們一路讀,你們嘗試去代入
[00:01:30.000 --> 00:01:33.000]  你就是其中的一個見證人
[00:01:33.000 --> 00:01:35.000]  好,預備,一二三
[00:01:55.000 --> 00:01:57.000]  喪葬的規矩
[00:01:57.000 --> 00:01:59.000]  用細麻布加上香料
[00:01:59.000 --> 00:02:18.000]  喪葬的規矩
[00:02:18.000 --> 00:02:20.000]  用細麻布加上香料
[00:02:25.000 --> 00:02:27.000]  喪葬的規矩
[00:02:27.000 --> 00:02:34.000]  喪葬的規矩
[00:02:34.000 --> 00:02:39.000]  關於亞利馬泰的約瑟這個人物
[00:02:39.000 --> 00:02:43.000]  其實聖經裡面所記載的其實不多
[00:02:43.000 --> 00:02:46.000]  但是在四卷的福音書裡面
[00:02:46.000 --> 00:02:51.000]  其實竟然同時間都有記載這個人物
[00:02:51.000 --> 00:02:54.000]  而且所記載的事件都是關於
[00:02:54.000 --> 00:02:58.000]  他主動向比拉多去求耶穌的身體
[00:02:58.000 --> 00:03:03.000]  這位亞利馬泰的約瑟究竟是一位怎樣的人物呢
[00:03:03.000 --> 00:03:06.000]  綜合四卷福音書的記載
[00:03:06.000 --> 00:03:08.000]  他是一個財主
[00:03:08.000 --> 00:03:10.000]  是一個尊貴的議員
[00:03:10.000 --> 00:03:13.000]  一個盼望神國的人
[00:03:13.000 --> 00:03:16.000]  而且在這個老家福音
