
[00:00:00.000 --> 00:00:04.720]  感謝神帶領我們踏入新的一年
[00:00:04.720 --> 00:00:09.900]  讓我們仍有生命氣息去服侍主
[00:00:09.900 --> 00:00:16.800]  2013年當年的總統奧巴馬
[00:00:16.800 --> 00:00:20.620]  他的民意調查是很低的
[00:00:20.620 --> 00:00:24.000]  因為很多人對他不滿意
[00:00:24.000 --> 00:00:26.220]  其中一件事情
[00:00:26.220 --> 00:00:29.160]  就是他推行健康保險法
[00:00:29.160 --> 00:00:31.400]  就是他推行健康保險法
[00:00:31.400 --> 00:00:34.840]  是 因為當健康保險法的網站接受登記的時候
[00:00:34.840 --> 00:00:38.660]  因為當健康網站的保險法接受登記的時候
[00:00:38.660 --> 00:00:41.000]  其實那個網站還沒有準備好
[00:00:41.000 --> 00:00:42.500]  其實那個網站還沒有準備好
[00:00:42.500 --> 00:00:44.800]  很多人上網登記不了
[00:00:44.800 --> 00:00:46.460]  很多人上網登記不了
[00:00:46.460 --> 00:00:48.740]  有些人舊保險就退了
[00:00:48.740 --> 00:00:50.060]  有的人舊保險已經退了
[00:00:50.060 --> 00:00:52.100]  但新的保險又未能接上
[00:00:52.100 --> 00:00:53.700]  新的保險又還未能接上
[00:00:53.700 --> 00:00:55.960]  所以他們有很多的抱怨
[00:00:55.960 --> 00:00:57.400]  所以他們有很多的抱怨
[00:00:57.400 --> 00:00:59.200]  但有很多的新聞記者說
[00:00:59.200 --> 00:01:00.400]  但是有很多新聞記者說
[00:01:00.400 --> 00:01:01.340]  大家放心啦
[00:01:01.340 --> 00:01:02.200]  大家放心啦
[00:01:02.200 --> 00:01:04.160]  新的一年不會這樣了
[00:01:04.160 --> 00:01:05.400]  新的一年不會這樣
[00:01:05.400 --> 00:01:06.440]  因為最差
[00:01:06.440 --> 00:01:07.040]  因為最差
[00:01:07.040 --> 00:01:08.760]  都不會再差到哪裡去了
[00:01:08.760 --> 00:01:09.800]  都不會差到哪裡去了
[00:01:09.800 --> 00:01:11.400]  因為情況已經去到谷底了
[00:01:11.400 --> 00:01:12.900]  因為情況已經到谷底了
[00:01:12.900 --> 00:01:16.860]  加上開始越來越多人在網上完成了登記
[00:01:16.860 --> 00:01:19.900]  加上越來越多人在網上已經完成了他們的登記
[00:01:19.900 --> 00:01:21.360]  網站修理
[00:01:21.360 --> 00:01:22.200]  網站的修理
[00:01:22.200 --> 00:01:23.760]  也差不多修理完成了
[00:01:23.760 --> 00:01:25.000]  也差不多修理完了
[00:01:25.000 --> 00:01:26.840]  其實上網登記
[00:01:26.840 --> 00:01:28.040]  其實上網登記
[00:01:28.040 --> 00:01:30.600]  有關的官員一再的強調
[00:01:30.600 --> 00:01:32.560]  有關的官員一再強調
[00:01:32.560 --> 00:01:34.400]  不是那麼容易的
[00:01:34.400 --> 00:01:37.500]  如果你對網上的操作不熟悉
[00:01:37.500 --> 00:01:39.900]  如果你對網上的操作不熟悉的話
[00:01:39.900 --> 00:01:41.700]  是需要花一點時間的
[00:01:41.700 --> 00:01:43.240]  是需要花一點時間的
[00:01:43.240 --> 00:01:44.560]  不是很出奇
[00:01:44.560 --> 00:01:45.540]  不是很奇怪的
[00:01:45.540 --> 00:01:48.940]  跟著奧巴馬的滿意程度就開始好一點了
[00:01:48.940 --> 00:01:51.240]  然後奧巴馬的滿意程度就開始好一點
[00:01:51.240 --> 00:01:52.940]  因為大家登記完成了
[00:01:52.940 --> 00:01:54.140]  因為大家都登記完成了
[00:01:54.140 --> 00:01:55.640]  而健保的好處
[00:01:55.640 --> 00:01:57.940]  一路出現它的好處
[00:01:57.940 --> 00:02:00.560]  而健保的好處一路出現它的好處
[00:02:00.560 --> 00:02:02.760]  這個反對聲音就越來越少
[00:02:02.760 --> 00:02:04.500]  這個反對的聲音就越來越少了
[00:02:04.500 --> 00:02:06.400]  其實美國的人民
[00:02:06.400 --> 00:02:07.660]  其實美國的人民
[00:02:07.660 --> 00:02:09.500]  對這個健保法的態度
[00:02:09.500 --> 00:02:11.160]  對這個健保法的態度
[00:02:11.160 --> 00:02:12.500]  沒有很特別的期待
[00:02:12.500 --> 00:02:13.800]  沒有很特別的期待
[00:02:13.800 --> 00:02:15.760]  一般人對一些新的事物
[00:02:15.760 --> 00:02:17.400]  一般人對一些新的事物
[00:02:17.400 --> 00:02:18.440]  其實都是這樣的
[00:02:18.440 --> 00:02:19.200]  都是這個樣子
[00:02:19.200 --> 00:02:21.500]  一般採取什麼樣的態度呢?
[00:02:21.500 --> 00:02:22.940]  一般是採取什麼樣的態度呢?
[00:02:22.940 --> 00:02:25.040]  最好就是付上的代價少
[00:02:25.040 --> 00:02:26.640]  最好就是付上的代價少
[00:02:26.640 --> 00:02:28.800]  得到的好處要多
[00:02:28.800 --> 00:02:30.260]  得到的好處要多
[00:02:30.260 --> 00:02:31.600]  我們都是這樣的情況
[00:02:31.600 --> 00:02:32.900]  我們也是這樣的情況
[00:02:32.900 --> 00:02:35.140]  因為通常我們都沒有耐性去等
[00:02:35.140 --> 00:02:37.500]  因為通常我們都沒有耐性去等
[00:02:37.500 --> 00:02:39.900]  如果一開始要付代價高
[00:02:39.900 --> 00:02:41.560]  如果一開始要付代價高
[00:02:41.560 --> 00:02:43.200]  或者得的代價太少
[00:02:43.200 --> 00:02:44.600]  或者得的代價太少
[00:02:44.600 --> 00:02:46.100]  我們就會開始抱怨
[00:02:46.100 --> 00:02:47.560]  我們就會開始抱怨
[00:02:47.560 --> 00:02:49.100]  然後就想放棄
[00:02:49.100 --> 00:02:50.300]  然後就想放棄
[00:02:50.300 --> 00:02:51.800]  我們就說
[00:02:51.800 --> 00:02:53.940]  你這樣不好,那樣不好
[00:02:53.940 --> 00:02:56.460]  我們就會說這樣不好,那樣也不好
[00:02:56.460 --> 00:02:58.500]  其實很多人信耶穌都是這樣的
[00:02:58.500 --> 00:03:00.540]  其實很多人相信耶穌也是這個樣子
[00:03:00.540 --> 00:03:03.100]  都是帶著這樣的態度去信耶穌
[00:03:03.100 --> 00:03:04.900]  也是帶著這樣的態度去信耶穌
[00:03:04.900 --> 00:03:07.060]  對信仰也是抱著這樣的態度
