
[00:00:00.000 --> 00:00:03.700]  移民到外的國度
[00:00:03.700 --> 00:00:05.860]  我想我們當中
[00:00:05.860 --> 00:00:08.840]  有沒有誰在這裏出生的?
[00:00:08.840 --> 00:00:14.780]  有一個
[00:00:14.780 --> 00:00:18.820]  我們大部分的人都是
[00:00:18.820 --> 00:00:21.100]  來到這個國家
[00:00:21.100 --> 00:00:23.100]  要麼是讀書
[00:00:23.100 --> 00:00:26.120]  要麼就是移民來
[00:00:26.120 --> 00:00:27.740]  就算是讀書的
[00:00:27.740 --> 00:00:31.160]  可能遲早都會成爲美國的公民
[00:00:31.160 --> 00:00:33.160]  會不會呢?
[00:00:33.160 --> 00:00:35.560]  不會的 有些人
[00:00:35.560 --> 00:00:37.560]  我根本不想留在這裏
[00:00:37.560 --> 00:00:39.560]  這樣的國家 是不是?
[00:00:39.560 --> 00:00:42.620]  但是在我那一代
[00:00:42.620 --> 00:00:45.220]  我是1969年來美國的
[00:00:45.220 --> 00:00:47.220]  那時候是來讀書的
[00:00:47.220 --> 00:00:49.920]  但後來都決定要留在美國
[00:00:49.920 --> 00:00:51.920]  因爲呢
[00:00:51.920 --> 00:00:53.920]  發覺
[00:00:53.920 --> 00:00:56.460]  在全世界這麼多國家裏
[00:00:56.460 --> 00:00:58.460]  美國還是比較好一些
[00:00:58.460 --> 00:01:01.700]  但是有些人迷信
[00:01:01.700 --> 00:01:03.700]  美國就是天堂
[00:01:03.700 --> 00:01:05.700]  你會不會這樣迷信呢?
[00:01:05.700 --> 00:01:10.240]  所以有很多人用盡各種方法
[00:01:10.240 --> 00:01:13.580]  要移民來到這個天堂
[00:01:13.580 --> 00:01:17.160]  今天早上呢
[00:01:17.160 --> 00:01:19.160]  就是想和大家一起
[00:01:19.160 --> 00:01:22.000]  來想一想
[00:01:23.420 --> 00:01:27.460]  其實人生在世
[00:01:27.460 --> 00:01:29.940]  我們都希望
[00:01:29.940 --> 00:01:32.620]  在一個國度裏面
[00:01:32.620 --> 00:01:34.040]  我們真的可以說
[00:01:34.040 --> 00:01:36.040]  這個就是我想要的
[00:01:36.040 --> 00:01:38.040]  家 是不是?
[00:01:38.040 --> 00:01:40.840]  就算很多人移民來美國
[00:01:40.840 --> 00:01:44.180]  他遲早都會發覺美國不是天堂
[00:01:44.180 --> 00:01:48.600]  所以很多人來到美國之後
[00:01:48.600 --> 00:01:50.600]  找到另外一個國度
[00:01:50.600 --> 00:01:52.600]  這個就是神的國度
[00:01:52.960 --> 00:01:54.500]  所以呢
[00:01:54.500 --> 00:01:57.240]  而他發覺這個國度呢
[00:01:57.240 --> 00:02:01.180]  是一個和世上任何一個國家不同的
[00:02:01.180 --> 00:02:03.180]  是一個愛的國度
[00:02:03.180 --> 00:02:05.940]  其實很多人來到美國之後呢
[00:02:05.940 --> 00:02:08.860]  他都移民來到這個愛的國度
[00:02:08.860 --> 00:02:10.360]  來到這裏信了耶穌
[00:02:10.360 --> 00:02:12.360]  認識了耶穌基督
[00:02:12.360 --> 00:02:17.540]  明白人生最終的目的
[00:02:17.540 --> 00:02:20.980]  就是追求一種愛
[00:02:20.980 --> 00:02:24.780]  一種真正無緣無故的愛
[00:02:24.780 --> 00:02:26.780]  一種無條件的愛
[00:02:26.780 --> 00:02:28.780]  而這個愛可以成爲一個國度
[00:02:28.780 --> 00:02:31.900]  就好像在教會里
[00:02:31.900 --> 00:02:33.900]  教會其實是一個愛的國度
[00:02:33.900 --> 00:02:36.820]  一個彰顯
[00:02:36.820 --> 00:02:38.820]  一個延伸
[00:02:38.820 --> 00:02:40.040]  所以你們很重要的
[00:02:40.040 --> 00:02:42.040]  每個禮拜來到這裏敬拜神
[00:02:42.040 --> 00:02:45.380]  是要在教會里面去經歷
[00:02:45.380 --> 00:02:47.380]  這個愛的國度
[00:02:47.380 --> 00:02:50.460]  這是我們人生終極的國度
[00:02:50.460 --> 00:02:52.460]  我們一起來讀
[00:02:52.460 --> 00:03:00.580]  哥羅西書第一章
[00:03:00.580 --> 00:03:02.580]  十二到十四節
[00:03:02.580 --> 00:03:04.580]  我們一起來讀
[00:03:04.580 --> 00:03:06.580]  由感謝父
[00:03:06.580 --> 00:03:08.580]  叫我們能與衆聖徒
[00:03:08.580 --> 00:03:11.860]  在光明中同得基業
[00:03:11.860 --> 00:03:16.100]  祂救了我們脫離黑暗的權勢
[00:03:16.100 --> 00:03:20.100]  把我們遷到祂愛子的國度
[00:03:20.100 --> 00:03:24.220]  我們在愛子裏得蒙救贖
[00:03:24.220 --> 00:03:27.220]  罪過得以赦免
[00:03:27.220 --> 00:03:30.220]  我們在這三節聖經裏
[00:03:30.220 --> 00:03:32.220]  看到這裏說
[00:03:32.220 --> 00:03:35.100]  我們就是一羣基督徒
[00:03:35.100 --> 00:03:37.100]  如果今天你已經信了耶穌
