
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的周六純拜
[00:00:03.000 --> 00:00:08.000]  今年五月我們開始了一個新的講道系列
[00:00:08.000 --> 00:00:12.000]  耶和華的十誡 耶穌基督的十誡
[00:00:12.000 --> 00:00:19.000]  經過了五篇有關律法典章的誡命的概論
[00:00:19.000 --> 00:00:22.000]  我們終於做夠熱身運動
[00:00:22.000 --> 00:00:27.000]  今天可以正式開始研讀耶和華的誡命
[00:00:27.000 --> 00:00:30.000]  聖經中的十誡究竟是哪十誡
[00:00:30.000 --> 00:00:35.000]  開始的時候有一組關於上帝的三胞胎
[00:00:35.000 --> 00:00:40.000]  別無他神 別無他象 別無他名
[00:00:40.000 --> 00:00:44.000]  接著有兩個正面的誡命
[00:00:44.000 --> 00:00:48.000]  當紀念安息日 當孝敬父母
[00:00:48.000 --> 00:00:52.000]  接著再有一組是關於淪寫的三胞胎
[00:00:52.000 --> 00:00:55.000]  不可殺人 不可姦人 不可偷渡
[00:00:55.000 --> 00:01:00.000]  最後再加兩個獨特的負面誡命
[00:01:00.000 --> 00:01:04.000]  不可作假正公 不可貪婪
[00:01:04.000 --> 00:01:08.000]  正如當年以色列人出了埃及之後
[00:01:08.000 --> 00:01:11.000]  在西乃山下領受十誡
[00:01:11.000 --> 00:01:16.000]  又紮營一年 為了要好好認識上帝
[00:01:16.000 --> 00:01:19.000]  耶和華 耶和華的十誡
[00:01:19.000 --> 00:01:22.000]  今天我們一樣要花上一年的時間
[00:01:22.000 --> 00:01:25.000]  去深思耶和華的十言
[00:01:25.000 --> 00:01:28.000]  The ten words of the Lord
[00:01:28.000 --> 00:01:30.000]  出埃及記的十誡
[00:01:30.000 --> 00:01:35.000]  是我們今年明年集中思想的主題
[00:01:35.000 --> 00:01:38.000]  不過一說起出埃及記
[00:01:38.000 --> 00:01:42.000]  我們就必須要問 必須要再追問
[00:01:42.000 --> 00:01:46.000]  究竟我們說的是哪一個出埃及記
[00:01:46.000 --> 00:01:48.000]  原來在我們本聖經裡面
[00:01:48.000 --> 00:01:51.000]  共有兩個出埃及記
[00:01:51.000 --> 00:01:53.000]  一個發生在舊約裡面
[00:01:53.000 --> 00:01:55.000]  一個發生在新約裡面
[00:01:55.000 --> 00:01:57.000]  一個是摩西做主角
[00:01:57.000 --> 00:02:00.000]  另一個是耶穌做主角
[00:02:00.000 --> 00:02:03.000]  一個講的是逾越的羔羊
[00:02:03.000 --> 00:02:07.000]  另一個講的是上帝羔羊的故事
[00:02:07.000 --> 00:02:10.000]  一個是影子 另一個是實體
[00:02:10.000 --> 00:02:14.000]  一個是御表 另一個是承傳
[00:02:14.000 --> 00:02:18.000]  於是當我們去思想十誡的時候
[00:02:18.000 --> 00:02:20.000]  我們必須要考慮到
[00:02:20.000 --> 00:02:24.000]  原來有兩個不同的出埃及記
[00:02:24.000 --> 00:02:28.000]  因此我設計了一個誡命三部曲
[00:02:28.000 --> 00:02:31.000]  去幫助我們清楚明白
