
[00:00:00.000 --> 00:00:00.840]  的信息
[00:00:00.840 --> 00:00:03.460]  就是講到做人的事
[00:00:03.460 --> 00:00:05.140]  還是做神的事呢?
[00:00:05.140 --> 00:00:07.980]  很想在講到之前
[00:00:07.980 --> 00:00:10.460]  我們一起看一段視頻
[00:00:10.460 --> 00:00:11.420]  那就是
[00:00:11.420 --> 00:00:15.300]  馬英九和周美清
[00:00:15.300 --> 00:00:16.460]  他老婆周美清
[00:00:16.460 --> 00:00:19.700]  在今年520的總統就職典禮裡面
[00:00:19.700 --> 00:00:21.940]  發生一段小插曲
[00:00:21.940 --> 00:00:23.420]  究竟發生了什麼事情呢?
[00:00:23.420 --> 00:00:25.340]  很想透過一段視頻
[00:00:25.340 --> 00:00:27.620]  給大家來看看
[00:00:27.620 --> 00:00:32.920]  (音樂)
[00:00:32.920 --> 00:00:34.420]  要有聲音喔
[00:00:34.420 --> 00:00:35.920]  最重要就是那條聲音
[00:00:35.920 --> 00:00:38.620]  (音樂)
[00:00:38.620 --> 00:00:39.120]  欸?
[00:00:39.120 --> 00:00:39.820]  再聽一下
[00:00:39.820 --> 00:00:46.220]  (音樂)
[00:00:46.220 --> 00:00:48.620]  馬夫人變臉的速度真的快了
[00:00:48.620 --> 00:00:50.020]  一見閃光燈
[00:00:50.020 --> 00:00:51.420]  馬上不再臉黑
[00:00:51.420 --> 00:00:53.220]  小馬哥都沒有你俘虜
[00:00:53.220 --> 00:00:54.920]  (音樂)
[00:00:54.920 --> 00:00:56.420]  再播多一次
[00:00:56.420 --> 00:01:02.120]  (音樂)
[00:01:02.120 --> 00:01:04.420]  馬夫人變臉的速度真的快了
[00:01:04.420 --> 00:01:05.820]  一見閃光燈
[00:01:05.820 --> 00:01:07.220]  馬上不再臉黑
[00:01:07.220 --> 00:01:09.220]  小馬哥都沒有你俘虜
[00:01:09.220 --> 00:01:10.520]  OK,好,可以了
[00:01:10.520 --> 00:01:12.520]  繼續看下去
[00:01:12.520 --> 00:01:14.020]  今天不用講了
[00:01:14.020 --> 00:01:17.220]  好,大家剛剛也看到發生了什麼事情
[00:01:17.220 --> 00:01:19.020]  其實我簡單講一點前面
[00:01:19.020 --> 00:01:20.320]  就是因為
[00:01:20.320 --> 00:01:22.620]  馬英九去到總統府的時候
[00:01:22.620 --> 00:01:23.420]  自己下車
[00:01:23.420 --> 00:01:24.720]  然後自己走了過去
[00:01:24.720 --> 00:01:27.920]  所以剛剛周美清和小馬哥
[00:01:27.920 --> 00:01:29.420]  中間有這樣的互動
[00:01:29.420 --> 00:01:31.020]  大家可不可以和你旁邊的那個
[00:01:31.020 --> 00:01:32.920]  用半分鐘來分享一件事
[00:01:32.920 --> 00:01:34.720]  就是當你看到這個片段
[00:01:34.720 --> 00:01:36.920]  看到他們兩個人之間的互動的時候
[00:01:36.920 --> 00:01:38.420]  你有什麼感覺
[00:01:38.420 --> 00:01:40.920]  可不可以大家用半分鐘時間去講一下
[00:01:40.920 --> 00:01:42.520]  半分鐘
[00:01:42.520 --> 00:01:45.420]  就是...
[00:01:45.420 --> 00:01:47.420]  有沒有什麼感覺呢?
[00:01:47.420 --> 00:01:49.620]  他們之間的互動
[00:01:49.620 --> 00:01:51.020]  他們之間的互動
[00:01:51.020 --> 00:01:53.020]  (是正常的互動)
[00:01:53.720 --> 00:01:58.920]  (因為我覺得是很真實的)
[00:01:58.920 --> 00:02:00.320]  (是很真實的)
