
[00:00:00.000 --> 00:00:06.000]  今天我們的拆船年會 我跟大家分享陸家福音這段的經文
[00:00:06.000 --> 00:00:13.300]  我們今年的拆船年會的年題也就是做主門徒活出使命
[00:00:13.300 --> 00:00:16.000]  這也是我講到的題目
[00:00:16.000 --> 00:00:18.800]  我首先想問大家一個問題
[00:00:18.800 --> 00:00:23.300]  如果有兩個人他們宣稱他們是兩父子
[00:00:23.300 --> 00:00:29.600]  那你會用什麼方法來驗證他們這個關係到底是真的
[00:00:29.600 --> 00:00:30.900]  還是假的呢
[00:00:30.900 --> 00:00:33.600]  你會用什麼方法呢
[00:00:33.600 --> 00:00:40.400]  你會不會就先看一下他們的樣子長得像不像
[00:00:40.400 --> 00:00:42.200]  兩個人都是臉圓圓的
[00:00:42.200 --> 00:00:45.200]  那要可能真的是父子
[00:00:45.200 --> 00:00:49.500]  也許你也會看一下他們的性格像不像
[00:00:49.500 --> 00:00:54.400]  要不然就再請他拿出孩子的出生證明
[00:00:54.400 --> 00:00:57.600]  看看那個父親的名字是不是這個人
[00:00:57.600 --> 00:01:00.600]  覈實一下他們的出生證明
[00:01:00.600 --> 00:01:04.700]  那我想這個可能是最準確的
[00:01:04.700 --> 00:01:08.200]  就是請他們去驗一下這個DNA
[00:01:08.200 --> 00:01:10.500]  做一個親子的鑑定
[00:01:10.500 --> 00:01:18.100]  那我想如果他們驗出來的那個孩子和被測試的父親的DNA模式完全吻合的話
[00:01:18.100 --> 00:01:24.500]  那我們幾乎可以100%證明他們真的是兩父子
[00:01:24.500 --> 00:01:29.000]  那同樣的我們基督徒我們說我們是跟隨耶穌的
[00:01:29.000 --> 00:01:34.500]  那我們又如何證明我們是耶穌的門徒呢
[00:01:34.500 --> 00:01:39.800]  是不是因爲我每個星期我會參與崇拜就是基督徒
[00:01:39.800 --> 00:01:42.800]  或者是我有參加教會的侍奉了
[00:01:42.800 --> 00:01:44.500]  我已經受了洗
[00:01:44.500 --> 00:01:46.500]  我還有給教會奉獻
[00:01:46.500 --> 00:01:50.300]  那就證明我是基督的門徒是不是這樣呢
[00:01:50.300 --> 00:01:58.000]  那今天我就希望透過路加福音的這段經文和大家一起探討這個問題
[00:01:58.000 --> 00:02:03.700]  那剛纔邊峯給我們念出的這段經文大概記載了五件事情
[00:02:03.700 --> 00:02:08.400]  第一個就是耶穌問他的門徒他到底是誰
[00:02:08.400 --> 00:02:15.900]  第二就是耶穌首次向門徒預言他自己要受難而復活
[00:02:15.900 --> 00:02:19.500]  第三個就是耶穌告訴他的門徒
[00:02:19.500 --> 00:02:23.000]  跟隨他的人有什麼特質
[00:02:23.000 --> 00:02:25.600]  他對跟隨他的人有什麼要求
[00:02:25.600 --> 00:02:28.700]  第四就是登山變相的過程
[00:02:28.700 --> 00:02:33.000]  最後就是他們下山了回到人羣當中
[00:02:33.000 --> 00:02:39.700]  那在這幾件事件的裏面我想主要跟大家分享三個重點
[00:02:39.700 --> 00:02:42.700]  一個就是耶穌的身份和使命
[00:02:42.700 --> 00:02:45.900]  第二是基督跟隨者的特質和使命
[00:02:45.900 --> 00:02:49.300]  最後就是如何來實踐使命
[00:02:49.300 --> 00:02:53.900]  我們現在仔細地來看一下
[00:02:53.900 --> 00:02:57.100]  那耶穌他首先就問門徒
[00:02:57.100 --> 00:03:01.000]  那些人 別的人說我到底是誰
[00:03:01.000 --> 00:03:02.400]  那門徒就說了
[00:03:02.400 --> 00:03:05.200]  有人說你是施洗的約翰
[00:03:05.200 --> 00:03:07.200]  有人說你是以利
[00:03:07.200 --> 00:03:11.200]  還有人說你是古時的一位先知復活了
[00:03:11.200 --> 00:03:15.900]  那我們也知道施洗約翰是耶穌的先驅
[00:03:15.900 --> 00:03:18.800]  在耶穌出來傳道之前
[00:03:18.800 --> 00:03:21.100]  施洗約翰爲他預備道路
[00:03:21.100 --> 00:03:24.100]  向人傳講悔改的道
[00:03:24.100 --> 00:03:28.400]  耶穌出道之後也是造罪人來悔改
[00:03:28.400 --> 00:03:35.000]  所以說施洗約翰和耶穌所做的施工有很多方面的類似
[00:03:35.000 --> 00:03:36.100]  那以利亞呢
[00:03:36.100 --> 00:03:39.600]  以利亞是舊約一位偉大的先知之一
[00:03:39.600 --> 00:03:43.700]  他沒有經過死亡就被上帝接回去了
[00:03:43.700 --> 00:03:47.100]  在舊約最後一卷出曾經提到
[00:03:47.100 --> 00:03:52.000]  看啊在耶和華大耳口味的異主來到底先
[00:03:52.000 --> 00:03:55.900]  我必拆派以利亞先知到你們那裏去
[00:03:55.900 --> 00:03:56.400]  所以呢
[00:03:56.400 --> 00:04:03.400]  有人就以爲耶穌就是末世中要出現的那位先知
[00:04:03.400 --> 00:04:09.700]  還有的人就以爲耶穌就是古時候其中一位先知復活了吧
[00:04:09.700 --> 00:04:13.500]  那無論是施洗約翰還是以利亞
[00:04:13.500 --> 00:04:16.300]  或者是先知中的其中一位
