
[00:00:00.000 --> 00:00:02.080]  相信大家最近來到教會
[00:00:02.080 --> 00:00:07.200]  一定會瞧着我們的生命和壁畫多看幾眼
[00:00:07.200 --> 00:00:10.680]  我想肯定不是因爲這個壁畫很好看
[00:00:10.680 --> 00:00:12.800]  因爲你在那個照片裏面
[00:00:12.800 --> 00:00:14.360]  所以你纔多看幾眼
[00:00:14.360 --> 00:00:17.400]  事實上我這幾天
[00:00:17.400 --> 00:00:20.560]  真的常常在教會上班的時候
[00:00:20.560 --> 00:00:22.160]  就走到壁畫前面
[00:00:22.160 --> 00:00:25.440]  看着這個牆壁上面一張一張的照片
[00:00:25.440 --> 00:00:28.040]  就心中覺得非常感恩
[00:00:28.040 --> 00:00:31.080]  因爲這真是一個非常美好
[00:00:31.080 --> 00:00:35.520]  非常充滿神恩典和同在的一個大家庭
[00:00:35.520 --> 00:00:38.320]  那但願生命和的這個活水
[00:00:38.320 --> 00:00:41.920]  可以不斷地永留到世世代代
[00:00:41.920 --> 00:00:43.800]  那我在這段時間也在思想說
[00:00:43.800 --> 00:00:49.000]  到底什麼是生命和最寶貝的一個禮物
[00:00:49.000 --> 00:00:50.800]  如果是一個要傳承的事情
[00:00:50.800 --> 00:00:54.520]  什麼是生命和最寶貴的最寶貝的禮物
[00:00:54.520 --> 00:00:56.200]  結果我最近在讀到一集經文
[00:00:56.200 --> 00:00:57.600]  我覺得非常的觸動我
[00:00:57.600 --> 00:01:00.000]  也讓我覺得似乎這
[00:01:00.000 --> 00:01:05.880]  就是生命和的一個傳承的寶貴的一個禮物
[00:01:05.880 --> 00:01:08.640]  那這個經文事實上是在描述
[00:01:08.640 --> 00:01:13.560]  一個歷經40年的一個建殿的計劃
[00:01:13.560 --> 00:01:19.280]  然後它最後的一個形容
[00:01:19.280 --> 00:01:23.240]  那世界上最著名的建殿地畫
[00:01:23.240 --> 00:01:28.920]  莫過於大魏王和索羅曼王父子犧牲的建殿計劃
[00:01:28.920 --> 00:01:31.080]  我們知道大魏王他非常的渴慕
[00:01:31.080 --> 00:01:33.920]  要能夠來爲上帝建一個聖殿
[00:01:33.920 --> 00:01:39.080]  可是因爲神說你的雙手打仗沾滿太多鮮血
