
[00:00:00.000 --> 00:00:01.640]  各位領主平安
[00:00:01.640 --> 00:00:06.260]  我們一起思想到聖經尼希米的訊息
[00:00:06.260 --> 00:00:08.400]  大家在一起我們再同心祈禱
[00:00:08.400 --> 00:00:16.980]  天父我們感謝祢
[00:00:16.980 --> 00:00:19.620]  我們今天一切所有的
[00:00:19.620 --> 00:00:22.080]  全屬於祢
[00:00:22.080 --> 00:00:25.180]  因為原本是祢所做
[00:00:25.180 --> 00:00:26.680]  是祢所賜
[00:00:27.700 --> 00:00:31.100]  主我們很願意將生命擺在祢的手中
[00:00:31.100 --> 00:00:33.500]  渴望能夠可以
[00:00:33.500 --> 00:00:35.800]  行在祢自己的路上
[00:00:35.800 --> 00:00:38.160]  主祢在地上
[00:00:38.160 --> 00:00:39.960]  祢喜愛公義
[00:00:39.960 --> 00:00:41.760]  祢恆護罪惡
[00:00:41.760 --> 00:00:45.700]  主祢也都差派我們去到不同的地方
[00:00:45.700 --> 00:00:47.800]  可以將祢自己的
[00:00:47.800 --> 00:00:50.960]  慈愛公義能夠活出來
[00:00:50.960 --> 00:00:54.380]  也都渴望祢自己在我們生命當中
[00:00:54.380 --> 00:00:56.680]  上上的引導我們
[00:00:56.960 --> 00:00:59.460]  知道祢對我們的旨意
[00:00:59.460 --> 00:01:01.580]  在日常的生活
[00:01:01.580 --> 00:01:05.100]  也都在我們生命的方向上面
[00:01:05.100 --> 00:01:08.420]  我們更加知道按照祢自己的旨意
[00:01:08.420 --> 00:01:09.920]  祢都行出來
[00:01:09.920 --> 00:01:13.280]  以致我們能夠可以真是靠著祢
[00:01:13.280 --> 00:01:15.280]  結滿生命的果子
[00:01:15.280 --> 00:01:17.680]  是能夠榮耀祢
[00:01:17.680 --> 00:01:19.340]  也都叫我們能夠得著
[00:01:19.340 --> 00:01:22.340]  祢要給我們真正生命的豐盛
[00:01:22.340 --> 00:01:25.680]  主今次我們再一次來到在祢的面前
[00:01:25.680 --> 00:01:28.540]  我們渴慕奉獻自己
[00:01:28.540 --> 00:01:31.480]  也都渴望祢自己的恩賢
[00:01:31.480 --> 00:01:33.240]  淋到我們心中
[00:01:33.240 --> 00:01:35.400]  引導我們在這個世界
[00:01:35.400 --> 00:01:36.580]  這個時代
[00:01:36.580 --> 00:01:38.400]  也都去侍奉祢
[00:01:38.400 --> 00:01:39.680]  去見證祢
[00:01:39.680 --> 00:01:42.540]  求祢引導我們的心思
[00:01:42.540 --> 00:01:44.260]  又指教我們
[00:01:44.260 --> 00:01:46.160]  我們仰望祈禱
[00:01:46.160 --> 00:01:48.260]  奉耶穌基督的聖名求我們
[00:01:48.260 --> 00:01:49.260]  阿們
[00:01:51.760 --> 00:01:55.980]  請大家檢翻剛才讀過的《尼西米記》第二章
[00:01:55.980 --> 00:01:57.740]  我們今天除了看第二章之外
[00:01:57.740 --> 00:02:00.920]  都會看一些前後的經文
[00:02:00.920 --> 00:02:07.560]  大家會記得當主耶穌復活了之後
[00:02:07.560 --> 00:02:10.560]  祂首先做的事情
[00:02:10.560 --> 00:02:12.560]  就是向門徒顯現
[00:02:12.560 --> 00:02:17.820]  當時門徒在一個封閉了的房屋裡面
[00:02:17.820 --> 00:02:20.480]  耶穌向他們顯現的時候
[00:02:20.480 --> 00:02:22.480]  第一句話就說
[00:02:22.480 --> 00:02:24.480]  「願你們平安」
[00:02:24.480 --> 00:02:28.940]  復活的主帶給人第一個重要的訊息
[00:02:28.940 --> 00:02:32.300]  就是「神將平安賜給人」
[00:02:32.300 --> 00:02:34.540]  然後講完之後
[00:02:34.540 --> 00:02:36.540]  主耶穌接著就說
[00:02:36.540 --> 00:02:39.080]  「父怎樣差遣了我
[00:02:39.080 --> 00:02:42.400]  我也照樣差遣你們」
[00:02:42.400 --> 00:02:47.000]  因為父差遣主耶穌來到我們中間
[00:02:47.000 --> 00:02:48.600]  我們領受了救恩
[00:02:48.600 --> 00:02:51.280]  你和我生命不再一樣
[00:02:51.280 --> 00:02:54.160]  但是神為了承傳
[00:02:54.160 --> 00:02:57.440]  或者說完全了祂對我們的拯救
[00:02:57.440 --> 00:03:00.800]  是同樣將差遣賜給我們
[00:03:00.800 --> 00:03:03.640]  差遣我們去到世上不同的崗位
[00:03:03.640 --> 00:03:05.640]  作祂的見證
[00:03:05.640 --> 00:03:08.760]  因此基督徒一方面領受了恩典
[00:03:08.760 --> 00:03:13.520]  另外領受了成為恩典管道的恩典
[00:03:14.720 --> 00:03:19.560]  因此你會發覺你和我是有差遣在身的
[00:03:19.560 --> 00:03:22.240]  我們是一個被差遣的人
[00:03:22.240 --> 00:03:26.560]  去到不同的崗位作主的見證
[00:03:26.560 --> 00:03:30.240]  因此當我們上聖經講述到神的恩惠的時候
[00:03:30.240 --> 00:03:34.520]  必然是包括了神給我們所領受的
[00:03:34.520 --> 00:03:39.040]  和神透過我們所施予出去的
[00:03:39.040 --> 00:03:43.280]  因此當我們想到心中的負擔的時候
[00:03:43.280 --> 00:03:47.200]  你會發覺神很多時候透過這一種方式
[00:03:47.200 --> 00:03:51.920]  叫我們能夠成為賜恩的管道
[00:03:51.920 --> 00:03:55.080]  很多時候神將一些人的需要
[00:03:55.080 --> 00:03:58.680]  或者某一些事的需要放在我們心裏面
[00:03:58.680 --> 00:04:01.040]  成為了我們裏面的負擔
[00:04:01.040 --> 00:04:04.160]  或者說一種長久的感動
[00:04:04.160 --> 00:04:07.720]  而何時當我們去回應這一種的感動
[00:04:07.720 --> 00:04:10.800]  或者說神的呼召
[00:04:10.800 --> 00:04:14.840]  就察覺到在過程當中我們更加認識神
[00:04:14.840 --> 00:04:19.040]  也在完成神所給我們的感動之餘
[00:04:19.040 --> 00:04:24.160]  我們領受一份更大的內心的滿足
[00:04:24.160 --> 00:04:26.760]  當我們一路讀到《尼西米記》的時候
[00:04:26.760 --> 00:04:29.120]  我們其中特別留心的就是
[00:04:29.120 --> 00:04:33.120]  神如何將負擔放在尼西米的身上
[00:04:33.120 --> 00:04:35.800]  而尼西米亦如何依靠主
[00:04:35.800 --> 00:04:41.680]  來承傳神對她的旨意 而經歷神 而認識神
[00:04:41.680 --> 00:04:44.440]  剛才我們大家讀過《尼西米記》第二章
[00:04:44.440 --> 00:04:46.360]  之前第一章有一些背景
[00:04:46.360 --> 00:04:48.800]  我們首先一起看一看
[00:04:48.800 --> 00:04:50.240]  你會察覺到聖經講到
[00:04:50.240 --> 00:04:53.240]  尼西米領受了神給她的意象
[00:04:53.240 --> 00:04:57.200]  亦都在神的面前因此來禱告
[00:04:57.200 --> 00:04:59.000]  在聖經裏面第一章
[00:04:59.000 --> 00:05:01.800]  你會見到當時聖經提到就是
[00:05:01.800 --> 00:05:06.320]  尼西米在波斯王朝裏面做一個重要的官員
[00:05:06.320 --> 00:05:08.800]  她是做王的酒證
[00:05:08.800 --> 00:05:10.840]  當時她本身是猶大人
[00:05:10.840 --> 00:05:15.680]  但她在一個外邦的國家 身高要直
[00:05:15.680 --> 00:05:19.840]  雖然是這樣 但她沒有忘記自己同胞的需要
[00:05:19.840 --> 00:05:25.000]  亦都不會輕視他們現今所經歷的困難
[00:05:25.000 --> 00:05:29.600]  就著我們現在生活上一般的了解
[00:05:29.600 --> 00:05:33.160]  一個人所謂已經上了岸
[00:05:33.160 --> 00:05:38.680]  她已經有很多的身份地位財富
[00:05:38.680 --> 00:05:43.720]  大概她未必需要去怎樣關心她以前的一些同胞
[00:05:43.720 --> 00:05:46.240]  但對於尼西米來說
[00:05:46.240 --> 00:05:49.880]  她仍然很深刻地關切她自己的同胞
[00:05:49.880 --> 00:05:52.680]  所以大家會記得就是當猶大城
[00:05:52.680 --> 00:05:55.120]  有自己的弟兄來到書山城
[00:05:55.120 --> 00:05:57.560]  就是尼西米所在的地方的時候
[00:05:57.560 --> 00:06:02.880]  她很主動地去查問究竟自己的同胞怎樣
[00:06:02.880 --> 00:06:05.080]  所以你看到第一章第三節
