
[00:00:00.000 --> 00:00:02.960]  邀請大家做一次低頭祈禱
[00:00:02.960 --> 00:00:06.600]  親主感謝祢
[00:00:06.600 --> 00:00:10.080]  是祢的吸引 是祢的呼喚
[00:00:10.080 --> 00:00:13.120]  讓我們有機會在聖主的清晨
[00:00:13.120 --> 00:00:16.100]  一起聚集在聖殿裏面敬拜
[00:00:16.100 --> 00:00:19.520]  祢最多謝 因為我們知道這不是必然的事情
[00:00:19.520 --> 00:00:21.180]  感謝祢的恩典
[00:00:21.180 --> 00:00:23.420]  我們懇求聖靈時刻與我們同在
[00:00:23.420 --> 00:00:27.160]  特別讓你設下聖靈所設的悟性
[00:00:27.160 --> 00:00:30.200]  以便我們能夠明白你懷疑中的奧秘
[00:00:30.200 --> 00:00:34.440]  亦都要求你 個別的為我們預備你的靈量
[00:00:34.440 --> 00:00:36.440]  讓我們得著飽足
[00:00:36.440 --> 00:00:39.780]  永遠聽的和講的都同夢你的月能
[00:00:39.780 --> 00:00:42.880]  祈禱奉主耶穌基督的名求 阿們
[00:00:42.880 --> 00:00:46.500]  不知道大家有沒有聽過一句說話
[00:00:46.500 --> 00:00:48.180]  我們中國人說的
[00:00:48.180 --> 00:00:52.780]  他說「不貴於無過 而貴於能改過」
[00:00:52.780 --> 00:00:54.260]  聽過了 是不是
[00:00:54.260 --> 00:00:58.900]  原來這是我們古人黃陽明先生的名句
[00:00:58.900 --> 00:01:00.060]  他的意思是
[00:01:00.060 --> 00:01:03.560]  人的一生沒有過錯並不是最可貴的
[00:01:03.560 --> 00:01:06.760]  最可貴的是能夠認識到自己的過錯
[00:01:06.760 --> 00:01:09.060]  改正自己的過錯
[00:01:09.060 --> 00:01:12.000]  正所謂「知錯能改 事莫大焉」
[00:01:12.000 --> 00:01:13.880]  「聖人尚且有過」
[00:01:13.880 --> 00:01:17.680]  我們凡人一輩子沒有過的說話根本就不可能
[00:01:17.680 --> 00:01:20.480]  還要勇於承認錯誤
[00:01:20.480 --> 00:01:22.660]  去改正這個錯誤
[00:01:22.660 --> 00:01:24.720]  其實在聖經裏面我們也發現
[00:01:24.720 --> 00:01:27.200]  如果有機會去看完整本聖經時
[00:01:27.200 --> 00:01:29.040]  我們發現一件事
[00:01:29.040 --> 00:01:31.560]  神所重用的偉大人物
[00:01:31.560 --> 00:01:33.320]  無論是亞伯拉罕
[00:01:33.320 --> 00:01:34.660]  無論是彼得
[00:01:34.660 --> 00:01:36.060]  無論是保羅
[00:01:36.060 --> 00:01:38.560]  他們都曾經犯過錯誤
[00:01:38.560 --> 00:01:41.080]  所謂「聖徒」就是願意悔罪的人
[00:01:41.080 --> 00:01:44.560]  所謂「惡人」就是不願意讓自己
[00:01:44.560 --> 00:01:48.480]  臣服在上帝憐憫之下的人
