
[00:00:00.000 --> 00:00:02.000]  昨晚有沒有睡?
[00:00:02.000 --> 00:00:05.000]  昨晚有多少個人睡得好?
[00:00:05.000 --> 00:00:08.000]  很好笑,我都沒有睡
[00:00:08.000 --> 00:00:11.000]  是不是都播放在電視機前面?
[00:00:11.000 --> 00:00:14.000]  很擔心,有沒有人很擔心?
[00:00:14.000 --> 00:00:17.000]  都擔心吧?
[00:00:17.000 --> 00:00:22.000]  記得昨天早上一打開電視機是不是嚇了一跳?
[00:00:22.000 --> 00:00:25.000]  我突然呆了
[00:00:25.000 --> 00:00:28.000]  很多的問題在心裏面
[00:00:28.000 --> 00:00:39.000]  包括,為何學民思潮會呼籲人們衝入公民廣場?
[00:00:39.000 --> 00:00:42.000]  我又不明白
[00:00:42.000 --> 00:00:46.000]  為何公民廣場一向都是香港人
[00:00:46.000 --> 00:00:51.000]  任何人都可以自出自入的地方
[00:00:51.000 --> 00:00:57.000]  不知為何何時建了一些欄,不讓人入
[00:00:57.000 --> 00:01:01.000]  我又不明白
[00:01:01.000 --> 00:01:05.000]  不明白的有很多
[00:01:05.000 --> 00:01:08.000]  我在想
[00:01:08.000 --> 00:01:12.000]  無論昨晚宣佈了佔中
[00:01:12.000 --> 00:01:16.000]  一群留在政府總部的一群人裏面
[00:01:16.000 --> 00:01:22.000]  裏面會不會有紀錄圖,有弟兄姊妹在其中?
[00:01:22.000 --> 00:01:29.000]  那些警察在驅趕,在清場的時候
[00:01:29.000 --> 00:01:34.000]  中間有沒有紀錄圖,有沒有弟兄姊妹在其中?
[00:01:34.000 --> 00:01:42.000]  究竟我們怎樣判斷,哪些是對,哪些是錯?
[00:01:42.000 --> 00:01:46.000]  不容易想
[00:01:46.000 --> 00:01:49.000]  不過有人問過一個問題
[00:01:49.000 --> 00:01:54.000]  很久之前,開始講佔中的時候有人問
[00:01:54.000 --> 00:01:59.000]  如果弟兄姊妹因為佔中坐牢
[00:01:59.000 --> 00:02:03.000]  你在拜堂會不會去探?
[00:02:03.000 --> 00:02:06.000]  給你們選擇
[00:02:06.000 --> 00:02:08.000]  你在拜堂應不應該去探監?
[00:02:08.000 --> 00:02:11.000]  應該的舉手
[00:02:11.000 --> 00:02:19.000]  不應該的,好像沒有
[00:02:19.000 --> 00:02:22.000]  第一堂的時候兩邊都有
[00:02:22.000 --> 00:02:25.000]  我怎樣回答呢?
[00:02:25.000 --> 00:02:29.000]  無論是不是因為佔中
[00:02:29.000 --> 00:02:31.000]  只要有弟兄姊妹在監裏面
[00:02:31.000 --> 00:02:35.000]  我們都會探
[00:02:35.000 --> 00:02:40.000]  因為是家人,是家裏人
[00:02:40.000 --> 00:02:43.000]  去探不是代表我同意
[00:02:43.000 --> 00:02:47.000]  或者支持他所做的事
[00:02:47.000 --> 00:02:51.000]  在監裏面的可能是罪有應得
[00:02:51.000 --> 00:02:53.000]  是要承擔罪的後果
[00:02:53.000 --> 00:02:56.000]  不過他仍然是家人
[00:02:56.000 --> 00:03:00.000]  所以會去探
[00:03:00.000 --> 00:03:02.000]  但有些事我們不明白
[00:03:02.000 --> 00:03:05.000]  這些事情的發生讓我們心裏有很多的恐懼
[00:03:05.000 --> 00:03:09.000]  我們怕香港失卻秩序
[00:03:09.000 --> 00:03:13.000]  我們怕香港亂
[00:03:13.000 --> 00:03:15.000]  我們很怕
[00:03:15.000 --> 00:03:18.000]  因為我們不知道前面會繼續怎樣走
[00:03:18.000 --> 00:03:20.000]  現在已經有一班人在政府總部
[00:03:20.000 --> 00:03:22.000]  由昨晚流到現在
[00:03:22.000 --> 00:03:25.000]  跟著這條路怎樣走下去呢?
[00:03:25.000 --> 00:03:27.000]  我們都不明白當
[00:03:27.000 --> 00:03:30.000]  似乎對話,似乎溝通
[00:03:30.000 --> 00:03:31.000]  又好像有很多
[00:03:31.000 --> 00:03:33.000]  但又好像道門又關了
[00:03:33.000 --> 00:03:36.000]  我都不明白
[00:03:36.000 --> 00:03:39.000]  但我們期望對話和溝通
[00:03:39.000 --> 00:03:41.000]  能夠解決一些事情
[00:03:41.000 --> 00:03:44.000]  我記得很久之前聽過一個人說
[00:03:44.000 --> 00:03:45.000]  我覺得很有意思
[00:03:45.000 --> 00:03:47.000]  他說開會的目的
[00:03:47.000 --> 00:03:48.000]  對話的目的
