
[00:00:00.000 --> 00:00:18.000]  [祈禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱」
[00:00:18.000 --> 00:00:23.000]  剛纔所念的《羅馬書》第八章
[00:00:23.000 --> 00:00:26.000]  是我最喜歡的一張聖經
[00:00:26.000 --> 00:00:31.000]  我今天希望用這張聖經來跟大家一起來分享
[00:00:31.000 --> 00:00:34.000]  我在當中所理解的《羅馬書》第八章
[00:00:34.000 --> 00:00:37.000]  如果你有聖經的話你可以一起打開
[00:00:37.000 --> 00:00:41.000]  剛纔我們唸了前面第八章的一段
[00:00:41.000 --> 00:00:45.000]  但是我們看那個《羅馬書》第八章很長的
[00:00:45.000 --> 00:00:47.000]  三十節還沒有結束
[00:00:47.000 --> 00:00:49.000]  到了三十九節才結束
[00:00:49.000 --> 00:00:51.000]  因爲時間的緣故
[00:00:51.000 --> 00:00:55.000]  我就不要求全大家念出來了
[00:00:55.000 --> 00:00:58.000]  所以大家打開聖經也可以
[00:00:58.000 --> 00:01:03.000]  今天我給一個題目叫做
[00:01:03.000 --> 00:01:09.000]  現實的悲情與樂觀的盼望
[00:01:09.000 --> 00:01:11.000]  這個衝突的題目
[00:01:11.000 --> 00:01:15.000]  就是在《羅馬書》第八章這裏表達出來的
[00:01:15.000 --> 00:01:17.000]  等一下我們可以看得到
[00:01:17.000 --> 00:01:21.000]  不過無論今天你帶着怎樣的遭遇
[00:01:21.000 --> 00:01:24.000]  你帶着怎樣的一個心情
[00:01:24.000 --> 00:01:26.000]  你帶着怎樣的掙扎
[00:01:26.000 --> 00:01:27.000]  我希望的
[00:01:27.000 --> 00:01:29.000]  我的禱告是《羅馬書》第八章
[00:01:29.000 --> 00:01:32.000]  今天我們的經文跟你說話
[00:01:32.000 --> 00:01:36.000]  因爲這一段經文對我特別重要
[00:01:36.000 --> 00:01:38.000]  爲什麼我這樣講呢
[00:01:38.000 --> 00:01:41.000]  因爲我們看到《羅馬書》第八章裏面
[00:01:41.000 --> 00:01:43.000]  剛纔我們開始的時候
[00:01:43.000 --> 00:01:45.000]  說我們的苦楚
[00:01:45.000 --> 00:01:48.000]  我們很多在虛空底下
[00:01:48.000 --> 00:01:50.000]  我們在很多的敗壞
[00:01:50.000 --> 00:01:55.000]  雜技 我們的痛苦 心仁 身陰
[00:01:55.000 --> 00:01:57.000]  我們在我們心裏嘆息
[00:01:57.000 --> 00:02:00.000]  很多很多很悲觀的一個英雄
[00:02:00.000 --> 00:02:05.000]  這個形容詞給我們很深刻的一個痛苦的感覺
[00:02:05.000 --> 00:02:07.000]  就是說很無奈
[00:02:07.000 --> 00:02:10.000]  但是一起念下去的時候
[00:02:10.000 --> 00:02:12.000]  剛纔我們謝謝領師的Paul
[00:02:12.000 --> 00:02:14.000]  給我們很好的詩歌
[00:02:14.000 --> 00:02:16.000]  其中一首詩歌就是在這裏
[00:02:16.000 --> 00:02:18.000]  在《羅馬書》後面第八章
[00:02:18.000 --> 00:02:21.000]  最後拿出來的靈感所寫出來的
[00:02:21.000 --> 00:02:24.000]  因爲在《羅馬書》到話要結束的時候
[00:02:24.000 --> 00:02:26.000]  那裏就有個頌歌
[00:02:26.000 --> 00:02:30.000]  那個頌歌是一個非常樂觀的頌歌
[00:02:30.000 --> 00:02:32.000]  它說無論什麼
[00:02:32.000 --> 00:02:39.000]  無論是甚至是死亡 患難 困苦 飢餓 危險
[00:02:39.000 --> 00:02:44.000]  有天下的 地下的 有能的 將來的 現在的
[00:02:44.000 --> 00:02:48.000]  都不能夠叫我們與神的愛隔絕
[00:02:48.000 --> 00:02:52.000]  因爲這愛是在我們的主耶穌基督裏的
[00:02:52.000 --> 00:02:58.000]  這是一個非常澎湃的那種聖力的頌歌
[00:02:58.000 --> 00:03:01.000]  所以我們今天一定要研究一下
[00:03:01.000 --> 00:03:03.000]  爲什麼從十八節開始的時候
[00:03:03.000 --> 00:03:06.000]  那種悲觀的情緒
[00:03:06.000 --> 00:03:09.000]  什麼都是在聖淫
[00:03:09.000 --> 00:03:12.000]  在被嘆 無奈
[00:03:12.000 --> 00:03:17.000]  可以轉到第八章後面那種快樂的頌歌
[00:03:17.000 --> 00:03:19.000]  這個就是我們今天題目要問的
[00:03:19.000 --> 00:03:21.000]  爲什麼這個經文
[00:03:21.000 --> 00:03:23.000]  從這裏轉到後面的時候
[00:03:23.000 --> 00:03:27.000]  從一個充滿了悲觀的現實
[00:03:27.000 --> 00:03:32.000]  可以轉到一個充滿了樂觀的盼望
[00:03:32.000 --> 00:03:34.000]  這是我們今天的主題
[00:03:34.000 --> 00:03:38.000]  我們說今天我們有很多的悲觀
[00:03:38.000 --> 00:03:42.000]  這個我不需要在這裏重複要重複地說了
[00:03:42.000 --> 00:03:44.000]  你跟我都知道
[00:03:44.000 --> 00:03:46.000]  我們說今天我們這個世界
[00:03:46.000 --> 00:03:50.000]  我們都不知道爲什麼到了這樣一個地步
[00:03:50.000 --> 00:03:51.000]  我們都很不快樂
[00:03:51.000 --> 00:03:54.000]  事實上我們人類的科技
[00:03:54.000 --> 00:03:57.000]  從來沒有好像今天那麼的進步
[00:03:57.000 --> 00:03:58.000]  那麼的豐富
[00:03:58.000 --> 00:04:02.000]  那麼的差不多我們沒有想象過的
[00:04:02.000 --> 00:04:04.000]  以前在我們年小的時候
[00:04:04.000 --> 00:04:07.000]  虛幻的那些小說裏面看的東西
