
[00:00:00.000 --> 00:00:03.000]  第一個A是情為何物
[00:00:03.000 --> 00:00:07.000]  第一個大題目是喜歡
[00:00:07.000 --> 00:00:12.000]  我們要分開有好幾種的感情
[00:00:12.000 --> 00:00:14.000]  有一個是喜歡
[00:00:14.000 --> 00:00:16.000]  有一個是愛情
[00:00:16.000 --> 00:00:18.000]  愛情裏面有友情
[00:00:18.000 --> 00:00:22.000]  友情裏面有異性朋友的情
[00:00:22.000 --> 00:00:26.000]  然後我們會再說
[00:00:26.000 --> 00:00:31.000]  有一個是神性的愛情
[00:00:31.000 --> 00:00:35.000]  即是有神形象的愛情
[00:00:35.000 --> 00:00:39.000]  再加上最後一個就是迷戀
[00:00:39.000 --> 00:00:42.000]  第一個喜歡的質地是怎樣的呢
[00:00:42.000 --> 00:00:51.000]  每當你發覺自己很喜歡和一個人相處在一起
[00:00:51.000 --> 00:00:53.000]  你很高興和他
[00:00:53.000 --> 00:00:54.000]  你有好感
[00:00:54.000 --> 00:00:55.000]  你有好印象
[00:00:55.000 --> 00:00:57.000]  你不討厭他
[00:00:57.000 --> 00:00:59.000]  這已經是很普通的喜歡
[00:00:59.000 --> 00:01:01.000]  他裏面的性質是甚麼呢
[00:01:01.000 --> 00:01:03.000]  他裏面的性質是
[00:01:03.000 --> 00:01:05.000]  你可以是單方面的
[00:01:05.000 --> 00:01:07.000]  你也可以是雙方面的
[00:01:07.000 --> 00:01:09.000]  你可以自己喜歡一個人
[00:01:09.000 --> 00:01:11.000]  別人不知道的
[00:01:11.000 --> 00:01:13.000]  亦都別人不喜歡你
[00:01:13.000 --> 00:01:15.000]  你都可以喜歡的
[00:01:15.000 --> 00:01:17.000]  這是第一個性質
[00:01:17.000 --> 00:01:19.000]  第二個性質就是
[00:01:19.000 --> 00:01:21.000]  那個對象可以是人
[00:01:21.000 --> 00:01:23.000]  可以是人
[00:01:23.000 --> 00:01:25.000]  你不用再看了
[00:01:25.000 --> 00:01:26.000]  這裏沒有了
[00:01:26.000 --> 00:01:27.000]  可以是人
[00:01:27.000 --> 00:01:29.000]  亦都可以是死物
[00:01:29.000 --> 00:01:31.000]  所以你可以喜歡一隻鳥
[00:01:31.000 --> 00:01:33.000]  你可以喜歡那些首飾
[00:01:33.000 --> 00:01:35.000]  你可以喜歡那個人
[00:01:35.000 --> 00:01:37.000]  你很喜歡那樣東西
[00:01:37.000 --> 00:01:39.000]  喜歡
[00:01:39.000 --> 00:01:41.000]  第三樣東西就是
[00:01:41.000 --> 00:01:43.000]  如果你是對著一個人的話
[00:01:43.000 --> 00:01:46.000]  他是可以有很多的對象的
[00:01:46.000 --> 00:01:48.000]  你又喜歡這個又喜歡那個
[00:01:48.000 --> 00:01:49.000]  喜歡的意思是
[00:01:49.000 --> 00:01:51.000]  你很喜歡這個人的性格
[00:01:51.000 --> 00:01:53.000]  你很喜歡跟他聊天
[00:01:53.000 --> 00:01:58.000]  不等於你一定要有異性朋友的愛的
[00:01:58.000 --> 00:01:59.000]  喜歡
[00:01:59.000 --> 00:02:00.000]  你高興
[00:02:00.000 --> 00:02:03.000]  你跟他在一起的時候自在
[00:02:03.000 --> 00:02:07.000]  你可以跟很多人在一起的時候都很自在
[00:02:07.000 --> 00:02:09.000]  第四就是
[00:02:09.000 --> 00:02:11.000]  亦都可以是異性
[00:02:11.000 --> 00:02:13.000]  亦都可以是同性
[00:02:13.000 --> 00:02:14.000]  第四那個
[00:02:14.000 --> 00:02:16.000]  是可以異性又可以同性
[00:02:16.000 --> 00:02:18.000]  你跟他相處
[00:02:18.000 --> 00:02:20.000]  你都可以很自在很喜歡
[00:02:20.000 --> 00:02:24.000]  而這個喜歡和喜歡
[00:02:24.000 --> 00:02:25.000]  不討厭
[00:02:25.000 --> 00:02:26.000]  好感
[00:02:26.000 --> 00:02:27.000]  好印象
[00:02:27.000 --> 00:02:31.000]  是你一定交友裏面必具的條件
[00:02:31.000 --> 00:02:33.000]  沒有了這個成份
[00:02:33.000 --> 00:02:34.000]  你不用方子義
[00:02:34.000 --> 00:02:37.000]  你跟他可以發展友誼
[00:02:37.000 --> 00:02:38.000]  好不好
[00:02:38.000 --> 00:02:40.000]  所以有些人說
[00:02:40.000 --> 00:02:42.000]  我嫁給他
[00:02:42.000 --> 00:02:44.000]  但我都不喜歡他
[00:02:44.000 --> 00:02:47.000]  那你會覺得你嫁給他幹什麼
[00:02:47.000 --> 00:02:50.000]  因為現在說嫁的那些
[00:02:50.000 --> 00:02:51.000]  或者你要娶
[00:02:51.000 --> 00:02:55.000]  根本還要說高一級的喜歡和愛情
[00:02:55.000 --> 00:02:58.000]  所以這個是最基本的
[00:02:58.000 --> 00:03:02.000]  最基本的友誼必需要的條件
[00:03:02.000 --> 00:03:06.000]  第六點他的特色就是
[00:03:06.000 --> 00:03:10.000]  愛情的前身是這個
[00:03:10.000 --> 00:03:15.000]  但是他亦都未必一定要發展愛情
[00:03:15.000 --> 00:03:17.000]  分清楚
[00:03:17.000 --> 00:03:20.000]  你有這個東西未必一定要發展愛情
[00:03:20.000 --> 00:03:23.000]  一定要清楚一點
[00:03:23.000 --> 00:03:25.000]  特別是姊妹
[00:03:25.000 --> 00:03:28.000]  你喜歡那個人
[00:03:28.000 --> 00:03:30.000]  喜歡那個同性
[00:03:30.000 --> 00:03:33.000]  或者你跟他相處很自在
[00:03:33.000 --> 00:03:35.000]  未必一定要發展愛情
[00:03:35.000 --> 00:03:37.000]  未必的
[00:03:37.000 --> 00:03:40.000]  你仍然都可以就這樣
[00:03:40.000 --> 00:03:41.000]  普通人
[00:03:41.000 --> 00:03:44.000]  因為你跟他很自在
[00:03:44.000 --> 00:03:47.000]  第二類
[00:03:47.000 --> 00:03:50.000]  我們說到愛情
[00:03:50.000 --> 00:03:51.000]  Love
[00:03:51.000 --> 00:03:54.000]  Love這個層面就高一點
[00:03:54.000 --> 00:03:56.000]  為什麼要高一點呢
[00:03:56.000 --> 00:03:59.000]  不會一定是死物
[00:03:59.000 --> 00:04:01.000]  不可能是死物
[00:04:01.000 --> 00:04:03.000]  因為他在說毀心
[00:04:03.000 --> 00:04:04.000]  Love
[00:04:04.000 --> 00:04:06.000]  所以一定不會死物
[00:04:06.000 --> 00:04:07.000]  記得
[00:04:07.000 --> 00:04:09.000]  喜歡可以是死物
[00:04:09.000 --> 00:04:12.000]  所以有些人很喜歡郵票
