
[00:00:00.000 --> 00:00:02.000]  各位姐妹朋友,早晨!
[00:00:02.000 --> 00:00:08.000]  過去兩個月的時間,大家聽了很多的比喻,對不對?
[00:00:08.000 --> 00:00:12.360]  比喻,很多時候,耶穌用比喻跟百姓來去講道
[00:00:12.360 --> 00:00:16.200]  希望藉著比喻,讓百姓更加明白耶穌所講的是什麼
[00:00:16.200 --> 00:00:18.440]  所以很多時候,比喻都沒有指定是誰聽的
[00:00:18.440 --> 00:00:22.360]  對於幾千個、幾百個民眾,就是在這裡講的
[00:00:22.360 --> 00:00:25.720]  很多時候,我們聽到比喻,就會對號入座,對不對?
[00:00:25.720 --> 00:00:32.240]  聽見浪子的比喻,那你就想想,我是那個爸爸,還是那個大哥,還是那個弟弟呢?
[00:00:32.240 --> 00:00:37.440]  聽見那個財主和拉撒路的比喻,我就想想,我是財主還是拉撒路?
[00:00:37.440 --> 00:00:42.280]  聽見那些殺種的比喻,又想想,我是那個收成多少的人?
[00:00:42.280 --> 00:00:46.600]  聽見介財種的比喻,那你想到什麼?
[00:00:46.600 --> 00:00:48.080]  你們是不是介財種?
[00:00:48.080 --> 00:00:51.280]  很多事情令我想起不同的回應,不同的迴響
[00:00:51.280 --> 00:00:56.200]  今天當場讀經的時候,大家都留意到今天和禱告有關的一個比喻
[00:00:56.200 --> 00:01:00.800]  那麼,我也要問問大家一個問題
[00:01:00.800 --> 00:01:05.200]  有沒有人試過去聖殿禱告的?
[00:01:05.200 --> 00:01:09.400]  他就說,是?
[00:01:09.400 --> 00:01:12.800]  只有這麼少?
[00:01:12.800 --> 00:01:18.680]  再問一次,有沒有人去過神的殿禱告的?
[00:01:18.680 --> 00:01:21.200]  原來聖殿和神的殿不同的
[00:01:21.200 --> 00:01:23.800]  有多些?
[00:01:23.800 --> 00:01:28.520]  有沒有人來過這個神的殿禱告的?
[00:01:28.520 --> 00:01:29.920]  應該全舉了吧?
[00:01:29.920 --> 00:01:32.720]  你們來過這個殿,聚會都結了肚子了,是吧?
[00:01:32.720 --> 00:01:35.480]  沒有了,結了肚子了,是吧?
[00:01:35.480 --> 00:01:45.840]  看看這個比喻的內容,說什麼呢?
[00:01:45.840 --> 00:01:53.800]  耶穌向那些自以為意,藐視別人的人說了這個比喻
[00:01:53.800 --> 00:01:55.920]  麗加霍
[00:01:55.920 --> 00:01:59.280]  有沒有人覺得這個比喻是說給你們聽的?
[00:01:59.280 --> 00:02:01.080]  馬上變得很熟悉
[00:02:01.080 --> 00:02:06.160]  有沒有人覺得你是一個自以為意,又藐視別人的人?
[00:02:06.160 --> 00:02:07.520]  好,我反過來問
[00:02:07.520 --> 00:02:11.800]  有沒有人覺得這個比喻不是說給你們聽的?舉手
[00:02:11.800 --> 00:02:16.600]  又不敢舉手
[00:02:16.600 --> 00:02:20.560]  我們其實可能覺得自己不是一個自以為意的人
[00:02:20.560 --> 00:02:22.640]  更加不會是一個藐視別人的人
[00:02:22.640 --> 00:02:25.480]  但是在我們身邊,即不是現在你們身邊
[00:02:25.480 --> 00:02:28.120]  在我們生活的身邊總有一些人是這樣的
[00:02:28.120 --> 00:02:30.520]  希望這一堂課聽完之後
[00:02:30.520 --> 00:02:32.760]  對我們自己有幫助
[00:02:32.760 --> 00:02:35.600]  也有機會和我們身邊那些自以為意
[00:02:35.600 --> 00:02:37.320]  藐視別人的人說
[00:02:37.320 --> 00:02:39.440]  叫他們看看聖經這個比喻,好嗎?
[00:02:39.440 --> 00:02:41.600]  給他們一點心機來聽,一起學了
[00:02:41.600 --> 00:02:45.480]  耶穌比喻裡面說有兩個人
[00:02:45.480 --> 00:02:48.000]  去聖殿去禱告
[00:02:48.000 --> 00:02:50.680]  當天當然是去聖殿聖殿禱告
[00:02:50.680 --> 00:02:53.280]  今天我們可以回來教會禱告
[00:02:53.280 --> 00:02:56.160]  我們如果不回來教會,可不可以禱告?
[00:02:56.160 --> 00:02:58.160]  可以,因為神的靈在我們心裡面
[00:02:58.160 --> 00:03:00.240]  我們在哪裡都可以向神禱告
[00:03:00.240 --> 00:03:01.600]  所以應用在我們身上
[00:03:01.600 --> 00:03:04.880]  不一定去教會或聖殿禱告才是對的
[00:03:04.880 --> 00:03:07.440]  任何情況我們都可以禱告
[00:03:07.440 --> 00:03:10.760]  在家裡,在工作地方,在任何場合
[00:03:10.760 --> 00:03:12.240]  耶穌說這兩個人
[00:03:12.240 --> 00:03:16.440]  一個是法利塞人,一個是衰利
[00:03:16.440 --> 00:03:18.680]  我們不是那些自以為意藐視別人的人
[00:03:18.680 --> 00:03:19.960]  那我們是不是法利塞人?
[00:03:19.960 --> 00:03:22.480]  有沒有人覺得自己是法利塞人的
[00:03:22.480 --> 00:03:25.840]  就合適了,又不合適
[00:03:25.840 --> 00:03:28.600]  覺得自己是衰利的,又合適了
[00:03:28.600 --> 00:03:29.600]  都不合適
[00:03:29.600 --> 00:03:31.920]  那究竟這個比喻合不合適呢?
[00:03:31.920 --> 00:03:33.400]  合適
