
[00:00:00.000 --> 00:00:05.000]  我們來看哥勒西書的第一章,20到22節,
[00:00:05.000 --> 00:00:15.000]  然後我們也看一下在哥倫多後書第五章,16節到21節的經文,
[00:00:15.000 --> 00:00:20.000]  我們讓讀神話語的人都蒙上了神的眷顧。
[00:00:20.000 --> 00:00:23.000]  我們來看哥勒西書,讓我在唸的時候,
[00:00:23.000 --> 00:00:28.000]  稍微把經文當中的一些的意思跟大家來分享。
[00:00:28.000 --> 00:00:33.000]  哥勒西書,第一章,20節到22節,
[00:00:33.000 --> 00:00:40.000]  既然藉助他在十字架所樓的學成就了和平,
[00:00:40.000 --> 00:00:47.000]  原文的意思就是藉助他在十字架所樓的學帶來了和平,
[00:00:47.000 --> 00:00:56.000]  使藉助他教萬有,無論是地上的天上的都與自己和好。
[00:00:56.000 --> 00:00:58.000]  他的意思就是說,
[00:00:58.000 --> 00:01:03.000]  就是因着耶穌基督所傾樓出來的寶學,
[00:01:03.000 --> 00:01:08.000]  萬物當中那破碎的,那不粘系的,
[00:01:08.000 --> 00:01:12.000]  那一些已經不能夠使用的萬有,
[00:01:12.000 --> 00:01:17.000]  包括人與物,包括動物與物質,
[00:01:17.000 --> 00:01:22.000]  都因着他的緣故重新產生了和諧,
[00:01:22.000 --> 00:01:25.000]  這個是當中的意思。
[00:01:25.000 --> 00:01:29.000]  第二十一節,你們從前與神割絕了,
[00:01:29.000 --> 00:01:32.000]  如同一棟藏的一樣,
[00:01:32.000 --> 00:01:36.000]  因作惡行心裏面與主爲帝,
[00:01:36.000 --> 00:01:38.000]  原文心是代表義字,
[00:01:38.000 --> 00:01:42.000]  當神的愛臨到我們的身上,
[00:01:42.000 --> 00:01:45.000]  我們卻因做我們罪的行爲,
[00:01:45.000 --> 00:01:49.000]  在心字的當中敵對了神。
[00:01:49.000 --> 00:01:52.000]  但如今,第二十二節,
[00:01:52.000 --> 00:01:57.000]  今他藉着基督的肉身受使,
[00:01:57.000 --> 00:01:59.000]  叫你們與自己和好,
[00:01:59.000 --> 00:02:01.000]  原文的意思就是說,
[00:02:01.000 --> 00:02:05.000]  因作他的確爲我們受使,
[00:02:05.000 --> 00:02:09.000]  今天我們被帶到他的那一邊,
[00:02:09.000 --> 00:02:11.000]  成爲他的朋友的意思。
[00:02:11.000 --> 00:02:14.000]  都成爲了聖潔無有瑕疵,
[00:02:14.000 --> 00:02:16.000]  無可責備,
[00:02:16.000 --> 00:02:20.000]  把你們引到自己的面前。
[00:02:20.000 --> 00:02:22.000]  這個是保羅面對之後,
[00:02:22.000 --> 00:02:29.000]  哥倫多教會里面許多不認識基督主權的人所寫下來的。
[00:02:29.000 --> 00:02:31.000]  在哥倫多後書裏面,
[00:02:31.000 --> 00:02:35.000]  保羅又繼續地把神自己的話語記載下來,
[00:02:35.000 --> 00:02:37.000]  所以,第五章十六節,
[00:02:37.000 --> 00:02:42.000]  所以,在十六節跟二十節有兩個所以,
[00:02:42.000 --> 00:02:46.000]  所以你們從今以後不要憑着外貌認人,
[00:02:46.000 --> 00:02:49.000]  雖然憑着外貌認過基督,
[00:02:49.000 --> 00:02:52.000]  如今卻不再這樣認他,
[00:02:52.000 --> 00:02:54.000]  這個意思大概是這樣子,
[00:02:54.000 --> 00:02:58.000]  因作主耶穌一個人承擔的罪,
[00:02:58.000 --> 00:03:01.000]  衆人都得着自由,
[00:03:01.000 --> 00:03:08.000]  如今我們就不按着人的外貌或者他所有的來判斷他,
[00:03:08.000 --> 00:03:14.000]  因爲我們過去曾經以這個方法來判斷都是錯誤的,
[00:03:14.000 --> 00:03:21.000]  如今我們不以這種方法來判斷一個人與神之間的關係。
[00:03:21.000 --> 00:03:25.000]  十七節,若有人在基督裏面,
[00:03:25.000 --> 00:03:28.000]  他就是新造的人,
[00:03:28.000 --> 00:03:32.000]  舊事與過都變成新的了。
[00:03:32.000 --> 00:03:33.000]  意思就是說,
[00:03:33.000 --> 00:03:39.000]  如今我們按着一個人裏面的生命來決定他與神之間的關係,
[00:03:39.000 --> 00:03:43.000]  這個人在主耶穌基督被聯合,
[00:03:43.000 --> 00:03:46.000]  他就成爲一個重新的創造,
[00:03:46.000 --> 00:03:48.000]  有新有的開始,
[00:03:48.000 --> 00:03:50.000]  舊有的生命已經過去,
[00:03:50.000 --> 00:03:55.000]  新來的生命正在他的裏面發現。
[00:03:55.000 --> 00:03:58.000]  十八節,一切都是出於他,
[00:03:58.000 --> 00:04:03.000]  他藉着基督使我們與他和好,
[00:04:03.000 --> 00:04:09.000]  又將聖人與他和好的職份賜給了我們。
[00:04:09.000 --> 00:04:10.000]  意思就是說,
[00:04:10.000 --> 00:04:13.000]  我所有一切都出於他,
[00:04:13.000 --> 00:04:19.000]  因爲我們與他重新的解決了我們的問題,
[00:04:19.000 --> 00:04:21.000]  所以今天神要呼喚我們,
[00:04:21.000 --> 00:04:27.000]  把這種與神和好的這種關係要向人來述說。
[00:04:27.000 --> 00:04:32.000]  十九節,這就是神在基督裏面叫世人與自己和好,
[00:04:32.000 --> 00:04:35.000]  不將他們的過犯歸在他們的身上,
[00:04:35.000 --> 00:04:41.000]  並且將這和好的道理託付了我們。
[00:04:41.000 --> 00:04:43.000]  第二個所以,
[00:04:43.000 --> 00:04:45.000]  你們做基督的使者,
