
[00:00:00.000 --> 00:00:05.000]  首先祝大家新年蒙福,主恩滿逸
[00:00:05.000 --> 00:00:07.000]  為甚麼我們經常用蒙福呢?
[00:00:07.000 --> 00:00:12.000]  因為我們是一班領受神賜福的人
[00:00:12.000 --> 00:00:15.000]  所以我們今天在新的一年裏面
[00:00:15.000 --> 00:00:19.000]  我們很願意用「蒙福之旅」這個題目
[00:00:19.000 --> 00:00:22.000]  去跟大家一起分享共勉
[00:00:22.000 --> 00:00:25.000]  這幅圖是百幅圖
[00:00:25.000 --> 00:00:30.000]  複製100個寫法,所以很有意思
[00:00:30.000 --> 00:00:34.000]  我想分享在農曆新年之前
[00:00:34.000 --> 00:00:36.000]  1月20日至24日
[00:00:36.000 --> 00:00:40.000]  我和浸信會、恩綱會一班同工
[00:00:40.000 --> 00:00:46.000]  和一些弟兄姊妹一起去參加一個印尼的考察團
[00:00:46.000 --> 00:00:52.000]  我們去的地方是加里曼丹島的昆甸這個城市
[00:00:52.000 --> 00:00:57.000]  我這次去完之後才知道印尼有很多的島
[00:00:57.000 --> 00:01:01.000]  大家知道不是耶加達,所以不是爪哇島
[00:01:01.000 --> 00:01:03.000]  我去到耶加達之後
[00:01:03.000 --> 00:01:09.000]  都要坐1.5小時的飛機才去到西加里曼丹這個地方
[00:01:09.000 --> 00:01:12.000]  那裏也是華人聚居的地方
[00:01:12.000 --> 00:01:14.000]  我上星期去的時候
[00:01:14.000 --> 00:01:16.000]  都已經有些農曆新年的氣氛
[00:01:16.000 --> 00:01:19.000]  這次我們去考察有兩大目標
[00:01:19.000 --> 00:01:24.000]  第一個就是我們要支持我們所差派的西宇宣教士
[00:01:24.000 --> 00:01:29.000]  其實在印尼,恩綱會有兩位宣教士
[00:01:29.000 --> 00:01:31.000]  一位就是麥子宣教士
[00:01:31.000 --> 00:01:34.000]  他都在昆甸這個地方
[00:01:34.000 --> 00:01:36.000]  但是因為他身體軟弱
[00:01:36.000 --> 00:01:38.000]  他需要在香港接受療程
[00:01:38.000 --> 00:01:42.000]  所以他這次就探訪不了他
[00:01:42.000 --> 00:01:44.000]  因為他在香港養病
[00:01:44.000 --> 00:01:47.000]  主要願意他10月就可以回到這個工場
[00:01:47.000 --> 00:01:54.000]  西宇其實他本身就在另一個爪哇島那個地方去學語文
[00:01:54.000 --> 00:01:58.000]  他也是來了昆甸這個地方兩個月而已
[00:01:58.000 --> 00:02:02.000]  所以我們都很想了解到他適應的情況
[00:02:02.000 --> 00:02:05.000]  和了解他未來工作的情況
[00:02:05.000 --> 00:02:07.000]  第二個目的就是我們希望
[00:02:07.000 --> 00:02:12.000]  去認識一些宣教夥伴的教會和工作
[00:02:12.000 --> 00:02:16.000]  其實恩綱會其實有一個意象
[00:02:16.000 --> 00:02:18.000]  一方面其實大家都留意到
[00:02:18.000 --> 00:02:20.000]  我們過去幾年
[00:02:20.000 --> 00:02:24.000]  我們都有辦這個印尼青年節的同樂日
[00:02:24.000 --> 00:02:26.000]  過去這兩年
[00:02:26.000 --> 00:02:28.000]  我們就是在顯里中學舉行的
[00:02:28.000 --> 00:02:31.000]  規模都是越來越大
[00:02:31.000 --> 00:02:36.000]  去年我們有500位印尼姐姐去參與
[00:02:36.000 --> 00:02:39.000]  香港當然對我們來說
[00:02:39.000 --> 00:02:42.000]  就是一個本地跨文化的時工
[00:02:42.000 --> 00:02:44.000]  但是我們有一個意象
[00:02:44.000 --> 00:02:48.000]  就是說如果這些印尼姐姐有一天他們回到印尼
[00:02:48.000 --> 00:02:50.000]  但是因為他們信了耶穌
[00:02:50.000 --> 00:02:54.000]  他們自己的恩文的村不接受他們的時候
[00:02:54.000 --> 00:02:56.000]  那我們怎麼辦呢
[00:02:56.000 --> 00:02:59.000]  我們就想到在這個印尼的地方
[00:02:59.000 --> 00:03:04.000]  去開設一些是印尼姐姐用工的培訓中心
[00:03:04.000 --> 00:03:06.000]  大家都知道
[00:03:06.000 --> 00:03:09.000]  所有的印尼姐姐去到香港去到台灣
[00:03:09.000 --> 00:03:12.000]  其實他們都需要接受訓練
[00:03:12.000 --> 00:03:15.000]  可能接受幾個月為期幾個月的訓練
[00:03:15.000 --> 00:03:18.000]  當中是怎樣去煮菜
[00:03:18.000 --> 00:03:20.000]  怎樣去照顧小朋友照顧老人家
[00:03:20.000 --> 00:03:22.000]  怎樣去做家務
[00:03:22.000 --> 00:03:24.000]  因為大家都知道
[00:03:24.000 --> 00:03:26.000]  印尼是一個村落的地方
[00:03:26.000 --> 00:03:29.000]  所以他們來到一個城市打工的時候
[00:03:29.000 --> 00:03:31.000]  他們需要重新學習這些技能
[00:03:31.000 --> 00:03:34.000]  我們這次就將這個意象
[00:03:34.000 --> 00:03:37.000]  向印尼那邊的教會去分享
[00:03:37.000 --> 00:03:39.000]  就是讓他們都看到
[00:03:39.000 --> 00:03:41.000]  這個是一個策略
[00:03:41.000 --> 00:03:44.000]  就是怎樣去幫助回歸的印尼姐姐
[00:03:44.000 --> 00:03:45.000]  他們信了主之後
[00:03:45.000 --> 00:03:48.000]  他們有工作可以繼續去做
[00:03:48.000 --> 00:03:51.000]  還有在這個中心的過程裏面
[00:03:51.000 --> 00:03:53.000]  都讓那些受培訓的印尼姐姐
[00:03:53.000 --> 00:03:56.000]  有機會去聽聞福音去認識主
[00:03:56.000 --> 00:03:59.000]  我們甚至是有一個觀念
[00:03:59.000 --> 00:04:01.000]  就是當他們信了主
[00:04:01.000 --> 00:04:03.000]  差派他們去工作的時候
[00:04:03.000 --> 00:04:07.000]  他們甚至可以向他們的僱主去傳福音
[00:04:07.000 --> 00:04:11.000]  所以這個是一個很有策略的意象
[00:04:11.000 --> 00:04:14.000]  我們都希望在當中去分享
[00:04:14.000 --> 00:04:18.000]  在圖中其實四位都是牧師
[00:04:18.000 --> 00:04:21.000]  最左手邊就是劉志強牧師
[00:04:21.000 --> 00:04:23.000]  大家都應該有印象
[00:04:23.000 --> 00:04:26.000]  他來過我們收贈去分享信息
[00:04:26.000 --> 00:04:30.000]  中間黑色那位女牧師
[00:04:30.000 --> 00:04:35.000]  就是當地教會接待我們的Lilliana牧師
[00:04:35.000 --> 00:04:38.000]  最右手邊就是盧景智牧師
[00:04:38.000 --> 00:04:43.000]  我們三位牧師就去探訪當地教會
[00:04:43.000 --> 00:04:47.000]  我們除了去做剛才所講的兩大目的
[00:04:47.000 --> 00:04:51.000]  我們都了解孫教士親身工作的情況
[00:04:51.000 --> 00:04:54.000]  我們就進入Emmen村那裏
[00:04:54.000 --> 00:04:57.000]  了解他們的情況
[00:04:57.000 --> 00:05:01.000]  我們當然都會帶備少許的物資
[00:05:01.000 --> 00:05:04.000]  因為當地有一間學校
[00:05:04.000 --> 00:05:06.000]  雖然不是基督教的學校
[00:05:06.000 --> 00:05:08.000]  但是因為之前麥子孫教士
[00:05:08.000 --> 00:05:11.000]  在那裏打好美好的關係
[00:05:11.000 --> 00:05:14.000]  大概那些屋的情況是這樣的
[00:05:14.000 --> 00:05:17.000]  大家知道前面有一條河
[00:05:17.000 --> 00:05:21.000]  剛剛我們坐車走的時候
[00:05:21.000 --> 00:05:24.000]  就看到一個婦女在那裏沐浴
[00:05:24.000 --> 00:05:26.000]  當然她是有穿衣服的
[00:05:26.000 --> 00:05:28.000]  但是這個問題就是
[00:05:28.000 --> 00:05:32.000]  原來他們日常生活的用水
[00:05:32.000 --> 00:05:34.000]  和他們洗滌的用水
[00:05:34.000 --> 00:05:36.000]  完全都沒有分開的
[00:05:36.000 --> 00:05:38.000]  所以其實都很可怕的
[00:05:38.000 --> 00:05:40.000]  他們煮飯也是用河的水
[00:05:40.000 --> 00:05:44.000]  他們洗衣服、洗澡也是用河的水
[00:05:44.000 --> 00:05:47.000]  甚至他們排泄的東西
[00:05:47.000 --> 00:05:49.000]  都倒回到水裏
[00:05:49.000 --> 00:05:51.000]  所以在那條村
