
[00:00:00.000 --> 00:00:03.000]  我們說到之前,我們一起有個祈禱
[00:00:03.000 --> 00:00:06.000]  親愛的主,我們感謝祢
[00:00:06.000 --> 00:00:09.000]  因為祢是我們的天父
[00:00:09.000 --> 00:00:15.000]  當我們想念到我們有一位在天上的父
[00:00:15.000 --> 00:00:18.000]  我們可以向祂禱告
[00:00:18.000 --> 00:00:22.000]  在我們有困難的時候,可以向祂申訴
[00:00:22.000 --> 00:00:26.000]  有喜樂的時候,可以向祂感恩
[00:00:26.000 --> 00:00:29.000]  我們就不是地上的孤兒
[00:00:29.000 --> 00:00:31.000]  主,我們感謝祢
[00:00:31.000 --> 00:00:36.000]  因為祢為我們預備了天家
[00:00:36.000 --> 00:00:43.000]  求主,祢也讓我們在地上一生的日子
[00:00:43.000 --> 00:00:46.000]  我們也將祢自己的愛
[00:00:46.000 --> 00:00:51.000]  好好品嘗,也好好分享
[00:00:51.000 --> 00:00:54.000]  我們這樣祈禱,奉耶穌基督的名
[00:00:54.000 --> 00:00:56.000]  誠心所願
[00:01:00.000 --> 00:01:02.000]  今天選了一段經文
[00:01:02.000 --> 00:01:05.000]  可以說是很熟,很熟,很熟,很熟
[00:01:05.000 --> 00:01:12.000]  所以都不用怎樣講解這段經文
[00:01:12.000 --> 00:01:17.000]  這段經文一般是講浪子
[00:01:17.000 --> 00:01:19.000]  聚焦在浪子
[00:01:19.000 --> 00:01:22.000]  其實這段經文有三個主角
[00:01:22.000 --> 00:01:26.000]  一個是浪子,一個是他的父親
[00:01:26.000 --> 00:01:31.000]  嚴格來說,這應該叫做慈父的故事
[00:01:31.000 --> 00:01:33.000]  不是浪子的故事
[00:01:33.000 --> 00:01:35.000]  還有一個叫大兒子
[00:01:35.000 --> 00:01:38.000]  大兒子一直都被人忽略
[00:01:38.000 --> 00:01:41.000]  在近來的靈修學上
[00:01:41.000 --> 00:01:48.000]  很多時候都用大兒子這個角色來處理,來講解
[00:01:48.000 --> 00:01:52.000]  即是這位留在家中的大兒子
[00:01:52.000 --> 00:01:54.000]  其實他是另外一個浪子
[00:01:54.000 --> 00:01:57.000]  今天就不是講這個
[00:01:57.000 --> 00:02:00.000]  今天就用父親來做主角
[00:02:00.000 --> 00:02:02.000]  因為今天是父親節
[00:02:02.000 --> 00:02:04.000]  因為經文很熟
[00:02:04.000 --> 00:02:08.000]  我不會特別在經文的處理上講很多東西
[00:02:08.000 --> 00:02:10.000]  但我會順著經文裏面
[00:02:10.000 --> 00:02:16.000]  給我們看到一些元素
[00:02:16.000 --> 00:02:20.000]  我們去做一個思想
[00:02:20.000 --> 00:02:23.000]  我自己是一個五十後的兒子
[00:02:23.000 --> 00:02:26.000]  是一個八十後的父親
[00:02:26.000 --> 00:02:32.000]  我的成長年代和我的女兒的成長年代
[00:02:32.000 --> 00:02:39.000]  無論家庭結構、社會形態、價值觀念都很不同
[00:02:39.000 --> 00:02:42.000]  如果現在那些九十後的父親
[00:02:42.000 --> 00:02:44.000]  二千後的父親
[00:02:44.000 --> 00:02:47.000]  二零一零年的父親
[00:02:47.000 --> 00:02:50.000]  面對的問題就更加不同了
[00:02:50.000 --> 00:02:53.000]  很大很大的不同
[00:02:53.000 --> 00:02:55.000]  但無論怎樣也好
[00:02:55.000 --> 00:02:59.000]  父親的重要性仍然都是一樣的
[00:02:59.000 --> 00:03:03.000]  父親的角色仍然都是那麼重要的
[00:03:03.000 --> 00:03:06.000]  我們就從這個故事裏面
[00:03:06.000 --> 00:03:11.000]  耶穌講這個繪席人口的故事裏面
[00:03:11.000 --> 00:03:12.000]  來思想父親
[00:03:12.000 --> 00:03:15.000]  亦都思想我們的天父
[00:03:15.000 --> 00:03:19.000]  他的角色和他的心腸
[00:03:19.000 --> 00:03:21.000]  這裏一開始就看到
[00:03:21.000 --> 00:03:24.000]  這個人的父親有兩個兒子
