
[00:00:00.000 --> 00:00:02.000]  一百二十三篇
[00:00:02.000 --> 00:00:04.000]  上次看了一百三十七篇
[00:00:04.000 --> 00:00:05.420]  一首歌《哀歌》
[00:00:05.420 --> 00:00:08.600]  今天我們繼續看這一首《尚行之詩》
[00:00:08.600 --> 00:00:11.400]  前一個禮拜左右
[00:00:11.400 --> 00:00:14.520]  我有一個很愉快的駕車經歷
[00:00:14.520 --> 00:00:17.160]  這個駕車經歷是怎樣呢
[00:00:17.160 --> 00:00:19.160]  可以看一看
[00:00:19.160 --> 00:00:25.160]  這條道路暢通無阻
[00:00:25.160 --> 00:00:28.280]  是不是好像十幾二十年前
[00:00:28.280 --> 00:00:30.280]  像拍屎一樣
[00:00:30.280 --> 00:00:33.680]  一路駕駛很開心
[00:00:33.680 --> 00:00:36.240]  陽光又不猛烈
[00:00:36.240 --> 00:00:38.240]  很柔和很舒服
[00:00:38.240 --> 00:00:44.560]  這個大概是黃昏六點多的時候
[00:00:44.560 --> 00:00:46.560]  在公路上
[00:00:46.560 --> 00:00:48.560]  有一個這麼舒服的環境
[00:00:48.560 --> 00:00:50.560]  一路駕駛很少會覺得
[00:00:50.560 --> 00:00:52.560]  真的很享受駕駛
[00:00:52.560 --> 00:00:54.560]  周圍又暢通無阻
[00:00:54.560 --> 00:00:56.560]  心情很舒暢
[00:00:56.560 --> 00:00:58.560]  不過告訴大家
[00:00:58.560 --> 00:01:00.560]  其實大家應該很明白
[00:01:00.560 --> 00:01:02.560]  在這裏生活了很久
[00:01:02.560 --> 00:01:04.560]  特別是交通越來越擠實
[00:01:04.560 --> 00:01:06.560]  天天
[00:01:06.560 --> 00:01:08.560]  不知道甚麼時間
[00:01:08.560 --> 00:01:10.560]  甚麼時候
[00:01:10.560 --> 00:01:12.560]  因為我經常回來教會
[00:01:12.560 --> 00:01:14.560]  我都要走freeway
[00:01:14.560 --> 00:01:16.560]  你預計不到它甚麼時候會塞
[00:01:16.560 --> 00:01:18.560]  我曾經試過前幾天早上出去
[00:01:18.560 --> 00:01:20.560]  塞了半個小時
[00:01:20.560 --> 00:01:22.560]  都移動了很少
[00:01:22.560 --> 00:01:24.560]  因為前面有交通意外
[00:01:24.560 --> 00:01:26.560]  有時候
[00:01:26.560 --> 00:01:28.560]  面對著這樣的交通很無奈
[00:01:28.560 --> 00:01:30.560]  心裏很煩躁
[00:01:30.560 --> 00:01:32.560]  為甚麼常常這樣塞
[00:01:32.560 --> 00:01:34.560]  一路駕駛
[00:01:34.560 --> 00:01:36.560]  都會很不開心
[00:01:36.560 --> 00:01:40.560]  弟兄姊妹
[00:01:40.560 --> 00:01:42.560]  的而且確
[00:01:42.560 --> 00:01:44.560]  我們身處的環境
[00:01:44.560 --> 00:01:46.560]  很影響我們
[00:01:46.560 --> 00:01:48.560]  有時的心情
[00:01:48.560 --> 00:01:52.560]  有時遇到開心的事情
[00:01:52.560 --> 00:01:54.560]  會開心暢快一點
[00:01:54.560 --> 00:01:56.560]  我們會很容易感謝神
[00:01:56.560 --> 00:01:58.560]  但是有時我們遇到一些
[00:01:58.560 --> 00:02:00.560]  挑戰一些困難
[00:02:00.560 --> 00:02:02.560]  我們祈禱了很久
[00:02:02.560 --> 00:02:04.560]  仍然覺得沒甚麼突破的時候
[00:02:04.560 --> 00:02:06.560]  我們的心會很沉
[00:02:06.560 --> 00:02:08.560]  甚至會很灰
[00:02:08.560 --> 00:02:10.560]  沒甚麼心機再去禱告
[00:02:10.560 --> 00:02:12.560]  甚至沒甚麼心機
[00:02:12.560 --> 00:02:14.560]  去聽神說話
[00:02:14.560 --> 00:02:16.560]  今天我們看這段經文
[00:02:16.560 --> 00:02:18.560]  詩篇123篇
[00:02:18.560 --> 00:02:20.560]  上次137篇
[00:02:20.560 --> 00:02:22.560]  是一首愛歌
[00:02:22.560 --> 00:02:24.560]  是說到這一班
[00:02:24.560 --> 00:02:26.560]  以色列人
[00:02:26.560 --> 00:02:28.560]  他們亡了國
