
[00:00:00.000 --> 00:00:02.000]  各位地天姐妹朋友們早安
[00:00:02.000 --> 00:00:07.000]  很高興今天來跟各位分享信息
[00:00:07.000 --> 00:00:14.000]  今年我們從2017年進2018年過了一半
[00:00:14.000 --> 00:00:19.000]  從5777年進入5778年過了一半
[00:00:19.000 --> 00:00:24.000]  我們知道我們七是一個完全 一個完成
[00:00:24.000 --> 00:00:27.000]  所以八是一個新的開始
[00:00:27.000 --> 00:00:30.000]  所以新的開始 神有新的工作
[00:00:30.000 --> 00:00:33.000]  祂要賜給我們新的恩高
[00:00:33.000 --> 00:00:39.000]  那麼恩高的意思是說神的手在運作
[00:00:39.000 --> 00:00:43.000]  所以你就可以看出來你所做的功有果效
[00:00:43.000 --> 00:00:47.000]  我們教會的意向是新的季節 新的恩高
[00:00:47.000 --> 00:00:50.000]  New season, new anointing
[00:00:50.000 --> 00:00:54.000]  那麼我們再一次求神賜給我們這個新的恩高
[00:00:54.000 --> 00:00:57.000]  那麼第一頁我講的是說我們要挑戰
[00:00:57.000 --> 00:01:00.000]  面對神新的季節
[00:01:00.000 --> 00:01:03.000]  我們要來挑戰這個新的季節
[00:01:03.000 --> 00:01:09.000]  所以我們就要再一次的相信我們的神仍然在掌權作王
[00:01:09.000 --> 00:01:13.000]  雖然也有許多的不如意 不順利
[00:01:13.000 --> 00:01:17.000]  但是你要相信 祂仍然是做的為王
[00:01:17.000 --> 00:01:20.000]  不然我們早就喪膽 沒有命
[00:01:20.000 --> 00:01:25.000]  而且我們要敏銳神季節的轉換
[00:01:25.000 --> 00:01:28.000]  我最喜歡舉的例子 要像老鷹一樣
[00:01:28.000 --> 00:01:31.000]  祂能夠抓住這個風
[00:01:31.000 --> 00:01:34.000]  英文說祂就soar like an eagle
[00:01:34.000 --> 00:01:38.000]  乘風而上 翱翔千里
[00:01:38.000 --> 00:01:41.000]  我們也要明白我們神供應的原則
[00:01:41.000 --> 00:01:45.000]  祂怎麼樣供應我們 怎麼樣帶領我們
[00:01:45.000 --> 00:01:51.000]  神 我常常喜歡講 祂不是說把現成的果子給你
[00:01:51.000 --> 00:01:54.000]  祂是給你種子
