
[00:00:00.000 --> 00:00:04.760]  有一本書叫做《改變世界的一百份文件》
[00:00:04.760 --> 00:00:07.480]  我舉不到一百個例子
[00:00:07.480 --> 00:00:08.960]  我舉三個例子
[00:00:08.960 --> 00:00:11.520]  其中一些是很特別的文件
[00:00:11.520 --> 00:00:13.640]  包括1854年
[00:00:13.640 --> 00:00:16.720]  有一個內科醫生叫斯諾·強斯諾
[00:00:16.720 --> 00:00:20.160]  他製作了一個叫做《霍亂地圖》
[00:00:20.160 --> 00:00:21.920]  正是因為這份文件
[00:00:21.920 --> 00:00:26.880]  帶來一個公共衛生系統的徹底改變
[00:00:26.880 --> 00:00:34.600]  並且催生了後來拯救了無數生命的流行病學
[00:00:34.600 --> 00:00:41.720]  第二份文件是1947年出版的《安妮日記》
[00:00:41.720 --> 00:00:45.640]  是描述一位少女在二次大戰的時候躲在密室
[00:00:45.640 --> 00:00:47.240]  後來被人告發
[00:00:47.240 --> 00:00:49.920]  就死在德國的集中營
[00:00:49.920 --> 00:00:53.480]  這個日記是描述這個少女的心路歷程
[00:00:53.480 --> 00:00:58.160]  當人們看到這份日記的時候
[00:00:58.160 --> 00:01:01.880]  人們就開始千千萬萬的人去思考
[00:01:01.880 --> 00:01:05.840]  究竟戰爭的意義是什麼呢
[00:01:05.840 --> 00:01:09.400]  第三份是1962年《披頭四樂隊》
[00:01:09.400 --> 00:01:13.880]  與當時的科藝百代唱片公司所簽的合同
[00:01:13.880 --> 00:01:17.560]  這一份合同開始展開了一個
[00:01:17.560 --> 00:01:21.640]  席捲全球的流行音樂的風潮
[00:01:21.640 --> 00:01:23.920]  這本書收集這一百份文件
[00:01:23.920 --> 00:01:25.840]  其實是一些很普通的紙
[00:01:25.840 --> 00:01:28.040]  但是這些很普通的紙
[00:01:28.040 --> 00:01:33.680]  卻是能夠扭轉這個世界歷史發展的重要文件
[00:01:33.680 --> 00:01:37.720]  大家知道今天我們講到的主題是光
[00:01:37.720 --> 00:01:40.080]  有些光你平時看到很多光
[00:01:40.080 --> 00:01:44.000]  在我們日常生活上經常都能看到光
[00:01:44.000 --> 00:01:48.320]  但是聖經裡面所講的真光卻一點都不簡單
[00:01:48.320 --> 00:01:53.120]  因為真光有扭轉人生命的能力
[00:01:53.120 --> 00:01:55.200]  究竟真光是怎麼來的呢
[00:01:55.200 --> 00:01:57.720]  讓我們一起看今天第一段的聖經
[00:01:57.720 --> 00:02:01.560]  《約翰福音》一章一至二節
[00:02:01.560 --> 00:02:02.760]  可能很多的弟兄姐妹都很熟悉
[00:02:02.760 --> 00:02:03.760]  我們一起讀這段聖經
[00:02:03.760 --> 00:02:05.040]  一二三
[00:02:05.040 --> 00:02:08.480]  太初有道 道與神同在
[00:02:08.480 --> 00:02:10.120]  道就是神
[00:02:10.120 --> 00:02:13.520]  者道太初與神同在
[00:02:13.520 --> 00:02:15.280]  當我們看太初的時候
[00:02:15.280 --> 00:02:17.680]  我不知道大家有沒有聯想起
[00:02:17.680 --> 00:02:21.680]  在《創世記》都有這個字
[00:02:21.680 --> 00:02:22.800]  類似這個字
[00:02:22.800 --> 00:02:27.000]  我們來看《創世記》一章一至三節
[00:02:27.000 --> 00:02:27.800]  讓我們一起讀
[00:02:27.800 --> 00:02:28.960]  一二三
[00:02:28.960 --> 00:02:31.480]  起初神創造天地
[00:02:31.480 --> 00:02:33.720]  地是空虛混沌
[00:02:33.720 --> 00:02:35.200]  冤眠黑暗
[00:02:35.200 --> 00:02:39.440]  神說要有光就有了過
[00:02:39.440 --> 00:02:42.840]  其實太初和起初
[00:02:42.840 --> 00:02:47.360]  在原文七十字本是同一個字
[00:02:47.360 --> 00:02:50.840]  但這兩個字有完全不同的解釋
[00:02:50.840 --> 00:02:53.440]  完全不同的意思
[00:02:53.440 --> 00:02:58.120]  其實起初是在說神創造的開始
[00:02:58.120 --> 00:03:00.520]  也是時間的開始
[00:03:00.520 --> 00:03:02.120]  但是太初就不同了
[00:03:02.120 --> 00:03:06.640]  太初是在說時間開始之前的事
[00:03:06.640 --> 00:03:09.240]  所以完全是兩個不同的事
[00:03:09.240 --> 00:03:11.360]  你留意那個藍色的字有
[00:03:11.360 --> 00:03:13.160]  太初有道那個有
[00:03:13.160 --> 00:03:16.040]  這個有字其實那個原文
[00:03:16.040 --> 00:03:18.600]  是過去未完成式
[00:03:18.600 --> 00:03:20.280]  其實是在說什麼呢
[00:03:20.280 --> 00:03:26.760]  是在說道的存在
[00:03:26.760 --> 00:03:27.720]  紅色那個字
[00:03:27.720 --> 00:03:30.720]  道的存在是連續下去
[00:03:30.720 --> 00:03:32.760]  不受時間限制
[00:03:32.760 --> 00:03:34.520]  也是我們經常都知道的
[00:03:34.520 --> 00:03:37.280]  自有永有
[00:03:37.280 --> 00:03:39.320]  這個道究竟是什麼來的呢
