
[00:00:00.000 --> 00:00:04.560]  大家好,一起讀聖經,生命樹陪著你
[00:00:04.560 --> 00:00:07.640]  每一天都是聖經人、聖經時
[00:00:07.640 --> 00:00:11.280]  看看上帝在後面做甚麼工作
[00:00:11.280 --> 00:00:12.720]  認識祂多些
[00:00:12.720 --> 00:00:16.880]  亦看到人自我認識頗軟弱
[00:00:16.880 --> 00:00:19.480]  今天繼續看《士師記》
[00:00:19.480 --> 00:00:21.920]  由於我們已入到《士師記》
[00:00:21.920 --> 00:00:24.920]  在歷史書裏約書記之後
[00:00:24.920 --> 00:00:26.720]  下一卷就到《士師》
[00:00:26.720 --> 00:00:31.040]  《士師記》有一個很有趣的惡性循環
[00:00:31.040 --> 00:00:35.560]  不停繞圈,而且是負面的
[00:00:35.560 --> 00:00:37.360]  所以是惡性循環
[00:00:37.360 --> 00:00:38.280]  看看
[00:00:38.280 --> 00:00:42.800]  《士師記》第二章第十四節
[00:00:42.800 --> 00:00:46.040]  藍色是第一點
[00:00:46.040 --> 00:00:47.440]  看看字先
[00:00:47.440 --> 00:00:52.800]  「耶和華的怒氣向以色列人發作」
[00:00:52.800 --> 00:01:00.320]  螢光了的就是要講的主題重點
[00:01:00.320 --> 00:01:01.160]  第一點
[00:01:01.160 --> 00:01:05.960]  「耶和華的怒氣向以色列人發作」
[00:01:05.960 --> 00:01:12.200]  「就把他們交在搶奪他們的人手中」
[00:01:12.200 --> 00:01:17.600]  「又將他們賦予四位仇敵的手中」
[00:01:17.600 --> 00:01:23.640]  「甚至他們在仇敵面前再不能站立得住」
[00:01:23.640 --> 00:01:25.400]  看看這一點
[00:01:25.400 --> 00:01:29.920]  「耶和華的怒氣向以色列人發作」
[00:01:29.920 --> 00:01:34.200]  發作的時候是怎樣發作的呢?
[00:01:34.200 --> 00:01:40.720]  就是將他們交在搶奪他們的人手中
[00:01:40.720 --> 00:01:46.280]  讓被搶奪的人成功搶到他們的東西
[00:01:46.280 --> 00:01:48.280]  怎樣搶到他們的東西呢?
[00:01:48.280 --> 00:01:54.360]  由於以色列人附近沒有聽到神的話
[00:01:54.360 --> 00:01:58.840]  沒有跟著神當日跟他們納入迦南地納的約
[00:01:58.840 --> 00:02:04.000]  「我送你們進去,幫你們趕走當地的人」
[00:02:04.000 --> 00:02:07.960]  「你們要麼殺了他們,要麼全趕走」
[00:02:07.960 --> 00:02:10.400]  「或者牛羊生畜都不要」
[00:02:10.400 --> 00:02:14.520]  「最重要是毀壞他們拜神的壇」
[00:02:14.520 --> 00:02:18.240]  「不可以跟他們來往,不可以通婚」
[00:02:18.240 --> 00:02:21.960]  「不可以侍奉他們的神,記得」
[00:02:21.960 --> 00:02:25.520]  他們會這樣進去,誰知沒有做
[00:02:25.520 --> 00:02:28.040]  沒有做的時候,其實是
[00:02:28.040 --> 00:02:31.280]  「耶和華的怒氣向以色列人發作」
[00:02:31.280 --> 00:02:35.520]  就是將他們交在搶奪他們的人手中
[00:02:35.520 --> 00:02:39.360]  剩下的當地的民族
[00:02:39.360 --> 00:02:41.520]  他們站穩之後
[00:02:41.520 --> 00:02:46.240]  他們或者在附近的民族走進來搶他們的東西
[00:02:46.240 --> 00:02:49.040]  怎樣搶呢?何時搶呢?
[00:02:49.040 --> 00:02:51.880]  如果要搶你的農作物
[00:02:51.880 --> 00:02:54.440]  會不會在你播種的時候搶呢?
[00:02:54.440 --> 00:02:55.880]  當然不會
[00:02:55.880 --> 00:02:58.680]  等你收割好的時候去搶
[00:02:58.680 --> 00:03:02.160]  因為這樣才一年半載的
[00:03:02.160 --> 00:03:05.080]  老虎的耕種一下子搶完
[00:03:05.080 --> 00:03:07.520]  他根本不用做,馬上跑上山
