
[00:00:00.000 --> 00:00:02.600]  在醫學講座之前
[00:00:02.600 --> 00:00:04.400]  通常我們都要申報
[00:00:04.400 --> 00:00:08.000]  我們沒有藥廠贊助今天這個聚會
[00:00:08.000 --> 00:00:09.480]  雖然Rita說
[00:00:09.480 --> 00:00:12.800]  待會我們有一個特效藥介紹給大家
[00:00:12.800 --> 00:00:15.200]  但是沒有藥廠贊助
[00:00:15.200 --> 00:00:17.600]  我是沒有這個conflict of interest的
[00:00:17.600 --> 00:00:21.300]  今天是23日
[00:00:21.300 --> 00:00:25.400]  我想是今年入冬以來最冷的一天
[00:00:25.400 --> 00:00:27.600]  大家知不知道外面有多少度?
[00:00:28.800 --> 00:00:30.700]  在市區可能七八度
[00:00:30.700 --> 00:00:32.100]  但是今早起床
[00:00:32.100 --> 00:00:34.700]  有一位朋友發了WhatsApp
[00:00:34.700 --> 00:00:37.600]  在昂坪結冰了
[00:00:37.600 --> 00:00:40.800]  香港雖然今天天氣寒冷
[00:00:40.800 --> 00:00:42.900]  不過有些地方
[00:00:42.900 --> 00:00:46.100]  特別是向北的地方可能會結冰
[00:00:46.100 --> 00:00:48.700]  但是我們今天沒有雨
[00:00:48.700 --> 00:00:49.800]  也沒有下雪
[00:00:49.800 --> 00:00:53.000]  所以大家都很平安來到教會
[00:00:53.000 --> 00:00:55.600]  再跟大家說一聲主內平安
[00:00:55.600 --> 00:00:58.100]  各位哥哥姐姐
[00:00:58.100 --> 00:00:59.700]  叔叔阿姨你好
[00:00:59.700 --> 00:01:02.700]  我們今天的講座
[00:01:02.700 --> 00:01:04.400]  剛才Rita也說了
[00:01:04.400 --> 00:01:06.500]  長者庸弱須知
[00:01:06.500 --> 00:01:08.600]  我想做一個調查
[00:01:08.600 --> 00:01:10.600]  想請大家
[00:01:10.600 --> 00:01:12.600]  因為天氣這麼冷
[00:01:12.600 --> 00:01:15.000]  我們也要如何禦寒
[00:01:15.000 --> 00:01:18.100]  其中一個方法不是穿多一點衣服
[00:01:18.100 --> 00:01:19.500]  是要多一點活動
[00:01:19.500 --> 00:01:22.300]  想請大家站起來好不好?
[00:01:24.500 --> 00:01:29.800]  跟隔壁的弟兄姊妹或朋友問安好不好?
[00:01:29.800 --> 00:01:45.200]  好了,伸展一下手腳
[00:01:45.200 --> 00:01:48.700]  冬天也要多做運動
[00:01:48.700 --> 00:01:51.800]  大家保持站立
[00:01:51.800 --> 00:01:53.800]  因為我想問問大家
[00:01:54.000 --> 00:01:57.200]  今天來的弟兄姊妹或朋友
[00:01:57.200 --> 00:02:00.100]  誰是八十後的
[00:02:00.100 --> 00:02:01.200]  就請坐下來
[00:02:01.200 --> 00:02:02.500]  八十後
[00:02:02.500 --> 00:02:08.400]  也不少八十後的哥哥姐姐
[00:02:08.400 --> 00:02:10.700]  七十後呢?
[00:02:10.700 --> 00:02:12.800]  又有
[00:02:12.800 --> 00:02:17.200]  站著的弟兄姊妹是不是來錯地方了?
[00:02:17.200 --> 00:02:19.900]  不是
[00:02:19.900 --> 00:02:23.700]  如果各位在座的弟兄姊妹或朋友
[00:02:23.700 --> 00:02:24.900]  仍然站著
[00:02:24.900 --> 00:02:28.700]  但是關心我們身邊的長者庸弱須知
[00:02:28.700 --> 00:02:29.900]  那就可以坐下了
[00:02:29.900 --> 00:02:34.900]  我們每一個都是未來長者
[00:02:34.900 --> 00:02:36.600]  所以剛才Rita說
[00:02:36.600 --> 00:02:39.300]  看過我的資料覺得她也受用
[00:02:39.300 --> 00:02:41.900]  其實我跟她相差距離也很近
[00:02:41.900 --> 00:02:44.300]  不像一些阿姨,差不多二十年了
[00:02:44.300 --> 00:02:48.500]  我們今天說的專題就是長者庸弱
[00:02:48.500 --> 00:02:53.900]  我其實在香港做老人科醫生也超過二十年了
[00:02:53.900 --> 00:03:01.600]  但是用藥的問題仍然很困擾我們一些醫護界
[00:03:01.600 --> 00:03:04.000]  例如是老人科醫生
[00:03:04.000 --> 00:03:06.200]  或者是做外展的護士
[00:03:06.200 --> 00:03:08.500]  他上到一些長者家裡
[00:03:08.500 --> 00:03:11.100]  也會看到一些長者家裡
[00:03:11.100 --> 00:03:12.800]  是一袋一袋的藥
[00:03:12.800 --> 00:03:14.300]  他們捨不得扔掉
