
[00:00:00.000 --> 00:00:02.400]  上星期我們的童宮講到的時候
[00:00:02.400 --> 00:00:04.600]  它是講到《馬可福音》第六章
[00:00:04.600 --> 00:00:06.200]  去到最後的部分
[00:00:06.200 --> 00:00:10.200]  當時的部分包括了兩個很重要的神蹟
[00:00:10.200 --> 00:00:12.800]  一個是五餅二魚的神蹟
[00:00:12.800 --> 00:00:17.300]  一個是耶穌在海上行走的神蹟
[00:00:17.300 --> 00:00:19.900]  當然到了第六章結尾的時候
[00:00:19.900 --> 00:00:21.100]  其實在結尾那邊
[00:00:21.100 --> 00:00:25.000]  馬可仍然是講了耶穌
[00:00:25.000 --> 00:00:30.000]  其實是不斷在做一些不同的神蹟
[00:00:30.000 --> 00:00:31.400]  所以第六章結尾
[00:00:31.400 --> 00:00:35.100]  其實是在講耶穌行了很多神蹟的歧視
[00:00:35.100 --> 00:00:37.100]  但是到了第七章
[00:00:37.100 --> 00:00:39.500]  我們發覺耶穌就開始有些轉變
[00:00:39.500 --> 00:00:43.000]  這個轉變就是祂開始去教導
[00:00:43.000 --> 00:00:44.100]  我經常都講
[00:00:44.100 --> 00:00:47.000]  我們童福是一間The Word and Power Church
[00:00:47.000 --> 00:00:48.700]  我們說是有神的說話
[00:00:48.700 --> 00:00:50.000]  是有神的能力
[00:00:50.000 --> 00:00:52.400]  我們的耶穌不會七二四
[00:00:52.400 --> 00:00:55.200]  一年三百五十五天天天在行神蹟
[00:00:55.200 --> 00:00:57.900]  我們的耶穌同樣在適當的時間
[00:00:57.900 --> 00:00:59.000]  祂會行神蹟
[00:00:59.000 --> 00:01:02.200]  在適當的時間祂也會去講道
[00:01:02.200 --> 00:01:03.700]  也會教導
[00:01:03.700 --> 00:01:06.000]  而今天當我們去看聖經的時候
[00:01:06.000 --> 00:01:08.500]  去到第七章第一節的時候
[00:01:08.500 --> 00:01:11.200]  我們發覺很特別的一句經文
[00:01:11.200 --> 00:01:14.800]  它就說有一班法利賽人和一些文士
[00:01:14.800 --> 00:01:19.300]  是從耶路撒冷去到耶穌聚會的地方
[00:01:19.300 --> 00:01:22.800]  很有趣的 文士和法利賽人
[00:01:22.800 --> 00:01:25.300]  他們說是從耶路撒冷
[00:01:25.300 --> 00:01:28.000]  去到耶穌聚集的地方
[00:01:28.000 --> 00:01:29.200]  很多教經家就說
[00:01:29.200 --> 00:01:32.300]  為什麼這班法利賽人和文士
[00:01:32.300 --> 00:01:35.100]  他們會去找到耶穌呢?
[00:01:35.100 --> 00:01:36.800]  因為法利賽人和文士
[00:01:36.800 --> 00:01:37.900]  如果看回福音書
[00:01:37.900 --> 00:01:41.100]  他們永遠和耶穌是對抗的
[00:01:41.100 --> 00:01:43.500]  他們是最不喜歡耶穌的教導
[00:01:43.500 --> 00:01:45.800]  但是他們特地去找耶穌
[00:01:45.800 --> 00:01:46.900]  但是同一時間
[00:01:46.900 --> 00:01:49.500]  他們也知道耶穌在哪裡
[00:01:49.500 --> 00:01:51.100]  所以很多教經家就說
[00:01:51.100 --> 00:01:53.300]  可能去到那個時間
[00:01:53.300 --> 00:01:55.300]  耶穌已經開始出名
[00:01:55.300 --> 00:01:56.700]  所以耶穌去到哪裡
[00:01:56.700 --> 00:01:59.100]  都會吸引不同的人
[00:01:59.100 --> 00:02:00.700]  去到耶穌的面前
[00:02:00.700 --> 00:02:03.600]  來聽耶穌的教導
[00:02:03.600 --> 00:02:04.500]  很明顯
[00:02:04.500 --> 00:02:06.800]  法利賽人和文士
[00:02:06.800 --> 00:02:09.300]  這一班是嚴守律法
[00:02:09.300 --> 00:02:11.600]  也都對律法很清晰
[00:02:11.600 --> 00:02:15.000]  甚至是教導律法的一班文士
[00:02:15.000 --> 00:02:18.100]  他們絕對不是去聽耶穌的教導
[00:02:18.100 --> 00:02:22.300]  因為他們和耶穌永遠都是對抗的
[00:02:22.300 --> 00:02:23.900]  但是很明顯
[00:02:23.900 --> 00:02:25.300]  他們去找耶穌做什麼呢?
[00:02:25.300 --> 00:02:26.900]  用今天的術語
[00:02:26.900 --> 00:02:28.700]  就是去踢館
[00:02:28.700 --> 00:02:30.900]  去撩交嗌
[00:02:30.900 --> 00:02:32.700]  他們在喊什麼「交」呢?
[00:02:32.700 --> 00:02:33.700]  他們走到耶穌那裡
[00:02:33.700 --> 00:02:36.000]  問了耶穌一個問題
[00:02:36.000 --> 00:02:37.300]  一個事實
[00:02:37.300 --> 00:02:38.600]  他們說:耶穌!耶穌!
[00:02:38.600 --> 00:02:40.600]  我看到他們這班門徒
[00:02:40.600 --> 00:02:42.200]  他們看到耶穌的門徒
[00:02:42.200 --> 00:02:44.400]  吃飯之前不洗手
[00:02:44.400 --> 00:02:46.000]  就這麼簡單
[00:02:46.000 --> 00:02:47.400]  他說:耶穌!
[00:02:47.400 --> 00:02:49.300]  為什麼你的門徒
[00:02:49.300 --> 00:02:51.900]  吃飯之前不洗手?
[00:02:51.900 --> 00:02:54.500]  他不敢說耶穌吃飯之前不洗手
[00:02:54.500 --> 00:02:55.900]  因為耶穌可能做了
[00:02:55.900 --> 00:02:58.900]  他說:那班門徒吃飯之前不洗手
