
[00:00:00.000 --> 00:00:03.640]  很高興能夠和大家繼續去思想聖經神的華語
[00:00:03.640 --> 00:00:09.680]  今天和大家繼續看一個已忽所書的
[00:00:09.680 --> 00:00:11.100]  看這個已忽所書的
[00:00:11.100 --> 00:00:13.380]  其實應該不是已忽所書
[00:00:13.380 --> 00:00:14.980]  是已忽所教會的
[00:00:14.980 --> 00:00:18.780]  但是上一次上一個主日和大家
[00:00:18.780 --> 00:00:20.400]  應該不是上一個主日
[00:00:20.400 --> 00:00:21.500]  是不是上一個主日來的?
[00:00:21.500 --> 00:00:23.300]  我上一個主日是不是在這裡?
[00:00:23.300 --> 00:00:24.800]  是不是?
[00:00:24.800 --> 00:00:26.600]  是喔 是不是?
[00:00:26.600 --> 00:00:27.960]  我不是上一個主日
[00:00:27.960 --> 00:00:28.740]  早前不是說到
[00:00:28.740 --> 00:00:30.580]  不是喔 不是我說到
[00:00:30.580 --> 00:00:31.280]  OK
[00:00:31.280 --> 00:00:34.340]  我是會混到亂七八糟的
[00:00:34.340 --> 00:00:35.280]  不過不要緊
[00:00:35.280 --> 00:00:37.940]  上一次和大家思想這個
[00:00:37.940 --> 00:00:41.340]  這個啟示號的七教會
[00:00:41.340 --> 00:00:43.340]  第一個教會和大家分享的
[00:00:43.340 --> 00:00:44.640]  就是已忽所教會
[00:00:44.640 --> 00:00:46.540]  正如我曾經和大家說過
[00:00:46.540 --> 00:00:48.440]  已忽所這個教會
[00:00:48.440 --> 00:00:53.140]  我們對它的資料和認識是最多的
[00:00:53.140 --> 00:00:56.040]  原因之一就是因為有已忽所書
[00:00:56.040 --> 00:00:56.740]  是不是?
[00:00:56.740 --> 00:00:58.540]  很有關係的
[00:00:58.540 --> 00:01:05.140]  因為當主耶穌基督去給這個啟示約翰的時候
[00:01:05.140 --> 00:01:10.440]  應該也是離開這個已忽所教會的成立
[00:01:10.440 --> 00:01:12.340]  大約是幾十年的時間的
[00:01:12.340 --> 00:01:15.240]  所以已忽所教會我們有很多的資料
[00:01:15.240 --> 00:01:17.040]  甚至是使徒行傳
[00:01:17.040 --> 00:01:19.540]  在大家的副頁裡面
[00:01:19.540 --> 00:01:20.440]  使徒行傳
[00:01:20.440 --> 00:01:22.340]  都有很多是講到
[00:01:22.340 --> 00:01:24.940]  關於保羅去到已忽所教會的地方
[00:01:24.940 --> 00:01:26.640]  上一次曾經提過
[00:01:26.640 --> 00:01:27.840]  已忽所教會
[00:01:27.840 --> 00:01:29.540]  它可以說是得天獨厚的
[00:01:29.540 --> 00:01:34.140]  它是有最好最好最好最優秀的
[00:01:34.140 --> 00:01:37.940]  牧師傳道的人在這裡
[00:01:37.940 --> 00:01:39.240]  保羅在這裡
[00:01:39.240 --> 00:01:40.240]  不止這一陣子
[00:01:40.240 --> 00:01:41.740]  是有幾年的時間
[00:01:41.740 --> 00:01:43.340]  還有阿波羅
[00:01:43.340 --> 00:01:44.740]  這個很厲害
[00:01:44.740 --> 00:01:47.840]  還有阿基拉和伯基拉這對夫婦
[00:01:47.840 --> 00:01:51.840]  又是一個超級評訊徒
[00:01:51.840 --> 00:01:52.440]  你可以說是
[00:01:52.440 --> 00:01:53.240]  如果你用它
[00:01:53.240 --> 00:01:55.240]  一個評訊徒的領袖
[00:01:55.240 --> 00:01:58.140]  甚至對聖經的真理的研究學習
[00:01:58.140 --> 00:01:59.340]  它是真的很厲害的
[00:01:59.340 --> 00:02:01.040]  它去教導阿波羅
[00:02:01.040 --> 00:02:02.840]  甚至教導阿波羅
[00:02:02.840 --> 00:02:03.940]  還有提摩泰
[00:02:03.940 --> 00:02:05.240]  提摩泰也在這裡
[00:02:05.240 --> 00:02:07.540]  還有當然少不了的是什麼
[00:02:07.540 --> 00:02:08.740]  就是寫約翰福音
[00:02:08.740 --> 00:02:11.540]  約翰一二三書和啟示錄的約翰
[00:02:11.540 --> 00:02:12.440]  使徒約翰
[00:02:12.440 --> 00:02:16.540]  都是在這個已忽所教會曾經牧養過的
[00:02:16.540 --> 00:02:17.640]  還有一個
[00:02:17.640 --> 00:02:19.840]  這個也是很厲害的
[00:02:19.840 --> 00:02:21.240]  瑪利亞
[00:02:21.240 --> 00:02:22.440]  耶穌基督的母親
[00:02:22.440 --> 00:02:23.940]  也在已忽所這個地方
[00:02:23.940 --> 00:02:26.040]  是居住過一段時間
[00:02:26.040 --> 00:02:31.040]  那麼你說它是不是得天獨厚呢
[00:02:31.040 --> 00:02:33.140]  所以我們上一次也看過
[00:02:33.140 --> 00:02:34.640]  已忽所這個教會
[00:02:34.640 --> 00:02:37.540]  我們看回這個聖經的經文
[00:02:37.540 --> 00:02:39.240]  那麼你看到就是講到什麼呢
[00:02:39.240 --> 00:02:42.840]  就是我知道你的行為
[00:02:42.840 --> 00:02:43.940]  或者用工作
[00:02:43.940 --> 00:02:46.640]  這個行為和工作這個字
[00:02:46.640 --> 00:02:47.840]  其實一直下去
[00:02:47.840 --> 00:02:49.140]  在原文裡面
[00:02:49.140 --> 00:02:51.040]  重複又重複了很多次
[00:02:51.040 --> 00:02:53.040]  行為或者是他的工作
[00:02:53.040 --> 00:02:54.540]  或者用一個字眼
[00:02:54.540 --> 00:02:56.840]  他的行事為人
[00:02:56.840 --> 00:02:59.140]  行事為人
[00:02:59.140 --> 00:03:01.540]  其實工作和你的行事為人
[00:03:01.540 --> 00:03:03.140]  都很有關係的
