
[00:00:00.000 --> 00:00:03.560]  各位弟兄姊妹聖誕平安
[00:00:03.560 --> 00:00:06.160]  感謝神讓我們可以在今天早上一齊
[00:00:06.160 --> 00:00:08.760]  來紀念主耶穌的降生
[00:00:08.760 --> 00:00:10.000]  不單只是一個人
[00:00:10.000 --> 00:00:12.240]  而是我們弟兄姊妹一齊同心的
[00:00:12.240 --> 00:00:15.920]  來敬拜讚美這位降生
[00:00:15.920 --> 00:00:18.600]  臨在我們當中的上帝
[00:00:18.600 --> 00:00:21.000]  在剛才獅班獻唱的時候
[00:00:21.000 --> 00:00:23.080]  我相信大家都會感受到
[00:00:23.080 --> 00:00:27.800]  這位上帝是創造又拯救的上帝
[00:00:27.800 --> 00:00:30.240]  我們更多認識主
[00:00:30.240 --> 00:00:32.880]  更深感受那份喜樂
[00:00:32.880 --> 00:00:35.560]  更多去感謝這位上帝
[00:00:35.560 --> 00:00:37.080]  大家一起祈禱
[00:00:37.080 --> 00:00:43.000]  再一次獻上我們的感恩
[00:00:43.000 --> 00:00:45.560]  主耶穌我們感謝祢
[00:00:45.560 --> 00:00:47.480]  道成肉身
[00:00:47.480 --> 00:00:51.280]  永恆的上帝臨在我們當中
[00:00:51.280 --> 00:00:55.440]  充充滿滿有恩典及真理
[00:00:55.440 --> 00:00:57.160]  主我們知道
[00:00:57.160 --> 00:01:02.200]  在祢自己永恆的創造及拯救的計劃中
[00:01:02.200 --> 00:01:05.080]  充滿著一切奇妙的奧秘
[00:01:05.080 --> 00:01:07.720]  今天祢透過祢自己的降生
[00:01:07.720 --> 00:01:10.360]  祢都向我們顯明出來
[00:01:10.360 --> 00:01:12.920]  主有一天祢會再降臨
[00:01:12.920 --> 00:01:15.080]  說要來拯救我們
[00:01:15.080 --> 00:01:18.720]  讓我們有完全的救恩
[00:01:18.720 --> 00:01:22.040]  主當我們等候祢自己的再來的時候
[00:01:22.040 --> 00:01:26.280]  也都會想在歷史當中祢曾經降生
[00:01:26.280 --> 00:01:28.680]  帶給我們人生的盼望
[00:01:28.680 --> 00:01:31.440]  而今天祢給我們對永恆
[00:01:31.440 --> 00:01:35.680]  也都帶著一個完全的盼望
[00:01:35.680 --> 00:01:37.120]  因此我們到祢的面前來
[00:01:37.120 --> 00:01:38.360]  我們敬拜祢
[00:01:38.360 --> 00:01:40.240]  我們感謝祢
[00:01:40.240 --> 00:01:42.160]  我們如今再次在祢面前
[00:01:42.160 --> 00:01:43.720]  眾弟兄姊妹
