
[00:00:00.000 --> 00:00:04.820]  今天是我們大年初四
[00:00:04.820 --> 00:00:07.060]  所以在這裏向大家拜個晚年
[00:00:07.060 --> 00:00:09.500]  能夠陽年蒙福
[00:00:09.500 --> 00:00:12.220]  天天靠祖高陽得勝
[00:00:12.220 --> 00:00:14.140]  Amen
[00:00:14.140 --> 00:00:22.300]  這次我在非洲其實有兩個很重要的任務
[00:00:22.300 --> 00:00:27.620]  第一個就是去帶領每年一度的非洲牧者領導會
[00:00:27.620 --> 00:00:31.500]  以前叫做西非牧者領導會
[00:00:31.500 --> 00:00:37.100]  但是這幾年我們的士工已經不只是單單在西非了
[00:00:37.100 --> 00:00:41.540]  這幾年神帶領我們進入到中非的克麥隆這個國家
[00:00:41.540 --> 00:00:45.540]  以及南非的南非共和國這個國家
[00:00:45.540 --> 00:00:48.740]  我們也看見我們的士工發展在語言上
[00:00:48.740 --> 00:00:53.380]  我們也不單單侷限在英屬跟法屬的國家而已
[00:00:53.380 --> 00:00:59.500]  我們現在進入到葡萄牙語系的幾內亞比索這個國家
[00:00:59.500 --> 00:01:02.380]  所以我們看見真的神讓我們這些年的工作
[00:01:02.380 --> 00:01:04.980]  非常快速地在非洲擴展
[00:01:04.980 --> 00:01:10.220]  上禮拜我們有將近一百位牧者聚集在多哥
[00:01:10.220 --> 00:01:12.740]  我告訴你當我們在一起聚集的時候
[00:01:12.740 --> 00:01:14.780]  大家見面真的好熱鬧
[00:01:14.780 --> 00:01:16.180]  就像一個家人
[00:01:16.180 --> 00:01:18.500]  就像家庭一年見一次面
[00:01:18.500 --> 00:01:19.420]  好高興
[00:01:19.420 --> 00:01:20.860]  非常的熱鬧
[00:01:20.860 --> 00:01:25.340]  所以雖然中國新年沒辦法在自己家裏過
[00:01:25.340 --> 00:01:28.540]  但是感謝主在那裏過一個神國新年也是很好的
[00:01:28.540 --> 00:01:29.420]  Hallelujah
[00:01:29.420 --> 00:01:31.540]  一樣的溫暖一樣的喜樂
[00:01:31.540 --> 00:01:32.620]  你們
[00:01:32.620 --> 00:01:36.220]  這一次不單單是去帶領牧者領導會
[00:01:36.220 --> 00:01:37.540]  我們另外還有一個使命
[00:01:37.540 --> 00:01:41.260]  就是希望能夠在多哥跟貝南兩個國家
[00:01:41.260 --> 00:01:47.900]  我們能夠拍攝一個我們從2000年開始進入非洲的紀錄片
[00:01:47.900 --> 00:01:51.180]  因爲有很多的外景需要在外面拍
[00:01:51.180 --> 00:01:54.420]  再加上多次的NG重拍
[00:01:54.420 --> 00:01:58.540]  所以很多人說我回來變個小黑人了
[00:01:58.540 --> 00:02:01.660]  不過感謝神我們順利地完成所有的拍攝
[00:02:01.660 --> 00:02:05.620]  希望在今年20週年特會以前
[00:02:05.620 --> 00:02:08.740]  我們希望製作完成能夠呈現給我們的神
[00:02:08.740 --> 00:02:09.980]  Amen
[00:02:09.980 --> 00:02:11.860]  當然這次在貝南也有機會
[00:02:11.860 --> 00:02:16.460]  我拜訪了貝南環保部的部長叫Idu
[00:02:16.460 --> 00:02:18.140]  他是一位非常好的基督徒
[00:02:18.140 --> 00:02:20.220]  這是我第二次見到他了
[00:02:20.220 --> 00:02:21.060]  他就跟我講到
[00:02:21.060 --> 00:02:23.260]  其實每天早上他上班的時候
[00:02:23.260 --> 00:02:25.540]  八點他就上班
[00:02:25.540 --> 00:02:27.260]  上班第一件事情
[00:02:27.260 --> 00:02:30.860]  他一定邀請一個牧師到他辦公室來
[00:02:30.860 --> 00:02:34.060]  每天能夠帶領他晨更禱告
[00:02:34.060 --> 00:02:37.460]  禱告晨更完了他才處理公事
[00:02:37.460 --> 00:02:38.940]  我聽了非常感動
[00:02:38.940 --> 00:02:41.460]  有一個部長是這樣來做的
[00:02:41.460 --> 00:02:44.020]  所以我在爲他禱告的時候我就問他說
[00:02:44.020 --> 00:02:47.460]  請問你有什麼特別的事情可以爲你禱告
[00:02:47.460 --> 00:02:48.380]  他就提到一件
[00:02:48.380 --> 00:02:50.460]  他說請你爲我禱告
[00:02:50.460 --> 00:02:55.100]  求神幫助我每天走在神的話語的裏面
[00:02:55.100 --> 00:02:56.540]  Amen
[00:02:56.540 --> 00:02:58.660]  他說他是負責環保的
[00:02:58.660 --> 00:03:03.220]  當他看見非洲的污染跟疾病的時候
[00:03:03.220 --> 00:03:07.060]  他深深地知道只有救恩才能夠拯救非洲
[00:03:07.060 --> 00:03:09.500]  只有救恩才能夠轉化非洲
[00:03:09.500 --> 00:03:10.620]  Amen
[00:03:10.620 --> 00:03:11.940]  我聽了真的很阿悶
[00:03:11.940 --> 00:03:14.700]  因爲這些年我在非洲做工作的時候
[00:03:14.700 --> 00:03:20.340]  我親眼看見耶穌的救恩不但能夠拯救人的靈魂
[00:03:20.340 --> 00:03:25.660]  而且耶穌的救恩真的能夠帶來整個社區的改變
[00:03:25.660 --> 00:03:30.980]  我還記得我第一次到非洲去跟着Pastor Edo
[00:03:30.980 --> 00:03:35.220]  外國主教佈道團在多哥的總幹事
[00:03:35.220 --> 00:03:39.340]  他就帶我到他的家的村落裏面
[00:03:39.340 --> 00:03:41.700]  那個村落叫Midiwakope
[00:03:41.700 --> 00:03:44.860]  當我第一次去他家鄉的村落的時候
[00:03:44.860 --> 00:03:49.740]  我真的看見那個是充滿污染跟疾病的村落
[00:03:49.740 --> 00:03:50.220]  爲什麼呢
[00:03:50.220 --> 00:03:55.140]  因爲你知道非洲人的拜神跟我們中國人是不大一樣的
[00:03:55.140 --> 00:03:58.380]  我就發現我們中國人真的比較實際
[00:03:58.380 --> 00:04:01.340]  當你把食物拿去拜神拜完以後
[00:04:01.340 --> 00:04:03.220]  自己就喫到肚子裏去了
[00:04:03.220 --> 00:04:05.300]  很實際
[00:04:05.300 --> 00:04:07.020]  但非洲人不是這樣
[00:04:07.020 --> 00:04:14.100]  非洲人拜神的時候把雞殺了之後丟在祭壇上任其腐爛
[00:04:14.100 --> 00:04:18.940]  所以難怪你看見各樣的蚊蟲病毒到處很容易傳染
[00:04:18.940 --> 00:04:22.660]  再加上我就看見那個水井就在祭壇旁邊
[00:04:22.660 --> 00:04:24.660]  那怎麼能不生病呢
[00:04:24.660 --> 00:04:27.980]  人天天喝那個水怎麼不生病呢
[00:04:27.980 --> 00:04:32.340]  我還記得那一次我就在他們的村落裏面有一個佈道信息
[00:04:32.340 --> 00:04:34.980]  在那一天佈道信息是很奇妙
[00:04:34.980 --> 00:04:39.740]  那個村的村長那天他就覺知信主
[00:04:39.740 --> 00:04:44.300]  他覺知信主他就站起來對整個村落的村民說
[00:04:44.300 --> 00:04:47.700]  從今天開始我們不再殺雞祭神了
[00:04:47.700 --> 00:04:49.300]  Hallelujah
[00:04:49.300 --> 00:04:53.020]  結果我們看見第二年我再次回這個村落的時候
[00:04:53.020 --> 00:04:54.740]  真的就很不一樣
[00:04:54.740 --> 00:04:56.580]  真的比以前乾淨很多
[00:04:56.580 --> 00:05:01.620]  而且更看見非常漂亮的一棟房子正在被蓋起來
[00:05:01.620 --> 00:05:06.940]  他們告訴我這就是整個村落要獻給神的一個教堂
[00:05:06.940 --> 00:05:12.380]  我告訴你那個建築是整個村裏最漂亮的一棟房子
[00:05:12.380 --> 00:05:15.860]  他們真的是把最好的奉獻給神
[00:05:15.860 --> 00:05:16.900]  Hallelujah
[00:05:16.900 --> 00:05:20.060]  以後每年我去我告訴你每年都不一樣
[00:05:20.060 --> 00:05:22.660]  現在這個村落有自來水
[00:05:22.660 --> 00:05:25.420]  On Her Love這個村落有自來水了
[00:05:25.420 --> 00:05:29.900]  而且還有一個小小的診所裏面有醫生護士在裏面
[00:05:29.900 --> 00:05:32.580]  現在所有其他鄰近的村落都有生病
[00:05:32.580 --> 00:05:35.340]  都來到這個村落去看病
[00:05:35.340 --> 00:05:37.060]  當我看見這個村落的時候
[00:05:37.060 --> 00:05:39.700]  看見福音怎麼帶給村落改變的時候
[00:05:39.700 --> 00:05:40.740]  我心裏真的感謝
[00:05:40.740 --> 00:05:43.660]  真的福音是有轉化的大能的
[00:05:43.660 --> 00:05:44.460]  Amen
[00:05:44.460 --> 00:05:48.940]  今天我們若想能夠在現今的世代帶來影響力
[00:05:48.940 --> 00:05:51.220]  我們就需要明白一件事情
[00:05:51.220 --> 00:05:55.500]  傳福音不單只是叫人聽見耶穌的救恩而已
[00:05:55.500 --> 00:05:56.900]  這是過去我們一直以爲
[00:05:56.900 --> 00:05:57.860]  就到此結束
[00:05:57.860 --> 00:05:58.980]  現在耶穌好了 沒事了
[00:05:58.980 --> 00:06:00.140]  不是這樣的
[00:06:00.140 --> 00:06:05.140]  傳福音應該包括進入社區帶來轉化的大能
[00:06:05.140 --> 00:06:06.100]  Amen
[00:06:06.100 --> 00:06:06.700]  換句話說
[00:06:06.700 --> 00:06:12.300]  今天我們的信仰不只是關於我們跟神的關係而已
