
[00:00:00.000 --> 00:00:04.000]  我們來看哥林多前書的13章13節
[00:00:04.000 --> 00:00:08.000]  哥林多前書13章13節
[00:00:08.000 --> 00:00:10.000]  我們看到,一起來讀,好不好?
[00:00:10.000 --> 00:00:13.000]  經文印在上面,所以我們可以一起來讀
[00:00:13.000 --> 00:00:14.000]  我們一起來讀,好不好?
[00:00:14.000 --> 00:00:18.000]  然而,信心、盼望和愛這三樣是永存的
[00:00:18.000 --> 00:00:24.000]  而其中最重要的是愛
[00:00:24.000 --> 00:00:27.000]  這封經文是保羅寫給哥林多教會
[00:00:27.000 --> 00:00:30.000]  如果你了解背景的話,知道
[00:00:30.000 --> 00:00:32.000]  哥林多教會其實很像我們北美的教會
[00:00:32.000 --> 00:00:34.000]  其實也很像我們惠典教會
[00:00:34.000 --> 00:00:36.000]  它有兩個特色
[00:00:36.000 --> 00:00:38.000]  哥林多教會第一個特色就是
[00:00:38.000 --> 00:00:41.000]  它的財務狀況不錯
[00:00:41.000 --> 00:00:44.000]  所以神給它很富裕
[00:00:44.000 --> 00:00:46.000]  所以這是一間很富裕的教會
[00:00:46.000 --> 00:00:48.000]  它沒有什麼需要
[00:00:48.000 --> 00:00:53.000]  無論可能弟兄姐妹的錢財狀況都還不錯
[00:00:53.000 --> 00:00:56.000]  所以也感謝神在過去這麼多年
[00:00:56.000 --> 00:00:58.000]  我們教會從來沒缺過錢
[00:00:58.000 --> 00:01:00.000]  包括在金融危機的時候
[00:01:00.000 --> 00:01:03.000]  我知道很多無論是機構教會其實都很缺錢
[00:01:03.000 --> 00:01:07.000]  可是我們教會剛好是在金融危機的時候
[00:01:07.000 --> 00:01:09.000]  買了這座建築物,五百多萬
[00:01:09.000 --> 00:01:14.000]  所以在教會界也算是其中的一個神話
[00:01:14.000 --> 00:01:18.000]  別人都很奇怪,為什麼我們經濟最不好的時候
[00:01:18.000 --> 00:01:21.000]  你們偏偏那時候有錢買堂
[00:01:21.000 --> 00:01:23.000]  所以這是很神奇的事
[00:01:23.000 --> 00:01:25.000]  哥林多教會就像我們今天的教會
[00:01:25.000 --> 00:01:28.000]  是一個很有錢的教會
[00:01:28.000 --> 00:01:30.000]  第二點它還有一個特色
[00:01:30.000 --> 00:01:33.000]  除了有錢以外,還很有人才
[00:01:33.000 --> 00:01:37.000]  因為在哥林多教會裡面的人很能幹
[00:01:37.000 --> 00:01:39.000]  他們很有恩賜,很有才幹
[00:01:39.000 --> 00:01:43.000]  所以這是一個不但有錢,還很多人才的教會
[00:01:43.000 --> 00:01:47.000]  偏偏保羅在寫給這個教會的一封信裡面
[00:01:47.000 --> 00:01:49.000]  特別提他們一件事
[00:01:49.000 --> 00:01:51.000]  其實保羅在講這句話的時候
[00:01:51.000 --> 00:01:53.000]  如果你回去看他的上下文
[00:01:53.000 --> 00:01:57.000]  他裡面所寫的其實是指他們的屬靈恩
[00:01:57.000 --> 00:02:00.000]  就是他們過分的在乎他們的才幹
[00:02:00.000 --> 00:02:04.000]  而忽略了人與人之間其實需要愛
[00:02:04.000 --> 00:02:07.000]  是這個緣故保羅提了以下這句話
[00:02:07.000 --> 00:02:10.000]  他說你們的才幹有一天都會沒有
[00:02:10.000 --> 00:02:12.000]  但是有三樣東西
[00:02:12.000 --> 00:02:14.000]  他說這是永遠都會存在的
[00:02:14.000 --> 00:02:18.000]  第一樣是信心,第二樣是盼望,然後就是愛
[00:02:18.000 --> 00:02:22.000]  所以保羅是在這個背景之下講了這段話
[00:02:22.000 --> 00:02:24.000]  那麼就很像我們教會
[00:02:24.000 --> 00:02:27.000]  其實我們教會除了錢財財務狀況不錯以外
[00:02:27.000 --> 00:02:30.000]  其實我們教會很多人才
[00:02:30.000 --> 00:02:34.000]  我說過我們教會的master degree
[00:02:34.000 --> 00:02:37.000]  加起來可能比我們人數還多
[00:02:37.000 --> 00:02:39.000]  因為很多人都有兩個master degree
[00:02:39.000 --> 00:02:41.000]  什麼兩個PhD啊什麼
[00:02:41.000 --> 00:02:44.000]  所以我們教會的degree的學位比人數多
[00:02:44.000 --> 00:02:48.000]  所以可見我們教會應該是很有人才的教會
[00:02:48.000 --> 00:02:50.000]  我也知道我們教會其實很多
[00:02:50.000 --> 00:02:53.000]  在公司裡面都做得蠻高級的
[00:02:53.000 --> 00:02:55.000]  做到已經做到VP啊什麼
[00:02:55.000 --> 00:02:58.000]  就很多有些很高位的人
[00:02:58.000 --> 00:03:00.000]  所以我也跟很多不同的committee
[00:03:00.000 --> 00:03:03.000]  就是委員會大家一起同工過
[00:03:03.000 --> 00:03:05.000]  我也領教過他們的厲害
[00:03:05.000 --> 00:03:07.000]  就是他們確實很能幹
[00:03:07.000 --> 00:03:09.000]  很會planning很會做事
[00:03:09.000 --> 00:03:11.000]  所以我們教會某種程度上
[00:03:11.000 --> 00:03:13.000]  還蠻像哥林多教會
[00:03:13.000 --> 00:03:16.000]  就是我們有錢我們有人才
[00:03:16.000 --> 00:03:19.000]  就在這時候保羅就提醒哥林多教會
