
[00:00:00.000 --> 00:00:01.800]  各位帶領節目你們好
[00:00:01.800 --> 00:00:05.000]  其實有一年的時間沒在大家當中
[00:00:05.000 --> 00:00:07.400]  我上次來港島的時候
[00:00:07.400 --> 00:00:09.600]  是二三年的十月
[00:00:09.600 --> 00:00:12.700]  上次來的時候不是在這個會堂裡面
[00:00:12.700 --> 00:00:13.900]  現在來了的時候
[00:00:13.900 --> 00:00:15.400]  是一個新的會堂
[00:00:15.400 --> 00:00:16.800]  就是說
[00:00:16.800 --> 00:00:18.000]  漂亮很多
[00:00:18.000 --> 00:00:21.200]  但是不只是那個外在最重要
[00:00:21.200 --> 00:00:23.800]  我看到有人數的增加
[00:00:23.800 --> 00:00:26.000]  但是我們不要滿足這些
[00:00:26.000 --> 00:00:28.200]  特別是剛才看到很多的少年人
[00:00:28.200 --> 00:00:31.300]  少年人很重要要好一點的來栽培他們
[00:00:31.300 --> 00:00:32.400]  我就好心體會到
[00:00:32.400 --> 00:00:35.000]  如果教會只是人數增加
[00:00:35.000 --> 00:00:37.400]  未必一定是教會的祝福
[00:00:37.400 --> 00:00:38.700]  因為人數多了
[00:00:38.700 --> 00:00:39.900]  反而可能問題大
[00:00:39.900 --> 00:00:42.700]  最重要就是那個質素
[00:00:42.700 --> 00:00:43.200]  你想想
[00:00:43.200 --> 00:00:46.500]  如果只是很多很多人下來香港旅遊
[00:00:46.500 --> 00:00:48.200]  但是個個都是窮遊的話
[00:00:48.200 --> 00:00:49.400]  是對我們沒有幫助的
[00:00:49.400 --> 00:00:50.200]  對不對?
[00:00:50.200 --> 00:00:52.600]  所以不要只是拿KPI
[00:00:52.600 --> 00:00:55.200]  最重要就是我們的生命的質素
[00:00:55.200 --> 00:00:56.200]  如果我們人多
[00:00:56.200 --> 00:01:01.400]  但是我們沒有好好的生命上的發展
[00:01:01.400 --> 00:01:03.500]  沒有一個絕壯的生命
[00:01:03.500 --> 00:01:06.000]  沒有一個聖潔的生活的時候
[00:01:06.000 --> 00:01:08.200]  魔鬼更加開心
[00:01:08.200 --> 00:01:10.600]  因為更加容易攻擊我們
[00:01:10.600 --> 00:01:12.000]  令到神的名
[00:01:12.000 --> 00:01:15.400]  令到教會的名受著羞辱
[00:01:15.400 --> 00:01:17.300]  如果我們每一個人
[00:01:17.300 --> 00:01:19.100]  整體不只是個人
[00:01:19.100 --> 00:01:21.400]  都肯追求聖潔
[00:01:21.400 --> 00:01:24.100]  追求一個殉燦的生命的時候
[00:01:24.100 --> 00:01:25.800]  魔鬼才會害怕
[00:01:25.800 --> 00:01:28.100]  所以教會邀請我
[00:01:28.100 --> 00:01:30.600]  跟大家講詩篇九十九篇
[00:01:30.600 --> 00:01:32.000]  我特別改了一個題目
[00:01:32.000 --> 00:01:34.000]  就叫做「誠聖追擊」
[00:01:34.000 --> 00:01:35.500]  你留意這個「誠」是什麼呢?
[00:01:35.500 --> 00:01:36.600]  是聖潔
[00:01:36.600 --> 00:01:40.300]  我們怎麼去追擊這個聖潔呢?
[00:01:40.300 --> 00:01:44.500]  剛剛牧師帶領了我們來大陸讀了詩篇九十九篇
[00:01:44.500 --> 00:01:47.500]  有多少次經文呢?
[00:01:47.500 --> 00:01:49.800]  讀完就這麼快就忘記了
[00:01:49.800 --> 00:01:52.200]  有九次經文
[00:01:52.200 --> 00:01:54.200]  有沒有數過
[00:01:54.200 --> 00:01:58.900]  當中提到耶和華的名字有多少次?
[00:01:58.900 --> 00:02:02.400]  原來當中至少有七次
[00:02:02.400 --> 00:02:05.200]  提到耶和華神的名字
[00:02:05.200 --> 00:02:07.200]  九折經文裡面有七次
[00:02:07.200 --> 00:02:09.900]  大家知道在我們的信仰裡面
[00:02:09.900 --> 00:02:12.900]  「七」是代表了「完全」的
[00:02:12.900 --> 00:02:15.500]  跟中國人的想法又很不同
[00:02:15.500 --> 00:02:17.000]  「七」是代表什麼呢?
[00:02:17.000 --> 00:02:17.600]  不好的
[00:02:17.600 --> 00:02:18.600]  吃東西的時候
[00:02:18.600 --> 00:02:19.100]  為什麼?
[00:02:19.100 --> 00:02:20.000]  「食七」這麼「食」
[00:02:20.000 --> 00:02:21.100]  你「食七」個「食」
[00:02:21.100 --> 00:02:22.400]  那些夥計會叫你怎樣?
[00:02:22.400 --> 00:02:24.100]  「整多個」的嘛
[00:02:24.100 --> 00:02:27.200]  因為那些解餓飯是「七個餸」的嘛
[00:02:27.200 --> 00:02:30.200]  但是我們基督徒「七」是完全的
[00:02:30.200 --> 00:02:32.900]  有七次提到神的名字
[00:02:32.900 --> 00:02:34.800]  但是還有三次
[00:02:34.800 --> 00:02:37.200]  特別提到神的屬性
[00:02:37.200 --> 00:02:38.000]  你知不知道
[00:02:38.000 --> 00:02:40.300]  我們相信神是聖潔
[00:02:40.300 --> 00:02:41.100]  神是慈愛
[00:02:41.100 --> 00:02:42.900]  有恩典有憐憫
[00:02:42.900 --> 00:02:44.100]  原來聖經裡面提到
[00:02:44.100 --> 00:02:46.700]  最多神的屬性是什麼呢?
[00:02:46.700 --> 00:02:48.800]  是公義
[00:02:48.800 --> 00:02:51.800]  我想我們每個人都很覺得是很需要的
[00:02:51.800 --> 00:02:53.400]  不公平的事
[00:02:53.400 --> 00:02:55.000]  我們是接受不了的
[00:02:55.000 --> 00:02:57.200]  所以這段經文裡面都不斷地提到
[00:02:57.200 --> 00:03:01.700]  我們是要有一個公義和聖潔的生活
[00:03:01.700 --> 00:03:03.800]  而有三次
[00:03:03.800 --> 00:03:07.400]  特別是提到夜禍為聖
[00:03:07.400 --> 00:03:10.000]  特別是提到神的聖潔
[00:03:10.000 --> 00:03:11.200]  在這篇經文裡面
[00:03:11.200 --> 00:03:13.200]  特別是在這一點裡面
[00:03:13.200 --> 00:03:14.900]  來帶去告訴我們
[00:03:14.900 --> 00:03:16.600]  神是聖潔的
[00:03:16.600 --> 00:03:18.700]  事實上不僅僅是舊約的聖經
[00:03:18.700 --> 00:03:20.000]  提到神的聖潔
[00:03:20.000 --> 00:03:21.700]  今天我們屬神的兒女
[00:03:21.700 --> 00:03:23.900]  我們都需要追求聖潔
[00:03:23.900 --> 00:03:25.200]  我們一起來讀
[00:03:25.200 --> 00:03:28.300]  《貼索羅里吉前書》第四章第七節
[00:03:28.300 --> 00:03:30.200]  我們一起來讀出
[00:03:30.200 --> 00:03:31.700]  神召我們
[00:03:31.700 --> 00:03:34.800]  本不是要我們污衞
[00:03:34.800 --> 00:03:37.400]  乃是要我們成為聖潔
[00:03:37.400 --> 00:03:40.700]  神呼召我們離開罪惡
[00:03:40.700 --> 00:03:43.800]  是要叫我們有聖潔的生活
[00:03:43.800 --> 00:03:46.800]  聖潔不僅僅是道德上
[00:03:46.800 --> 00:03:48.900]  聖潔更加是指什麼呢?
[00:03:48.900 --> 00:03:51.000]  就是指我們要分別出來
[00:03:51.000 --> 00:03:53.300]  這是我們的追求
[00:03:53.300 --> 00:03:55.600]  但是不得不承認
[00:03:55.600 --> 00:03:58.000]  我們仍然有不足的地方
[00:03:58.000 --> 00:03:59.400]  好,想問問大家
[00:03:59.400 --> 00:04:00.200]  要大家舉手
[00:04:00.200 --> 00:04:01.700]  不是報道會
[00:04:01.700 --> 00:04:04.500]  肯定自己是基督徒的請舉手
[00:04:04.500 --> 00:04:05.500]  感恩
[00:04:05.500 --> 00:04:08.300]  很多人肯定自己是基督徒
[00:04:08.300 --> 00:04:12.400]  肯定自己是聖徒的請舉手
[00:04:12.400 --> 00:04:15.800]  不要嚇我
[00:04:15.800 --> 00:04:18.600]  只有兩三個人
[00:04:18.600 --> 00:04:20.500]  這麼恐怖
[00:04:20.500 --> 00:04:22.200]  我再給你們一次機會
[00:04:22.200 --> 00:04:24.800]  肯定自己是聖徒的請舉手
[00:04:24.800 --> 00:04:25.700]  多一點多一點
[00:04:25.700 --> 00:04:28.400]  感恩感恩感恩
[00:04:28.400 --> 00:04:29.900]  我們有掙扎
[00:04:29.900 --> 00:04:31.400]  為什麼我們不敢舉手呢?
[00:04:31.400 --> 00:04:32.400]  因為我們在道德上
[00:04:32.400 --> 00:04:34.700]  有時候也有些偏差
[00:04:34.700 --> 00:04:37.300]  我想問問大家一個問題
[00:04:37.300 --> 00:04:40.600]  一個皇帝和皇后生了一個嬰兒
[00:04:40.600 --> 00:04:44.100]  那個嬰兒是什麼身份呢?
[00:04:44.100 --> 00:04:45.300]  是的
[00:04:45.300 --> 00:04:47.400]  不一定是王子整天在想男的
[00:04:47.400 --> 00:04:48.500]  是女的
[00:04:48.500 --> 00:04:50.100]  可能是公主
[00:04:50.100 --> 00:04:51.700]  但是可能如果是兒子
[00:04:51.700 --> 00:04:53.200]  就是王子
[00:04:53.200 --> 00:04:54.900]  但是請你記住
[00:04:54.900 --> 00:04:57.200]  王子不一定是好的
[00:04:57.200 --> 00:04:59.200]  公主不一定是好的
[00:04:59.200 --> 00:05:01.700]  在道德上也會有偏差的
[00:05:01.700 --> 00:05:03.600]  你想想現在查理斯王子
[00:05:03.600 --> 00:05:05.900]  當日他也會怎樣?
[00:05:05.900 --> 00:05:08.300]  他有婚外情
[00:05:08.300 --> 00:05:10.600]  這裡說應該沒有問題的
[00:05:10.600 --> 00:05:13.200]  我相信是不會被捕的
[00:05:13.200 --> 00:05:16.900]  現在查理斯的兒子去了美國
[00:05:16.900 --> 00:05:18.600]  也很有問題的
[00:05:18.600 --> 00:05:19.500]  雖然他們有問題
