
[00:00:00.000 --> 00:00:02.000]  第一個主日
[00:00:02.000 --> 00:00:05.120]  我都要講今年的教會意象
[00:00:05.120 --> 00:00:07.120]  今天教會什麼意象
[00:00:07.120 --> 00:00:09.120]  我已經講了一年了
[00:00:09.120 --> 00:00:11.120]  今天最後一次講了
[00:00:11.120 --> 00:00:13.120]  不要嫌我囉嗦
[00:00:13.120 --> 00:00:15.120]  真的我們需要邁向成熟
[00:00:15.120 --> 00:00:17.120]  今天你聽完就知道
[00:00:17.120 --> 00:00:19.120]  你給自己打幾分好不好
[00:00:19.120 --> 00:00:21.120]  Hallelujah
[00:00:21.120 --> 00:00:23.120]  但是幾分都沒有關係
[00:00:23.120 --> 00:00:25.120]  最主要是我們來到神的面前
[00:00:25.120 --> 00:00:27.120]  我們要growing mature
[00:00:27.120 --> 00:00:29.120]  要邁向成熟
[00:00:29.120 --> 00:00:31.120]  越長越成熟
[00:00:31.120 --> 00:00:33.120]  所以我要來再一次很快的
[00:00:33.120 --> 00:00:35.120]  把去年一年我們走過去的
[00:00:35.120 --> 00:00:37.120]  通通再跟各位講一下
[00:00:37.120 --> 00:00:39.120]  Hallelujah
[00:00:39.120 --> 00:00:41.120]  是的
[00:00:41.120 --> 00:00:43.120]  那麼
[00:00:43.120 --> 00:00:45.120]  今天我們的經文是講
[00:00:45.120 --> 00:00:47.120]  剛才我們說的耶穌的智慧與聲量
[00:00:47.120 --> 00:00:49.120]  並聲音人形與他的心
[00:00:49.120 --> 00:00:51.120]  都一起增長
[00:00:51.120 --> 00:00:53.120]  這是耶穌長成的聲量
[00:00:53.120 --> 00:00:55.120]  祂長大成這個樣子
[00:00:55.120 --> 00:00:57.120]  我們邁向成熟也要這個樣子
[00:00:57.120 --> 00:00:59.120]  為什麼要邁向成熟呢
[00:00:59.120 --> 00:01:01.120]  待會我們就知道了
[00:01:01.120 --> 00:01:03.120]  因為我們的生命見長
[00:01:03.120 --> 00:01:05.120]  就會邁向成熟
[00:01:05.120 --> 00:01:07.120]  就好像
[00:01:07.120 --> 00:01:09.120]  你還是一個小baby的時候
[00:01:09.120 --> 00:01:11.120]  感覺不到
[00:01:11.120 --> 00:01:13.120]  但是一轉眼
[00:01:13.120 --> 00:01:15.120]  你長大了
[00:01:15.120 --> 00:01:17.120]  但是你就已經不再包尿布了
[00:01:17.120 --> 00:01:19.120]  是吧
[00:01:19.120 --> 00:01:21.120]  如果你還包尿布還在吃奶嘴的話
[00:01:21.120 --> 00:01:23.120]  就不太好了
[00:01:23.120 --> 00:01:25.120]  所以我們生命見長
[00:01:25.120 --> 00:01:27.120]  就邁向成熟
[00:01:27.120 --> 00:01:29.120]  同時我們有四個桑樹
[00:01:29.120 --> 00:01:31.120]  我們要再一次來增長
[00:01:31.120 --> 00:01:33.120]  你的智商
[00:01:33.120 --> 00:01:35.120]  你的智商
[00:01:35.120 --> 00:01:37.120]  你的人情商
[00:01:37.120 --> 00:01:39.120]  還有你的神商
