
[00:00:00.000 --> 00:00:03.600]  阿里哈 聽過他嘛 OK 他還沒有死的哈
[00:00:03.600 --> 00:00:09.600]  那麼常常看他比賽拳 他很特別 他是重量級的拳王嘛 對不對
[00:00:09.600 --> 00:00:15.100]  但是呢 他身體很輕盈 你看他的步很快 OK 出拳是很快
[00:00:15.100 --> 00:00:18.100]  那麼是很喜歡看他打拳的 OK
[00:00:18.100 --> 00:00:25.800]  那麼他 好近似拳擊史上邊的一個最偉大的拳手 OK
[00:00:25.800 --> 00:00:29.200]  那麼很多電影呢 曾經以他做題材
[00:00:29.200 --> 00:00:34.400]  去年還是前年呢 Will Smith 也拍過這個電影
[00:00:34.400 --> 00:00:41.200]  那麼在他那個拳擊生涯裏面 他有大概61場拳賽 OK
[00:00:41.200 --> 00:00:46.900]  那麼在61場的拳式比賽當中呢 他只是輸了5場而已
[00:00:46.900 --> 00:00:52.300]  而且呢 沒有一場是被KO擊倒的
[00:00:52.300 --> 00:00:57.000]  都是分數輸掉的 沒有被打低的 OK
[00:00:57.000 --> 00:01:01.300]  所以呢 他是一個很偉大的一個拳手
[00:01:01.300 --> 00:01:02.800]  那麼我想起這個故事的時候
[00:01:02.800 --> 00:01:05.700]  就想起我們今天很多基督徒的生活 OK
[00:01:05.700 --> 00:01:10.300]  每一天我們都是在打一個俗齡的見證 對不對
[00:01:10.300 --> 00:01:12.800]  在這個世界裏面 我不止一次講
[00:01:12.800 --> 00:01:16.000]  要做一個好的基督徒呢 實質上不簡單
[00:01:16.000 --> 00:01:17.700]  我們以爲在美國好一點嘛
[00:01:17.700 --> 00:01:19.800]  美國是一個自由國家嘛 宗教自由嘛
[00:01:19.800 --> 00:01:22.600]  很多其他國家 比如說在中國大陸
[00:01:22.600 --> 00:01:26.700]  雖然說自由 但是有時候我們很多人限制
[00:01:26.700 --> 00:01:30.600]  其他的國家 回教國家裏面的情況就更糟糕了
[00:01:30.600 --> 00:01:33.000]  所以在美國以爲我們信耶穌很容易
[00:01:33.000 --> 00:01:35.000]  不錯 信耶穌是很容易的
[00:01:35.000 --> 00:01:41.300]  但是呢 我們發覺 原來要做一個好的基督徒也不簡單
