
[00:00:00.000 --> 00:00:02.000]  頂次務勇安
[00:00:02.000 --> 00:00:04.000]  今日和大家討論的題目
[00:00:04.000 --> 00:00:09.000]  按照教會講道的年曆
[00:00:09.000 --> 00:00:14.000]  我們會看《讓福音第十章》這段經文
[00:00:14.000 --> 00:00:19.000]  這段經文讓我們看到
[00:00:19.000 --> 00:00:21.000]  「跟隨好睦人」
[00:00:21.000 --> 00:00:24.000]  這是一個很重要的訊息
[00:00:24.000 --> 00:00:27.000]  因為今天決定了你和我
[00:00:27.000 --> 00:00:30.000]  究竟我們在永恆裏面
[00:00:30.000 --> 00:00:32.000]  你是怎樣揀選
[00:00:32.000 --> 00:00:35.000]  你的揀選就在乎你今生裏面
[00:00:35.000 --> 00:00:37.000]  你每一日是怎樣跟隨
[00:00:37.000 --> 00:00:39.000]  跟隨誰呢
[00:00:39.000 --> 00:00:43.000]  最近都有很多跟隨的事情發生
[00:00:43.000 --> 00:00:45.000]  我這個是實景拍攝
[00:00:45.000 --> 00:00:46.000]  剛過去這個星期
[00:00:46.000 --> 00:00:49.000]  我去到一個大的商場裏面
[00:00:49.000 --> 00:00:51.000]  和師母吃完飯之後
[00:00:51.000 --> 00:00:53.000]  我就拿著手機
[00:00:53.000 --> 00:00:55.000]  我不是捉東西
[00:00:55.000 --> 00:00:57.000]  我在這裏拍攝
[00:00:57.000 --> 00:01:00.000]  你會看到很多人低頭
[00:01:00.000 --> 00:01:03.000]  很專注
[00:01:03.000 --> 00:01:05.000]  有大有細
[00:01:05.000 --> 00:01:07.000]  一家大小都出動
[00:01:07.000 --> 00:01:09.000]  這個和我平日所看的
[00:01:09.000 --> 00:01:12.000]  這個商場的景色是不同的
[00:01:12.000 --> 00:01:16.000]  你再看這些新聞的片裏面
[00:01:16.000 --> 00:01:18.000]  看到大熱天時
[00:01:18.000 --> 00:01:21.000]  香港平時晚上公園是沒有人的
[00:01:21.000 --> 00:01:24.000]  但是這兩個星期就人山人海
[00:01:24.000 --> 00:01:28.000]  個個都在捉這些所謂小精靈
[00:01:28.000 --> 00:01:31.000]  還有一些做生意的人
[00:01:31.000 --> 00:01:33.000]  很懂得把握機會
[00:01:33.000 --> 00:01:35.000]  你們玩這個遊戲機
[00:01:35.000 --> 00:01:36.000]  很快沒電的
[00:01:36.000 --> 00:01:38.000]  所以要充電器
[00:01:38.000 --> 00:01:39.000]  馬上推出來
[00:01:39.000 --> 00:01:41.000]  補習社馬上推出來
[00:01:41.000 --> 00:01:45.000]  幫你捉多些這些精靈
[00:01:45.000 --> 00:01:47.000]  酒樓都馬上說
[00:01:47.000 --> 00:01:49.000]  你捉多幾多隻
[00:01:49.000 --> 00:01:52.000]  我就送你一道菜
[00:01:52.000 --> 00:01:54.000]  有一間百貨公司還說
[00:01:54.000 --> 00:01:56.000]  你捉到三隻
[00:01:56.000 --> 00:01:58.000]  我給你五元代用券
[00:01:58.000 --> 00:02:01.000]  所以不單止是全城瘋狂
[00:02:01.000 --> 00:02:03.000]  是全球都瘋狂
[00:02:03.000 --> 00:02:08.000]  這件事救測原因當然是有原因
[00:02:08.000 --> 00:02:11.000]  可以說這次為何這麼厲害
[00:02:11.000 --> 00:02:14.000]  熱爆全球這個遊戲機
[00:02:14.000 --> 00:02:16.000]  因為過往的所有遊戲機
[00:02:16.000 --> 00:02:18.000]  都是在一種虛擬世界裏面
[00:02:18.000 --> 00:02:20.000]  很多父母都不想自己的子女
[00:02:20.000 --> 00:02:22.000]  經常在一個虛擬世界裏面
[00:02:22.000 --> 00:02:25.000]  現在這個遊戲機有一個很大的突破
[00:02:25.000 --> 00:02:28.000]  就是用了一些所謂增加的現實
[00:02:28.000 --> 00:02:33.000]  把你自己的手機的相機鏡頭
[00:02:33.000 --> 00:02:35.000]  變成一個實景
[00:02:35.000 --> 00:02:37.000]  把那些虛擬的精靈
[00:02:37.000 --> 00:02:39.000]  那些假的
[00:02:39.000 --> 00:02:43.000]  就讓你裝模作樣去捉
[00:02:43.000 --> 00:02:45.000]  所以整件事
[00:02:45.000 --> 00:02:48.000]  人們還要到處去捉
[00:02:48.000 --> 00:02:52.000]  我其實對於這一類的玩意
